Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
1499489-acs.cgd.6b01265_1499490_clean,0.000861822,2.96506e-05,-30.82624539801866,0.18113975751335887
ABAVIJ_clean,0.00316019,0.000291916,-41.203586661793835,0.19644626785271332
ABAVOP_clean,1.46326e-09,9.43091e-11,-7.4927461314294925,0.21711412020512585
ABAYIO_clean,0.000327097,2.80652e-05,-32.795460108389655,0.19069453041933349
ABAYOU_clean,0.000321418,2.83018e-05,-32.53051514328625,0.172101510184504
ABEFUL_clean,0.00599425,0.000301461,-41.81829667172785,0.12335433000401094
ABEMIF_clean,0.000171346,3.45369e-06,-25.3368667519519,0.05922739334628849
ABESUX_clean,1.46611e-05,1.20261e-07,-21.11271406274066,0.007859672683420785
ABETAE_clean,1.40971e-05,1.17195e-07,-20.91877692411796,0.009470546704563662
ABEXEM_clean,5.072e-05,3.86576e-07,-26.430804907062942,0.016323715309329
ABEXEN_clean,0.000138318,2.45558e-06,-25.4003529327063,0.10589850171118188
ABEXIQ_clean,4.99562e-05,1.50032e-06,-26.800335151822107,0.0500942680939412
ABEXOW_clean,5.07482e-05,1.4357e-06,-27.002845805199165,0.08143105262153362
ABEXUC_clean,5.13992e-05,1.49915e-06,-27.27968346844,0.06184351295655324
ABEYAJ_clean,5.27463e-05,2.4157e-06,-27.692665460736194,0.05014317202616994
ABEYEN_clean,5.06686e-05,1.04272e-06,-27.826756396781064,0.02360037082828926
ABEYIR,4.99908e-05,2.32653e-06,-27.97013753448867,0.11828916699474265
ABEYIR_clean,5.05807e-05,1.64007e-06,-27.978526827720202,0.09768796445140014
ABIXOZ_clean,4.35895e-06,6.13104e-08,-16.121186754057533,0.022453708277688934
ABIYIV,6.69928e-05,2.02394e-06,-30.030443651060274,0.10255268468650447
ABIYIV_clean,6.69928e-05,2.02394e-06,-30.030443651060274,0.10255268467902144
ABULOB_clean,0.000916311,1.08902e-05,-32.69809617091092,0.03306940167079189
ABUWOJ_clean,0.000185594,3.08982e-06,-27.451434550022807,0.029994149161030968
ac403674p_si_001_clean,3.27261e-05,5.97743e-07,-21.20045143801074,0.08541796383342147
ACAJIY_clean,0.000559628,1.85524e-05,-35.470903591389465,0.08560911888723108
ACAJIZ_clean,0.000236914,5.70802e-06,-27.47132790515708,0.05400154399232249
ACAJOF_clean,0.000141925,3.05415e-06,-26.582027424675065,0.06958721725725595
ACAKUM,8.35113e-05,2.02813e-06,-29.45816100514677,0.02141621782898464
ACAKUM_clean,8.35113e-05,2.02813e-06,-29.45816100514677,0.02141621782898464
ACALIB_clean,3.66585e-06,1.95175e-07,-25.533909810114192,0.1308225410262439
ACECIV_ion_b,9.07041e-05,1.15575e-05,-36.6504625281651,0.27174543286767266
