Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ADOBOL_charged_118,-30.5203,0.000137581,66.7187,0.132171
ADOBEB_charged_118,-29.8011,0.000128025,89.9074,0.140518
ADOBOL_clean_118,-30.5279,0.000137648,66.91,0.135091
ADUWIH_clean_201,-20.7422,8.48374e-05,3548.11,0.0950546
ADOBUR_charged_118,-30.6701,0.00014031,66.8391,0.129341
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-28.28,0.000307219,660.54,0.353662
ADOCEC_clean_118,-28.0213,0.000114086,128.152,0.13166
ACOLOV_clean_14,-22.4728,0.000127058,2939.5,0.562656
ADOCAY_charged_118,-30.7699,0.000144608,66.6524,0.137929
ADOCIG_charged_118,-30.8697,0.00014249,60.5679,0.137768
AFEDIA_clean_2,15.8334,6.50305e-15,0,0.114169
ACOLUB_clean_2,-26.3031,0.000190332,1367.41,0.618488
AFIPAH_clean_2,-27.6808,6.50269e-05,24.2431,0.113235
AFOYEB_clean_92,-27.4904,0.000191698,692.659,0.0801671
AGESIP_clean_14,-12.8699,1.42178e-08,0,0.0418947
AFOYIE_clean_62,-19.6832,4.27613e-05,2979.21,0.0794957
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-29.7094,0.00103484,1259.48,0.398341
AGIMOU_clean_14,-32.5602,8.70167e-05,0,0.0494975
AGARUW_clean_62,-22.8389,6.38618e-05,1804.45,0.0710861
AFUPEX_clean_14,-23.9726,0.000112957,922.618,0.0809723
AGUBUA_clean_60,-30.9388,0.000964624,490.886,0.0485673
AFENEE_clean_34,-36.3019,0.000575604,0,0.198661
AFOYOK_clean_11,-22.3198,6.68659e-05,1655.25,0.113596
AFITEP_clean_2,-33.8191,0.00118888,17.1233,0.193763
AGONAM_clean_14,-26.5477,0.000276902,1089.59,0.0859205
AGAYIQ_clean_15,-34.1027,6.35e-05,0,0.10695
AGABIU_clean_11,-13.8731,7.74334e-06,2592.5,0.123105
AGUTUS_clean_14,-8.57881,2.49885e-10,0,0.0974131
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.7125,0.000827081,174.62,0.533777
AHOKIR_clean_12,-28.0463,3.69608e-05,16.3349,0.0162665
AFIXAO_clean_14,-31.8332,0.000514433,771.596,0.277535
AHOKIR01_clean_2,-34.4723,0.000155352,0,0.0350033
AHOJUC_clean_13,3.6346,6.87971e-12,0,0.0480158
AGUWUV_clean_2,-27.4124,2.67336e-05,0,0.103892
AHOKOX_clean_59,-26.1023,2.61807e-05,18.0178,0.0355261
AHOKAJ_clean_13,4.83346,2.96805e-12,0,0.0555894
AFIXES_clean_14,-32.1045,0.000512841,873.363,0.319127
AFEJOK_ion_b_8,-25.8667,0.000271743,1335.52,0.365755
AGONEQ_clean_7,-20.6741,0.000108298,2535.31,0.211606
AGAXOV_clean_2,-19.6783,7.03061e-05,2462.61,0.235905
AFOQUI_clean_1,-30.1771,3.98384e-05,0,0.318634
AHAMAY_clean_2,-31.2294,0.000108236,4.74211,0.159306
AHUTIH01_clean_14,-24.7811,2.89772e-06,0,0.0422295
AHUTIH_clean_14,-22.5299,1.42839e-06,0,0.0436695
AGAYOW_clean_15,-31.9947,0.000604967,312.719,0.27499
ADODII_clean_1,-30.069,0.000814699,757.812,0.457122
AFOTUL_clean_1,-33.548,0.000575235,2856.46,0.373641
AFOVAT_clean_1,-32.1851,0.000446284,2698.58,0.375389
AFOVEX_clean_1,-33.459,0.00058771,2873.53,0.378008
AFOYAW_clean_2,-27.5938,0.000312285,613.268,0.360427
ADODOO_clean_1,-31.0299,0.0010919,800.29,0.480051
AHEQAH_clean_46,-21.8229,9.52797e-05,2914.87,0.197152
AFOTOF_clean_1,-33.8249,0.000615927,2859.57,0.399079
AGUVOO_charged_60,-26.5735,0.000184174,693.578,0.261047
ADODUU_clean_1,-31.4128,0.00122366,805.559,0.48846
AFOVOH_clean_1,-33.6696,0.000573578,2866.35,0.375577
AFOVIB_clean_1,-33.8305,0.000578865,2849.4,0.383739
AHOBEG_clean_2,-31.4618,0.000238496,19.892,0.197624
AJOTEY_clean_33,-19.943,5.33651e-05,1509.65,0.0927506
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-32.5743,0.00196995,755.046,0.770751
AJINOY_clean_2,-14.4076,1.6595e-09,0,0.140549
AJAMEF_clean_15,-37.9028,0.000936163,0,0.171265
AKUHOD01_clean_2,-0.777006,1.38084e-11,0,0.0715403
ALIBUT_clean_229,-26.311,7.17755e-05,1162.47,0.0286335
ALICAA_clean_229,-25.6067,5.16331e-05,1113.01,0.0288253
ALATAK_clean_12,-0.544677,1.08206e-10,0,0.0389515
AJOXAA_clean_14,-25.9681,0.000262995,1505.56,0.145174
ALALUU01_clean_2,-4.04257,9.82008e-11,0,0.0661651
ALALUU_clean_2,-2.91702,4.74061e-11,0,0.0619331
AKEDIF_clean_15,-29.3142,0.000904437,1538.48,0.153775
AKUHOD_clean_2,-1.96521,1.98588e-11,0,0.0962995
acscombsci.5b00188_5013797_clean_1,-20.7265,8.56671e-05,3825.82,0.942327
AKOHEO_clean_14,-19.6719,8.87938e-06,508.966,0.13412
AFITIT_clean_5,-29.5396,0.000353193,1113.65,0.580813
ALIPEQ_clean_21,-0.992672,1.41779e-10,0,0.083668
AHINIP_clean_4,-36.1354,0.00100098,45.2197,0.392532
ALIXUP_clean_56,-17.3088,5.21703e-06,822.504,0.0616741
AKUHOD03_clean_1,-1.38358,1.04153e-11,0,0.184425
ALIFUY_clean_14,-37.9192,0.00112592,2.73826,0.171292
AJAYIT_clean_9,-29.4369,0.000415217,1052.05,0.321694
AKOBAF_clean_15,-34.5059,0.00183523,48.266,0.248422
AHEBAS_clean_5,-34.1741,0.0019981,495.066,0.465181
ALUJUN_clean_2,-34.1895,0.00117992,126.124,0.070264
AHOZAA_clean_60,-39.4753,0.00771469,180.863,0.412611
AJUNOK_clean_54,-33.3738,0.000576783,91.516,0.303332
AFUKAP_clean_2,-25.9458,0.000182487,1342.4,0.613087
ALAHUS_clean_122,-23.008,8.18912e-05,1970.46,0.22557
ALUKAU_clean_2,-34.1705,0.00085599,105.015,0.0999655
ALIXOJ_clean_14,-21.6913,5.95382e-05,2346.16,0.174376
ALOLIY_clean_15,-15.8194,4.64874e-06,1412.69,0.174721
AHIYOH_clean_61,-32.8202,0.00126201,399.301,0.539084
AJAKON_clean_14,-31.9388,0.000374342,154.769,0.433679
ALUKIC_clean_15,-16.1615,3.62927e-05,4048.1,0.171587
AKUKUO_clean_2,-31.8608,0.000917172,284.993,0.325398
AMALND_clean_60,-22.7064,2.61485e-06,0,0.0499673
ALUKOI_clean_15,-16.1455,3.57228e-05,4052.28,0.171895
ALEQIT_clean_2,-29.9779,0.000259942,442.345,0.303007
AKAYIV_clean_13,-20.3203,2.83459e-05,2704.05,0.396261
ALUKUO_clean_15,-16.175,3.58499e-05,4036.59,0.182492
AMIKOX_clean_54,-nan,0,0,0.0583016
ALULAV_clean_15,-16.2403,3.6006e-05,4027.82,0.182151
AMEJIM_charged_148,-24.3176,5.66836e-05,798.542,0.128702
AMAFOK_clean_2,-29.845,0.000842479,1416.77,0.15055
ADASUV_clean_2,-18.4879,5.25915e-05,4207.05,1.11423
AMIWOJ_clean_14,-35.3742,0.00101817,105.605,0.0873691
AMIWUP_clean_14,-35.6217,0.00108435,105.419,0.0841265
AMIWID_clean_14,-35.5948,0.0010666,100.896,0.0995139
AJOVEB_clean_2,-26.8393,5.76057e-05,206.153,0.538198
AMOZAE_clean_14,-23.6774,1.69784e-06,0,0.0583002
AMIXAW_clean_14,-36.009,0.00117991,100.953,0.0922606
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-32.9626,0.00120948,2958.39,1.17783
AMUCOB_clean_2,-22.7626,2.72878e-07,0,0.107469
AKOXIJ_clean_12,-42.2232,0.0265182,1317.26,0.545298
AMIZIG_clean_62,-23.8081,4.47756e-05,755,0.155072
ALULID_clean_2,-22.349,9.71938e-05,2386.5,0.352695
am301365h_si_002_clean_160,-21.2076,6.27483e-05,3300.85,0.297688
AHUFIU_clean_14,-18.5569,2.44472e-05,3273.31,0.723387
AHIYUN_clean_15,-54.734,1.10401,244.83,0.825581
ALUREF_clean_18,-28.8538,0.000314162,1038.69,0.364763
ALURIJ_clean_18,-29.215,0.000372523,1033.31,0.367315
AMUFIZ_clean_2,-23.5649,1.1143e-06,0,0.125208
ANAWIX_clean_15,-26.2678,0.00020785,959.556,0.0864099
AMUFEV_clean_2,-24.6926,4.64388e-06,0,0.159653
ALURAB_clean_18,-28.4965,0.000288763,1053,0.415219
AMUFAR_clean_2,-31.9622,0.000139686,0,0.217655
AMOYOR_clean_2,-33.6097,0.00112007,51.2581,0.23716
AMUFOF_clean_2,-29.0526,0.000176091,122.085,0.171167
ANAWOD_clean_52,-24.1075,0.000130805,2492.14,0.144404
ALUJEX_clean_2,-27.6254,0.000332921,963.536,0.583821
AGIREP_clean_2,-23.3273,0.000140436,3374.2,1.0622
AMIXEA_clean_1,-36.3061,0.00126564,96.4968,0.335736
ALOLET_charged_159,-21.8185,6.20345e-05,2768.26,0.636796
AFITUF_clean_4,-28.3858,0.00019649,811.061,1.21844
ALIXAU_clean_h_1,-28.9474,0.000109057,161.059,0.716175
ALANAD_clean_2,-19.2782,7.87977e-05,3369.54,0.749239
AMOFAK_clean_19,-16.881,4.77127e-05,4031.21,0.400298
ANENEN_clean_2,-28.2166,0.00024802,730.642,0.219207
AMUWUB_clean_2,-21.5117,2.92694e-05,2797.54,0.285372
APACAX_clean_122,-27.9986,0.000434626,403.313,0.123923
APARAM_clean_147,-44.5026,0.00819121,1727.41,0.117687
AMUPOP_clean_15,-35.4452,0.000545579,5.57573,0.311051
AMEJOS_charged_2,-34.7427,0.000265057,6.93742,0.534528
AMUXAI_clean_2,-22.8575,3.46804e-05,1945.7,0.327473
ANOMUM_clean_2,-22.2013,0.000149555,2356.68,0.253649
ANUGOG_clean_15,-18.9957,5.86186e-05,4282.18,0.216589
AMAGAX_clean_2,-28.0304,0.000484752,1790.99,0.6084
AQALIO_clean_62,0.769766,6.39103e-11,0,0.0425912
AQALOU_clean_62,1.5289,3.1484e-11,0,0.04838
APEBED_clean_19,-33.963,0.000320956,16.0616,0.0885499
APAYOH_clean_15,-28.7968,0.000575384,1612.09,0.220918
AQEQES_clean_15,-24.0603,0.000229093,1555.21,0.0410939
APAYUN_clean_15,-27.4446,0.000450307,1668.92,0.218727
APETAS_clean_13,-21.863,7.02281e-07,0,0.087324
ANONAT_manual_2,-21.4673,0.00012056,3492,0.276057
APAZOI_clean_15,-28.0332,0.000407753,1464.97,0.157112
AFUKIX_clean_2,-24.9309,0.00013174,2699.7,1.3073
ANUGUM_clean_2,-20.87,0.000113809,4356.41,0.273336
ANOMOG_clean_12,-32.6519,0.000279112,3692.3,0.323545
APAYIB_clean_15,-28.9164,0.000620989,1531.18,0.250892
AMIMAL_clean_14,-35.0595,0.000946579,2491.17,0.642305
AMILOY_clean_14,-35.3651,0.00109128,2408.94,0.675694
AMILUE_clean_9,-35.366,0.00109278,2563.13,0.694978
AQEQIW_clean_14,-24.4174,0.000241251,1827.99,0.0942275
ANIDIL_clean_15,-30.3571,0.000135159,67.3872,0.388297
AMIMEP_clean_9,-35.8142,0.00109392,2530.58,0.667983
AQETIA_clean_14,-18.0399,1.31947e-07,0,0.0558316
APAZAU_clean_15,-27.6302,0.000483005,2242,0.285641
AQEFUY_clean_15,-20.3812,3.22908e-05,2047.95,0.152864
ANENIR_clean_1,-28.9946,0.000335919,793.895,0.439004
AQMAND01_clean_2,-1.93949,3.28024e-11,0,0.0574703
AQETUM_clean_14,-21.1973,9.70725e-06,132.731,0.0913394
AQMAND_clean_2,-0.619522,2.2183e-11,0,0.0564389
AQOLOJ_clean_221,-36.6906,0.00376336,5724.57,0.0531132
AQOTIK_clean_123,-29.2888,0.000498754,1135.21,0.0419406
APAZEY_clean_15,-27.3282,0.00044667,2336.8,0.286808
APAZIC_clean_15,-26.3599,0.000358986,2777.93,0.283339
APEBEE_clean_2,-32.3781,0.00083915,597.16,0.243218
AQAJEI_clean_60,-29.2185,0.000724463,1580.15,0.218716
AMODUC_clean_1,-16.8561,4.47515e-05,4264.1,0.690794
AQOMAW_clean_221,-30.0438,0.00043919,4164.63,0.0902534
AQOLEZ_clean_123,-28.3478,0.000357973,4719.32,0.113949
AQODOA_clean_14,-8.80224,5.87136e-10,0,0.116946
ANEPIT_clean_2,-10.3872,1.86174e-10,0,0.508314
AQIQIC_clean_15,-29.5155,0.000653552,1075.62,0.149566
ANUGEW_clean_2,-16.7345,3.37445e-05,4383.78,0.471715
ARAHIM01_clean_87,1.44295,6.2191e-12,0,0.0359853
ARAHIM_clean_87,-1.1189,3.59505e-11,0,0.0293984
ANEHEI_clean_2,-32.6644,0.000510867,1102.94,0.594442
ARAHIM02_clean_140,-2.68089,5.09252e-11,0,0.0296232
ARAFEF_clean_24,-21.4273,8.58616e-05,4005,0.067561
ARAFIJ_clean_24,-22.7277,0.000127194,3049.68,0.0668589
AQUDEX_clean_15,-33.7929,5.8778e-05,0,0.0962744
ARAFOP_clean_24,-28.4642,0.000389233,568.493,0.059958
AQUDOH_clean_15,-33.5256,5.18917e-05,0,0.0980785
AQUDAT_clean_15,-32.9566,3.71183e-05,0,0.11593
APEBUU_clean_15,-32.4874,0.00036506,69.9759,0.341688
AQIXUU_clean_2,-47.4897,0.0573315,32.0554,0.202126
ALUJOH_clean_1,-26.4531,0.000239076,1070.29,1.03362
ALUJIB_clean_1,-27.2673,0.000313227,1048.05,1.05888
ALOLES_ion_b_1,-26.9513,2.99169e-05,120.963,1.07719
ARADEE_clean_15,-22.8278,0.000117821,1346.57,0.125949
AQIQAU_clean_15,-22.3323,0.000130518,3389.56,0.236963
ARAGOR_clean_15,-25.5285,0.000261858,1278.85,0.103281
ACAJIY_clean_1,-34.9864,0.000375819,3.94229,2.19425
ARIBOS_clean_14,-nan,0,0,0.128102
