Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ADOGEH_clean_225,-40.0895,0.0102826,660.97,0.0570958
ac403674p_si_001_clean_4,-22.4319,2.32636e-05,325.245,0.313883
ACIBOE_clean_8,-23.4685,9.64767e-05,509.389,0.32679
ADUWIH_clean_201,-21.726,7.98128e-05,672.164,0.0686632
AFIPAH_clean_2,-27.7334,8.0059e-05,13.2752,0.06932
AHOKAJ_clean_13,6.53615,1.82784e-12,0,0.0122053
AHOKIR_clean_12,-28.3798,8.20954e-05,13.0572,0.0141217
ACOLIP_clean_1,-33.553,0.00105054,22.8461,0.348328
AFOYIE_clean_62,-21.1655,5.33517e-05,601.055,0.054699
AGESIP_clean_14,-12.8087,1.21941e-08,0,0.0360617
AGARUW_clean_62,-23.3258,3.94656e-05,394.917,0.0458785
AGIMOU_clean_14,-33.4037,0.000309003,0,0.0500377
AFOYEB_clean_92,-27.495,9.15669e-05,128.889,0.0646231
ACOGAB_clean_2,-32.9195,0.00160941,123.203,0.365625
AGUBUA_clean_60,-31.0252,0.000828828,222.611,0.0546421
AHOKIR01_clean_2,-34.7422,0.000262234,0,0.0281153
AFEDIA_clean_2,-nan,0,0,0.112839
ACOGEF_clean_2,-32.9271,0.0014232,112.997,0.373684
AGABIU_clean_11,-14.768,7.1052e-06,478.015,0.0748782
AGONAM_clean_14,-26.8376,0.000210094,347.976,0.0641885
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-30.4347,0.00115071,382.031,0.392607
AHUTIH01_clean_14,-24.8481,5.33847e-06,0,0.0479385
AFUPEX_clean_14,-24.769,0.000170542,489.317,0.0726389
AFOYOK_clean_11,-23.5296,7.21515e-05,439.758,0.0906024
AHUTIH_clean_14,-22.9804,2.65311e-06,0,0.038081
AHOJUC_clean_13,4.89723,4.31021e-12,0,0.0577982
AGUWUV_clean_2,-27.6743,3.6481e-05,1.98831,0.0720326
AGAYIQ_clean_15,-34.5128,0.000126024,0,0.0851049
AHOKOX_clean_59,-26.1983,7.41011e-05,14.7693,0.052798
AJOTEY_clean_33,-20.066,4.16755e-05,480.22,0.0425258
AKUHOD01_clean_2,-0.665698,1.54134e-11,0,0.0538519
AGUTUS_clean_14,-9.20432,4.8911e-10,0,0.0907315
AKUHOD_clean_2,-1.22585,2.67121e-11,0,0.0567177
AFENEE_clean_34,-37.4025,0.0013851,0,0.17243
AKOHEO_clean_14,-20.213,6.4771e-06,140.518,0.0887616
ALATAK_clean_12,0.160804,5.56667e-11,0,0.0297954
AFITEP_clean_2,-34.2,0.00185603,17.7897,0.174172
ACOLOV_clean_14,-23.1279,0.00010422,637.846,0.460309
ALICAA_clean_229,-25.2037,2.56333e-05,207.095,0.0309879
ALALUU01_clean_2,-3.68909,1.04509e-10,0,0.0620936
AKEDIF_clean_15,-30.6747,0.000989581,543.623,0.115062
AGAXOV_clean_2,-20.9081,6.58467e-05,639.63,0.160769
AGONEQ_clean_7,-20.8547,6.99565e-05,655.204,0.143809
AHAMAY_clean_2,-31.3444,0.000104445,1.82394,0.14417
ALALUU_clean_2,-2.84037,6.00486e-11,0,0.068281
ALIBUT_clean_229,-25.9026,3.59889e-05,212.557,0.057611
AJOXAA_clean_14,-26.5496,0.000198396,361.105,0.116311
AHEQAH_clean_46,-22.578,0.000127455,874.8,0.160232
ALIXUP_clean_56,-18.0805,3.34604e-06,176.037,0.043338
ACIBIY_clean_2,-28.9324,0.000156518,99.695,0.48757
AJINOY_clean_2,-14.6842,2.44686e-09,0,0.125706
AHOBEG_clean_2,-31.5425,0.000343714,13.7139,0.172793
AFEJOK_ion_b_8,-26.5899,0.000241957,367.347,0.241641
ALIPEQ_clean_21,-2.16496,1.43725e-10,0,0.0777659
AJAMEF_clean_15,-37.9858,0.00123452,0,0.151513
AFOTOF_clean_1,-35.2707,0.00123046,589.727,0.230904
AFOVAT_clean_1,-33.6536,0.000780798,559.361,0.231538
AFIXES_clean_14,-32.2602,0.000508046,244.515,0.238408
AFIXAO_clean_14,-31.9947,0.000506514,242.252,0.237075
AFOVIB_clean_1,-35.2382,0.00115511,589.951,0.231653
AFOVEX_clean_1,-34.7778,0.0010947,599.319,0.225557
AFOVOH_clean_1,-35.0526,0.00112494,587.124,0.226886
ACOLUB_clean_2,-26.8285,0.000178048,353.134,0.538084
ADODOO_clean_1,-31.0121,0.000825061,267.245,0.361859
AMALND_clean_60,-22.5922,4.5112e-06,0,0.0279565
AFOTUL_clean_1,-34.9954,0.00112218,594.506,0.238171
ADODUU_clean_1,-31.3892,0.000933147,271.597,0.364415
AGAYOW_clean_15,-32.224,0.000557922,115.774,0.226753
ADODII_clean_1,-30.119,0.000629861,254.667,0.366714
AFOYAW_clean_2,-27.9405,0.000333884,257.303,0.249272
AKOBAF_clean_15,-35.4016,0.00228583,27.4564,0.195797
AGUVOO_charged_60,-27.6626,0.000226039,241.234,0.229839
ALIXOJ_clean_14,-22.82,7.28757e-05,529.305,0.116821
ALUKAU_clean_2,-34.5227,0.00134217,79.4429,0.0755054
ALOLIY_clean_15,-16.8988,3.14945e-06,211.943,0.124682
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.9987,0.000782843,67.4524,0.569914
AMIKOX_clean_54,-nan,0,0,0.0646702
ALUJUN_clean_2,-34.5413,0.0017774,98.0442,0.0969264
ALIFUY_clean_14,-38.3705,0.00193768,2.77045,0.152141
AKUHOD03_clean_1,-1.856,1.13595e-11,0,0.210614
AMAFOK_clean_2,-30.2856,0.000535967,335.99,0.0995576
AJAYIT_clean_9,-29.9403,0.000298307,221.584,0.241417
AJUNOK_clean_54,-33.522,0.000467039,28.6492,0.22162
AMEJIM_charged_148,-25.2308,3.67497e-05,108.794,0.0702903
AFOQUI_clean_1,-30.084,4.08427e-05,0,0.308923
ALUKIC_clean_15,-17.1914,3.96437e-05,1111.3,0.126861
AMIWID_clean_14,-35.7678,0.00144207,64.1606,0.0721189
AMOZAE_clean_14,-23.8863,2.03935e-06,0,0.0437986
ALUKOI_clean_15,-17.1678,3.87764e-05,1115.95,0.135275
AMIXAW_clean_14,-36.1823,0.00162608,68.4039,0.0740451
AMIWOJ_clean_14,-35.5487,0.00134943,74.234,0.0795763
ALULAV_clean_15,-17.2647,3.9285e-05,1115.79,0.13017
ALUKUO_clean_15,-17.1974,3.90187e-05,1118.66,0.142399
ALAHUS_clean_122,-24.1128,7.22265e-05,415.797,0.222508
AMIWUP_clean_14,-35.7852,0.00147464,69.9919,0.0872286
AKAYIV_clean_13,-21.3187,2.42102e-05,390.225,0.265735
