Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
OKIWUB_clean,0.00177771,2.043e-05,-35.274594152443896,0.01811412101497518
OKIXIQ01_charged,0.00184847,2.1218e-05,-35.470981491583544,0.022159477942817474
OKIXIQ01_clean,0.00185142,1.96368e-05,-35.47831352901796,0.021231933942698997
OKIXIQ02_charged,0.00182085,1.40956e-05,-35.347823514253356,0.022542777168010356
OKIXIQ02_clean,0.00182085,1.40956e-05,-35.347823514253356,0.0225427772245487
OKIXIQ_charged,0.001834,3.35415e-05,-35.411258563043994,0.032199577445076545
OKIXIQ_clean,0.00182882,2.68675e-05,-35.40213476723148,0.030900472458361233
OKIYAJ01_clean,0.00138045,1.59453e-05,-34.10435983242912,0.03335873351673136
OKIYAJ_charged,0.00259711,1.26563e-05,-36.63513913375959,0.015018901842890679
OKIYAJ_clean,0.00259076,1.23066e-05,-36.643059225170134,0.013789950941850352
OKIYIR01_charged,0.00188152,2.13583e-05,-35.52590129187226,0.0393121150053173
OKIYIR02_charged,0.00276596,2.57894e-05,-36.637365472347575,0.02797575176277796
OKIYIR03_charged,0.00266722,2.17076e-05,-36.499060433181334,0.012150162585416005
OKIYIR03_clean,0.00266489,2.67437e-05,-36.495708635369134,0.028418544357810136
OKIYIR_charged,0.0027293,1.45989e-05,-36.568598135217094,0.0165066085468663
OKIYIR_clean,0.00273253,2.42336e-05,-36.56895620340978,0.017572683617521154
OKIZIT_clean,0.0524315,0.00153193,-46.947893482809924,0.09992418961556572
OKOQOW_clean,8.14134e-05,3.53982e-07,-26.794566767245676,0.02151857457169269
OKOSUE_clean,9.50226e-05,8.3551e-07,-23.62772735524868,0.05342791085629975
OKUJOV_clean,0.0153188,0.00153192,-47.92277266305419,0.4427345232367297
OLAGIR_clean,7.8391e-05,2.46055e-07,-24.081517813567316,0.009052929993872692
OLANAS_clean,4.13444e-05,2.54596e-07,-24.041736194855346,0.04605940775277963
OLANEW_clean,3.68679e-05,2.08644e-07,-23.041256111479967,0.028681336510576846
OLANIA_clean,2.26684e-05,3.58094e-07,-22.209677035280205,0.056414060983420916
OLEKUL_clean,0.000820735,1.24095e-05,-33.20581540519138,0.05020357478121219
OLEKUM_clean5b,7.6417e-05,2.83494e-07,-22.135742531765732,0.007731933007129071
OLEKUM_manual,7.64091e-05,2.1632e-07,-22.138130895548066,0.008551353553646094
OLELAS_clean,0.000721686,7.58983e-06,-33.127186200538816,0.022096460116340998
OLODEA_clean,0.000120036,1.06437e-06,-24.275868541713415,0.024458030240241038
OLOGAY_clean,0.000951332,4.38048e-06,-26.429345701400614,0.012864835478197266
OLOGEC_clean,4.12436e-05,3.95141e-07,-20.217431975059345,0.05186326472849133
OLOKEF_clean,0.00011004,1.25784e-06,-30.257213884911696,0.024188179425492538
OLONAG_clean,2.39873e-05,1.70217e-07,-24.344358790139776,0.010809683969671543
OLOPEM_clean,0.00350693,7.781e-05,-41.00318083169815,0.08942746500373355
OLOPIQ_clean,0.00271741,0.00010903,-40.039757817414156,0.09231952218326109
OLOPOW_clean,0.103168,0.00163196,-49.79371884920945,0.032587004238901665
OLOYOF_clean,0.000104601,7.59153e-07,-23.877691032447157,0.04892001545500494
OLUCAZ_clean,0.000237418,8.29348e-07,-27.132084683454092,0.005797262503526316
OLUROC_clean,0.000471354,6.56225e-06,-31.85357902609974,0.03068862470921764
OLURUI01_charged,0.000474435,5.52594e-06,-31.882389849505245,0.027611036727602862
OLURUI_charged,0.000453844,3.91407e-06,-31.767068378361085,0.018500333749260616
om701262m-file004_clean,0.000179873,3.36602e-07,-24.777548397651753,0.009534304155702587
OMAMEU_clean,0.000109764,6.96584e-07,-27.932567788736254,0.012471483737614872
OMAWOP_clean,0.00124348,7.81259e-06,-36.97311619289225,0.01465961777811412
OMAXEG_clean,0.00103239,9.99946e-06,-37.36463278892192,0.02723767134630599
OMEWUZ_clean,1.78193e-06,5.07344e-08,-24.088581490280042,0.04794904169250969
OMICOD_clean,0.000647973,1.59735e-05,-35.71003307491112,0.08518655625941901
OMIPAD_clean,0.00754419,5.17201e-05,-40.278041247564154,0.006324883167289464
OMORUE,0.000117099,3.44052e-07,-22.660390185591783,0.00809904385969627
OMOVET_clean,0.000194272,2.14346e-06,-27.594703652318,0.04303218163776211
OMOWEU_clean,0.00311557,3.18961e-05,-36.00324100581654,0.046522546032396854
OMUHUB_clean,0.00133504,1.84802e-05,-33.95116907692463,0.051720485097262694
ONALEV_clean,9.47114e-06,2.24744e-07,-27.618785198568354,0.04632185767810774
ONAWAC_clean,1.10879e-06,1.00645e-07,-25.101814132568524,0.16799747514981422
ONAWEG01_clean,8.72455e-08,6.04191e-09,-19.1787311002505,0.13228543654481503
ONAWEG02_clean,1.50943e-07,9.42467e-09,-20.42937796067711,0.10276750059819774
ONAWEG_clean,3.04395e-09,2.08271e-10,-12.096809606253666,0.16367122393260675
ONEJUN_clean,2.28397e-06,9.32709e-09,-16.618595054080824,0.010535867941139457
ONESUX_clean,2.57425e-06,1.31652e-07,-28.512547240256264,0.09958627079053264
ONEYOW_clean,9.86755e-05,7.87056e-07,-23.942478277351704,0.04227979894459996
ONIXOZ_clean,0.000210546,1.16226e-06,-25.780643271379322,0.018617959511182166
ONODOM_clean,0.00202886,3.38174e-05,-36.831264492214736,0.09414721295660554
ONUJUE_clean,0.000510987,1.78459e-06,-28.07848555046517,0.015220220844180692
