Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
AFIPAH_clean_2,-27.6821,6.51048e-05,26.7331,0.393126
AGARUW_clean_62,-22.8441,6.39245e-05,1791.6,0.260587
ADABUE_clean_2,-33.7925,0.00016008,0,1.0068
AHOKIR01_clean_2,-33.7907,0.000145177,0,0.208756
AFOYOK_clean_11,-22.3124,6.68616e-05,1654.37,0.438591
ABIYIV_clean_56,-30.1918,9.17737e-05,0,1.03474
AGONAM_clean_14,-26.5421,0.000276719,1093.05,0.325694
ABIYIV_56,-30.193,9.09872e-05,0,1.03864
AGIMOU_clean_14,-32.8291,9.27566e-05,0,0.340199
ACIBOE_clean_8,-22.9598,0.000105579,2164.12,1.07316
AJOTEY_clean_33,-19.9413,5.33751e-05,1518.77,0.156125
AHEQAH_clean_46,-21.8016,9.51018e-05,2909.27,0.344971
ADOCEC_clean_118,-28.0403,0.000114305,128.499,0.529877
AHUTIH_clean_14,-23.0455,1.59704e-06,0,0.250365
ADABIS_clean_2,-31.2743,1.07934e-05,0,1.13724
AHUTIH01_clean_14,-24.7662,2.96443e-06,0,0.314451
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-29.6995,0.00103472,1265.09,1.16089
AGONEQ_clean_7,-20.674,0.000108401,2534.4,0.449172
AGAXOV_clean_2,-19.6686,7.02823e-05,2458.01,0.48631
ACECIV_ion_b_14,-36.6771,9.27565e-05,0,1.20476
ALATAK_clean_12,-0.294038,1.23196e-10,0,0.130703
ADOCAY_charged_118,-30.7646,0.000144595,69.341,0.667067
AGUWUV_clean_2,-27.4216,2.67547e-05,2.88263,0.484672
ADOCIG_charged_118,-30.8564,0.000142355,58.2511,0.68315
ACMPCD_clean_1,-21.7714,9.04063e-06,172.762,1.30045
AGAYIQ_clean_15,-33.8307,6.17053e-05,0,0.585857
ALICAA_clean_229,-25.6056,5.16486e-05,1100.81,0.118098
ALIBUT_clean_229,-26.3079,7.17441e-05,1171.15,0.130512
AGUTUS_clean_14,-5.96418,3.59672e-10,0,0.597614
AKEDIF_clean_15,-29.3126,0.000904068,1547.44,0.421776
AFITEP_clean_2,-33.8356,0.00119686,22.071,0.878766
AFENEE_clean_34,-36.1924,0.000569013,0,0.883879
ACOLOV_clean_14,-22.469,0.00012706,2950.49,1.45566
AKUHOD01_clean_2,1.0177,2.00502e-11,0,0.472378
AJOXAA_clean_14,-25.9944,0.00026604,1518.32,0.54488
AKOHEO_clean_14,-19.7215,9.10594e-06,508.092,0.50312
ALALUU_clean_2,-1.22475,5.86563e-11,0,0.410662
AKUHOD_clean_2,-0.285507,2.87764e-11,0,0.473926
ALIPEQ_clean_21,-0.994746,1.49895e-10,0,0.299355
ALIXUP_clean_56,-17.2693,5.30774e-06,816.223,0.309709
ALALUU01_clean_2,-3.32974,1.13419e-10,0,0.477896
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.6359,0.0151849,47.821,1.51755
AFEJOK_ion_b_8,-25.8624,0.00027173,1343.51,0.981574
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-28.3293,0.000324098,642.96,1.54882
ALUKIC_clean_15,-16.156,3.62775e-05,4051.42,0.321192
AFOYAW_clean_2,-27.5841,0.000312738,612.504,1.02772
ALUKOI_clean_15,-16.1446,3.57179e-05,4046.72,0.341042
ALUKUO_clean_15,-16.1704,3.58521e-05,4048.81,0.343077
ACOGEF_clean_2,-32.4038,0.00116235,180.275,1.6639
ACOGAB_clean_2,-32.4634,0.00129656,187.934,1.67053
ALUKAU_clean_2,-34.1894,0.000857475,102.403,0.392839
AFOVEX_clean_1,-33.366,0.000583705,2874.1,1.10199
ALUJUN_clean_2,-34.2049,0.00118185,123.131,0.411025
AMALND_clean_60,-22.631,2.72432e-06,0,0.160865
ALULAV_clean_15,-16.2321,3.59842e-05,4028.54,0.329754
AFOVOH_clean_1,-33.6364,0.000572494,2858.57,1.13422
