Structures,CPU_time (s)
ALIPEQ_clean,83.85
ALIXAU_clean_h,152.72
ALIXOJ_clean,129.65
ALIXUP_clean,119.98
ALOLES_ion_b,167.28
ALOLET_charged,349.1
ALOLIX_charged,308.28
ALOLIY_clean,151.78
ALUJEX_clean,151.2
ALUJIB_clean,145.59
ALUJOH_clean,147.63
ALUJUN_clean,99.55
ALUKAU_clean,99.57
ALUKIC_clean,55.02
ALUKOI_clean,55.19
ALUKUO_clean,54.3
ALULAV_clean,55.58
ALULID_clean,99.32
ALURAB_clean,143.65
ALUREF_clean,140.49
ALURIJ_clean,143.18
am301365h_si_002_clean,180.52
AMAFOK_clean,168.75
AMAGAX_clean,366.68
AMALND_clean,69.4
AMEJIM_charged,110.36
AMEJOS_charged,175.5
AMIKOX_clean,132.95
AMILOY_clean,139.4
AMILUE_clean,159.36
AMIMAL_clean,137.86
AMIMEP_clean,162.71
AMIWID_clean,115.58
AMIWOJ_clean,114.7
AMIWUP_clean,115.98
AMIXAW_clean,119.45
AMIXEA_clean,115.61
AMIZIG_clean,122.77
AMODUC_clean,62.55
AMOFAK_clean,108.37
AMOYOR_clean,165.66
AMOZAE_clean,98.98
AMUCOB_clean,220.74
AMUFAR_clean,105.04
AMUFEV_clean,122.46
AMUFIZ_clean,161.32
AMUFOF_clean,94.39
AMUPOP_clean,309.82
AMUWIP_charged,162.15
AMUWUB_clean,122.04
AMUXAI_clean,149.33
ANAWIX_clean,89.65
ANAWOD_clean,114.43
ANEHEI_clean,121.16
ANENEN_clean,137.51
ANENIR_clean,145.86
ANEPIT_clean,207.56
ANIDIL_clean,404.38
ANOMOG_clean,124.26
ANOMUM_clean,98.46
ANONAT_manual,95.23
ANUGEW_clean,169.58
ANUGIA_clean,87.68
ANUGOG_clean,114.7
ANUGUM_clean,89.78
APACAX_clean,96.89
APARAM_clean,184.82
APAYIB_clean,104.32
APAYOH_clean,104.96
APAYUN_clean,102.54
APAZAU_clean,130.67
APAZEY_clean,131.56
APAZIC_clean,131.63
APAZOI_clean,78.48
APEBED_clean,87.97
APEBEE_clean,110.01
APEBII_clean,241.22
APEBOO_clean,268.65
APEBUU_clean,182.96
APETAS_clean,146.51
AQAJEI_clean,151.82
AQALIO_clean,90.23
AQALOU_clean,93.2
AQEFOS_clean,150.75
AQEFUY_clean,169.23
AQEGUY_clean,126.46
AQEQES_clean,99.57
AQEQIW_clean,96.53
AQERUL_clean,324.89
AQETIA_clean,103.61
AQETUM_clean,71.34
AQIQAU_clean,127.1
AQIQIC_clean,226.53
AQIXUU_clean,169.64
AQIXUV_clean,213.1
AQMAND01_clean,106.16
AQMAND_clean,87.81
AQODOA_clean,135.4
AQOLEZ_clean,141.28
AQOLOJ_clean,164.67
AQOMAW_clean,163.69
AQOSEG_clean,232.46
AQOTIK_clean,56.98
AQUCOF_clean,114.78
AQUCOG_clean,155.99
AQUCUM_clean,155.49
AQUDAS_clean,114.34
AQUDAT_clean,124.01
AQUDEX_clean,122.93
AQUDIB_clean,156.47
AQUDOH_clean,125.36
ARADEE_clean,114.34
ARAFEF_clean,90.35
ARAFIJ_clean,122.51
ARAFOP_clean,79.63
ARAGOR_clean,105.15
ARAHIM01_clean,127.27
ARAHIM02_clean,119.3
ARAHIM_clean,119.92
ARIBOS_clean,181.33
ARINOF_clean,94.11
ARINUL_clean,221.61
AROFAP_clean,139.42
AROFET_clean,91.44
ARUCOH01_clean,119.62
ARUCUN_clean,112.68
ARUDAU_clean,109.94
ARUJED_clean,137.36
ARUYES,254.53
ARUYES_clean,142.68
ARUYOB_clean,81.3
ARUYUH01_clean,90.56
ARUYUH_clean,93.8
ASACON_clean,96.33
ASADAA_clean,143.38
ASAHEJ_clean,134.22
ASAJOU_clean,228.01
ASALAH_clean,102.14
ASALIP_clean,122.22
ASALOV_clean,151.27
ASAMUE_clean,200.99
ASANAL_clean,207.56
ASECUY_clean,218.31
ASEJOZ01_clean,140.44
ASEJOZ_clean,129.47
ASEKAM_clean,90.82
ASEXED_clean,185.46
ASINAT_clean,197.54
ASIQEA_clean,111.19
