Structure_name,Adsorbent_name,Acessible_average_energy,Minimum_energy,Boltzmann_average_energy
cg301725z_si_002_clean,Xe,-12.73296,-28.303813,-25.768321
COKQAW_clean,Xe,-10.571709,-17.957659,-16.415367
BIWSIK_ion_b,Xe,-12.188024,-22.554396,-20.829479
EXOFIH_clean,Xe,-24.912499,-29.587685,-28.186877
ASOSUY_clean,Xe,-18.169953,-30.315839,-27.795839
CUYQIX_clean,Xe,-10.008011,-13.856869,-12.160961
FOBNAN_clean,Xe,-14.522895,-25.671539,-22.838517
BIWYAH10_clean,Xe,-10.116342,-15.699085,-12.845948
c6cc02494g_c6cc02494g6_clean,Xe,-8.56649,-18.823736,-16.330677
CUYRUK_clean,Xe,-12.945314,-22.038154,-22.025849
BADHIA_clean,Xe,-12.939128,-15.473975,-14.520319
DIBQIQ_clean,Xe,-16.553371,-27.566755,-24.940335
FOCREW_clean,Xe,-29.098482,-42.099755,-40.750443
ASOVEL_clean,Xe,-23.011125,-30.003134,-26.409479
COKQEA_clean,Xe,-8.847506,-19.323033,-17.339731
DUQRUD_clean,Xe,-21.64459,-35.311646,-31.87099
cg301725z_si_003_clean,Xe,-13.893294,-27.721837,-24.780667
DUQSEO_clean,Xe,,0.526429,1.712668
EPEYAB_clean,Xe,-19.525249,-33.507416,-32.421917
BIXXIR_clean,Xe,-15.498803,-23.575002,-20.073497
CUYVOI_clean,Xe,-26.657153,-35.898532,-35.008373
FOCZAA_clean,Xe,-27.709355,-36.670779,-34.889142
FUWFUA_clean,Xe,-18.338482,-28.73174,-25.723848
DUQYEU01_clean,Xe,-15.671734,-20.54517,-19.233515
COKQIE_clean,Xe,-8.604883,-18.284606,-17.019456
DUQYEU_clean,Xe,-15.729795,-20.559538,-19.239307
FOCZEE_clean,Xe,-19.702543,-33.239914,-31.369908
FODCEI_clean,Xe,-19.348983,-31.706833,-30.181056
cg301725z_si_004_clean,Xe,-21.355414,-27.726605,-25.120125
BIXYEO_clean,Xe,-15.960362,-23.836981,-21.065338
AGIREP_clean,Xe,-14.111898,-25.452597,-21.662509
DIBQOW_clean,Xe,-15.512433,-31.881377,-26.603056
FAZFET_clean,Xe,-14.48791,-25.723226,-22.393606
DURDAX_clean,Xe,-14.487519,-19.336485,-17.153286
AGONAM_clean,Xe,-23.951068,-27.563621,-25.07284
COKQOK_clean,Xe,-8.900369,-20.686774,-19.034962
c6ce00126b_c6ce00126b2_clean,Xe,-28.619588,-33.480428,-32.405338
FUWQIZ_clean,Xe,-14.645391,-32.073712,-29.985668
EFESOZ_clean,Xe,-19.354146,-33.784285,-31.675234
AGONEQ_clean,Xe,-17.440026,-19.960041,-18.336208
FAZPED_clean,Xe,-21.085662,-26.40467,-24.586249
DURDIF_clean,Xe,-16.150035,-21.89752,-19.034432
BIYSUZ_clean,Xe,-14.351484,-25.980738,-23.606917
BADHOG_clean,Xe,-13.572929,-16.508088,-15.563728
FUWXOL_clean,Xe,-23.037541,-32.69046,-31.727092
FAZRAA_charged,Xe,-27.109752,-33.607396,-32.031187
AGUBUA_clean,Xe,-24.262728,-30.313266,-29.215122
EFILUA_clean,Xe,-34.444819,-45.289259,-44.139273
GAJZOI_clean,Xe,-23.048631,-27.932436,-25.717325
FODYUT_clean,Xe,-24.790128,-35.382683,-33.21004
CUYWUP_clean,Xe,-20.534262,-31.428691,-27.139968
EPISOM_clean,Xe,-15.001187,-29.207136,-27.936533
FAZRAA_clean,Xe,-27.110609,-33.681025,-32.035207
EFIMOV_clean,Xe,-22.383153,-24.514931,-22.928856
GAJZUO_clean,Xe,-24.236282,-29.137111,-26.743542
FODZUU_clean,Xe,-36.806775,-54.495902,-53.675543
EPONAA_clean,Xe,-4.833453,-9.458331,-7.267893
AGUTUS_clean,Xe,-0.554845,-0.555993,-0.03522
FUWXOL_SL,Xe,-24.958794,-33.850672,-32.713317
EFIMUB_clean,Xe,-19.151367,-33.856237,-32.764329
EPONEE_clean,Xe,-4.798189,-9.520778,-7.256725
cg400449c_si_001_clean,Xe,-12.805565,-29.293138,-27.435861
FAZZEM_clean,Xe,-16.196539,-22.754911,-19.927096
GAKBAX_clean,Xe,-23.256629,-28.259489,-25.961655
BIYTAG_clean,Xe,-14.869263,-26.068098,-24.171127
DIBQUC_clean,Xe,-15.710461,-31.08133,-25.782445
FUWYAY_clean,Xe,-16.425484,-17.80983,-17.118338
FOFCIO_clean,Xe,-21.833321,-33.365007,-31.528272
EFOSUO_clean,Xe,-12.567582,-16.252156,-15.438161
CUYYAX_clean,Xe,-20.976015,-31.567961,-30.195017
BADHUM01_clean,Xe,,8.792962,9.890219
COKROL_clean,Xe,-24.957917,-37.123524,-34.861543
ASOYOY_clean,Xe,-16.63572,-26.971442,-23.696329
EFOTAV_clean,Xe,-11.971691,-15.669137,-14.259619
FOFCOU_clean,Xe,-26.008239,-36.483798,-34.747644
BIYTEJ,Xe,-20.450806,-26.792813,-24.283466
EPOPEG_clean,Xe,-21.903186,-27.54415,-25.84019
EFOTEZ_clean,Xe,-12.373975,-16.502136,-14.992828
GAKTET_clean,Xe,-17.992212,-35.347666,-33.59199
DIBWUH_clean,Xe,-12.115761,-13.105341,-12.634934
CUYYEB_clean,Xe,-21.923575,-31.579286,-30.186213
FOFDAH_clean,Xe,-26.967908,-42.750463,-41.114662
ASUBIB_clean,Xe,-23.087288,-28.474127,-25.945091
FOFHAK_clean,Xe,-24.908012,-31.276758,-29.445703
EFOTID_clean,Xe,-13.237683,-17.388887,-15.623705
FEBPUY_clean,Xe,-22.044848,-28.545834,-27.376669
cg4012185_si_002_clean,Xe,-29.114299,-43.868775,-40.77715
CUZBUW_clean,Xe,-21.661517,-27.407552,-24.974444
DIBWUI_clean,Xe,-20.244409,-29.217391,-27.826658
COLPEA_clean,Xe,-4.915744,-6.927302,-5.847816
EPOTAF_clean,Xe,-12.949868,-18.820264,-15.736401
c6ce00141f_c6ce00141f2_clean,Xe,-14.221906,-27.87894,-25.317043
FECCIZ_clean,Xe,-30.668214,-47.282144,-46.335694
FOFHEO_clean,Xe,-23.780982,-28.17625,-26.326902
BIYTOU_clean,Xe,-15.764576,-25.771339,-22.779405
COMDOY_clean,Xe,-23.298266,-28.026344,-26.647958
EPOXAJ_clean,Xe,-14.108953,-19.112464,-17.032713
FOFHUE_clean,Xe,-18.577828,-33.864565,-32.03674
COMGUH_clean,Xe,-19.097156,-25.82932,-25.480368
FUXCOS_clean,Xe,-25.76746,-35.96381,-35.006074
FECFAV_clean,Xe,-21.164902,-25.442882,-23.379944
EGABAR_clean,Xe,-25.581394,-30.09238,-29.106661
DIBXAO_clean,Xe,-15.120438,-22.48033,-21.608641
cg401858s_si_002_clean,Xe,-21.992897,-30.263222,-27.398927
ASUJIJ_clean,Xe,-14.605538,-37.055082,-35.962511
AGUVOO_charged,Xe,-18.654031,-29.138988,-25.818532
EGAFOJ_clean,Xe,-22.290682,-28.283131,-26.728541
EPUJIJ_clean,Xe,-17.619924,-26.143617,-25.14747
BIYVEM_clean,Xe,-15.092123,-26.184642,-24.230643
AGUWUV_clean,Xe,-17.314193,-28.878872,-27.838317
EGAFUP_clean,Xe,-21.936791,-28.1758,-26.718702
DIBXAP_clean,Xe,-19.282819,-29.573484,-28.141145
c6ce00407e_c6ce00407e1_clean,Xe,-11.313977,-30.322494,-26.911733
EGAGAW_clean,Xe,-22.644046,-28.440849,-26.694783
AHAMAY_clean,Xe,-22.674608,-31.454093,-30.356189
FOFMOE_clean,Xe,-20.480142,-29.258441,-26.066988
BADHUM_clean,Xe,-13.260766,-16.714594,-15.767628
EGAGEA_clean,Xe,-22.614891,-28.410063,-26.656578
comp2_clean,Xe,-19.255622,-30.20387,-26.882844
EPUSUE_clean,Xe,-12.550624,-19.743979,-17.446379
GALBUS,Xe,-19.587065,-28.32111,-25.192727
cg401887b_si_003_clean,Xe,-13.558915,-22.755136,-20.371624
DIBXIX_clean,Xe,-14.061242,-30.340204,-28.553175
FUXXIH_clean,Xe,-14.102056,-32.07671,-28.649341
BIYVIQ_clean,Xe,-13.684313,-25.136467,-21.636985
FECKAA_clean,Xe,-22.637629,-35.860635,-32.996818
EGATAI_clean,Xe,-14.672311,-18.991366,-17.465195
DIBXOD_clean,Xe,-15.978113,-30.852298,-29.113962
DABFET_clean,Xe,-26.13493,-38.440909,-34.649243
FECWOB01_clean,Xe,-17.753264,-27.468183,-25.704484
c6ce00407e_c6ce00407e2_clean,Xe,-11.080834,-29.42151,-25.84142
EPUTUF_charged,Xe,-23.771423,-41.968229,-40.489551
cg401887b_si_004_clean,Xe,-13.666891,-22.929157,-20.32574
DICKEH_clean,Xe,-9.990776,-27.853095,-26.207327
FOFTIF_clean,Xe,-22.417829,-36.386657,-32.379787
GALCAZ_clean,Xe,-20.21807,-29.074481,-26.197152
FECWOB,Xe,-14.774213,-26.668511,-26.007493
c6ce00407e_c6ce00407e3_clean,Xe,-11.132522,-32.464429,-31.930274
AHEBAS_clean,Xe,-24.30077,-35.715954,-32.692415
EPUVAN_charged,Xe,-25.877145,-42.846371,-41.12033
COMZAH_clean,Xe,-19.590304,-35.881542,-34.868012
FUYCAE_clean,Xe,-12.849914,-29.738916,-27.026117
c6ce00407e_c6ce00407e8_clean,Xe,-17.287464,-24.784458,-21.108182
GALCED_clean,Xe,-21.250433,-31.066384,-28.939609
c6ce00407e_c6ce00407e9_clean,Xe,-4.394938,-14.058319,-9.780057
DICVAO_clean,Xe,-20.308571,-31.701292,-29.005529
EGATEM_clean,Xe,-15.080539,-39.869755,-38.830183
FOFTOL_clean,Xe,-21.808311,-35.140581,-31.09369
cg500033b_si_002_clean,Xe,-23.164451,-29.474203,-27.01641
c6ce00465b_c6ce00465b2_clean,Xe,-18.354669,-26.434617,-23.712247
ASUKEE01_clean,Xe,-21.353867,-40.988735,-39.893776
COMZIP_clean,Xe,-28.477005,-36.565663,-35.300556
AHEQAH_clean,Xe,-16.647019,-21.744929,-19.435041
EPUXET_clean,Xe,-23.285841,-35.404581,-33.314762
GALFAB_clean,Xe,-27.898162,-35.133626,-33.660578
DICVES_clean,Xe,-19.564401,-30.76273,-28.566865
DABFIX_clean,Xe,-27.284598,-39.886291,-36.675249
BIYXUE_charged,Xe,-16.74101,-36.946423,-32.272039
AHINIP_clean,Xe,-26.020286,-35.806789,-35.119652
c6cp03028a_c6cp03028a3_clean,Xe,-19.829614,-26.386618,-24.045022
cg500033b_si_003_clean,Xe,-20.536541,-39.565738,-37.171896
EQAMUG_clean,Xe,-15.680996,-26.090166,-24.652505
COPXOV_clean,Xe,-26.847919,-39.469415,-37.153978
FOFTUR_clean,Xe,-21.601004,-35.950102,-32.872657
EGATIQ_clean,Xe,-13.841245,-39.033007,-37.943984
FECXAO_clean,Xe,-22.304287,-27.962288,-25.921727
FUYCAF_clean,Xe,-14.079876,-28.232083,-26.461747
FOGFAK_clean,Xe,-25.585808,-38.597039,-37.764862
DICVIW_clean,Xe,-21.54721,-33.048113,-29.822148
DABGIZ_clean,Xe,-18.15044,-23.772035,-21.47951
FOHCAH_clean,Xe,-6.217819,-11.039791,-9.908192
EXOGAB_clean,Xe,-41.53786,-68.955719,-64.700928
EQERAU_clean,Xe,-16.839695,-26.419172,-23.544542
FOHCIP_clean,Xe,-21.371393,-24.846382,-23.684631
cg500091k_si_002_clean,Xe,-17.248234,-25.035149,-22.664066
EGATOW_clean,Xe,-19.270483,-22.332302,-20.293033
FOHQUO_clean,Xe,-14.790726,-25.22453,-23.582779
FOHRUR_clean,Xe,,1.212179,1.895805
COQGAS_clean,Xe,-20.541522,-26.057014,-22.915263
DABMUR_clean,Xe,-15.933897,-22.088922,-19.44864
cg500121f_si_004_clean,Xe,-25.103215,-34.242667,-33.057042
GALHOS_ion_b,Xe,-18.177704,-40.376856,-36.819323
FOHSAW01_clean,Xe,-14.232788,-23.461222,-22.218967
cg500149s_si_002_clean,Xe,-26.652843,-29.132941,-28.201572
EGEJIK_clean5b,Xe,-11.486176,-29.888526,-24.488202
FUYCEJ_clean,Xe,-22.06035,-27.471188,-25.143132
FECXES_clean,Xe,-14.869411,-37.142201,-36.455184
EQEREY_clean,Xe,-24.332724,-30.050367,-28.148662
FOJKIA_clean,Xe,-23.207741,-31.345975,-29.980066
DABWUA_clean,Xe,-14.506822,-25.439557,-22.98518
ASUKEE_clean,Xe,-21.446588,-40.868463,-39.724279
BIYYAL_charged,Xe,-16.510098,-37.130052,-32.357156
DIDBAV_clean,Xe,-19.726544,-25.65299,-23.958663
GIQYAH_clean,Xe,-18.473206,-26.046457,-23.206989
AHIYOH_clean,Xe,-27.459252,-34.202761,-31.138172
FUYCIN_clean,Xe,-6.506818,-14.400543,-11.832058
GALJAG_clean,Xe,-17.845105,-29.499055,-28.065003
COQHUN_clean,Xe,-21.878953,-36.169754,-33.242953
c6dt01288d_c6dt01288d2_clean,Xe,-26.315991,-38.65017,-36.313393
EQERIC_clean,Xe,-23.906004,-31.596024,-29.650317
GIQYEL_clean,Xe,-18.600701,-24.9171,-22.472215
EGEJIK_manual,Xe,-11.486008,-29.888526,-24.488254
c6dt03852b_c6dt03852b2_clean,Xe,-12.662789,-29.905538,-28.152526
GIQYIP_clean,Xe,-19.439041,-25.26023,-22.529204
EXOTOB_clean,Xe,-8.191822,-18.723705,-15.400615
BADJAU_clean,Xe,-6.300981,-17.618701,-15.935942
GIQYOV_clean,Xe,-17.851862,-22.512422,-21.520265
EQEROJ_clean,Xe,-17.609099,-30.149768,-28.541204
cg500192d_si_002_clean,Xe,-15.267145,-29.723115,-26.434739
DACFAR_clean,Xe,-20.890271,-38.64065,-37.828954
ASUWUI_clean,Xe,-19.923869,-30.227411,-27.347545
GIQYUB_clean,Xe,-19.098709,-25.713573,-22.936779
c6dt04165e_c6dt04165e2_clean,Xe,-10.249985,-19.779247,-18.066879
cg500192d_si_003_clean,Xe,-9.346085,-21.318625,-16.46622
c6ra27069g_c6ra27069g2_clean,Xe,-18.535412,-30.053403,-28.43091
EXOTUH,Xe,-19.1072,-27.510312,-23.62858
DIDBEZ_clean,Xe,-19.452466,-25.967352,-23.594645
GIQZIQ_clean,Xe,-24.008055,-33.296215,-30.971492
ATAFIK_clean,Xe,-18.879546,-23.021505,-20.304382
BADJIC_clean,Xe,,1.234053,1.782674
BIYYEP_charged,Xe,-18.49632,-38.074327,-34.37142
GIRDUI_clean,Xe,-15.209907,-31.234037,-29.848789
EGEJOQ_clean,Xe,-19.696356,-32.712305,-29.662725
GIRFUJ_clean,Xe,,11.596174,12.907529
GAMFEI_clean,Xe,-18.4746,-32.031571,-30.269359
EQETAX_clean,Xe,-21.918201,-33.467725,-28.656149
DIDDOK_clean,Xe,-11.683126,-22.177498,-18.088839
FECXUI_clean,Xe,-14.746356,-25.908434,-22.529273
EQIWAD_clean,Xe,,154.040207,154.583237
GIRGUL_clean,Xe,-15.393387,-26.260646,-24.992942
COQJAV_clean,Xe,-26.860762,-37.177711,-35.337014
FECYIX_clean,Xe,-5.995889,-7.68092,-6.785972
c6ra28728j_c6ra28728j2_clean,Xe,-22.822161,-36.455698,-35.564198
ATAYAX_clean,Xe,-15.515755,-31.212927,-27.422308
EXOTUH_SL,Xe,-19.829456,-28.059981,-24.326701
cg500975j_si_002_clean,Xe,-25.052679,-37.166034,-33.924863
DACSAE_clean,Xe,-20.794735,-45.727876,-45.325632
FUYCUZ_clean,Xe,-11.962631,-33.696634,-28.369284
GAMSOD_clean,Xe,-22.4213,-34.286629,-31.622866
EXOZEX_clean,Xe,-17.856949,-27.246342,-25.380748
DIGFAC_clean,Xe,-40.863047,-55.384994,-53.396713
GIRHEW_clean,Xe,-19.511559,-33.122794,-29.65507
GAMTAQ_clean,Xe,-20.559041,-31.023548,-29.114179
EXOZIB_clean,Xe,-11.54983,-25.955983,-23.142548
AHIYUN_clean,Xe,-37.336183,-55.97525,-52.591149
ATAYEB_clean,Xe,-14.797037,-31.238421,-27.53507
EXUHEM_clean,Xe,-24.055684,-34.030114,-32.741811
GAMTEU_clean,Xe,-21.52556,-32.048594,-29.849947
EGEJUW_clean,Xe,-15.869319,-30.138659,-27.830129
GIRXUC_clean,Xe,-9.698725,-14.355058,-11.41953
EQOCES01_clean,Xe,-24.089913,-29.609745,-28.3109
EGELUY01_clean,Xe,-21.234096,-24.992484,-23.364365
cg501012e_si_002_clean,Xe,-17.967115,-30.072751,-27.944544
GAMTIY_clean,Xe,-21.130635,-31.999799,-30.055247
BADXAI_clean,Xe,-19.279388,-27.16439,-25.96731
AHOBEG_clean,Xe,-25.276406,-31.157873,-29.725579
DIHPIU_charged,Xe,-18.243714,-26.272429,-24.746242
COQJID_clean,Xe,-29.405199,-38.100123,-36.118452
ATEJOA_clean,Xe,-33.422599,-49.399734,-47.797696
AHOJUC_clean,Xe,,6.961873,7.771897
GAMTOE_clean,Xe,-14.420469,-26.004068,-25.126316
EQOCES_clean,Xe,-26.090873,-31.581072,-30.303127
GIRYAJ_clean,Xe,-9.705934,-16.425167,-13.848177
cg5010616_si_003_clean,Xe,-20.430276,-29.69596,-27.322682
EGELUY01_manual,Xe,-21.199593,-25.073319,-23.43912
AHOKAJ_clean,Xe,,7.213243,7.386522
AHOKIR01_clean,Xe,-16.578158,-34.304344,-34.299215
AHOKIR_clean,Xe,-15.77996,-28.297266,-28.055595
AHOKOX_clean,Xe,-15.027344,-26.547479,-26.220615
GAMTUK_clean,Xe,-15.171691,-24.925733,-24.018139
EQOCIW_clean,Xe,-26.123087,-31.518858,-30.376261
cg5010616_si_007_clean,Xe,-16.321065,-29.349598,-28.045299
BIZLUT_clean,Xe,-17.056239,-34.814443,-30.104459
EGELUY_clean,Xe,-21.136454,-30.103272,-24.058458
ATEXII_clean,Xe,-26.871389,-34.848834,-33.522782
FUYKER_clean,Xe,-23.54838,-32.421958,-29.434267
DIHVIB01_clean,Xe,-13.212158,-32.792318,-31.977886
GAMVAS_clean,Xe,-15.486226,-23.008283,-22.145361
FUYYAA_clean,Xe,-21.755215,-28.276419,-27.25245
COQJOJ_clean,Xe,-23.423434,-40.35904,-38.971062
EGELUY_manual,Xe,-21.167946,-30.103272,-24.07733
DACSEI_clean,Xe,-21.54901,-50.892034,-48.836884
GIRYEN_clean,Xe,-26.801651,-36.265773,-34.105389
EGELUY_SL,Xe,-21.307702,-25.090286,-23.416846
EXUHUC_clean,Xe,-14.416882,-27.269683,-24.517892
GIRYIR_clean,Xe,-17.375299,-32.142385,-31.224739
DACXOV_clean,Xe,-31.975019,-36.442326,-35.065998
EXUMOZ_clean,Xe,-8.350858,-8.740603,-8.382471
FUYZAB_ion_b,Xe,-14.546409,-27.383742,-26.176513
DIHVIB_clean,Xe,-11.828384,-35.873468,-35.652359
EQOCOC01_clean,Xe,-17.998824,-26.694326,-25.232856
BADYAJ_clean,Xe,-14.964148,-24.639186,-21.222198
ATEYED_clean,Xe,-14.252393,-21.053043,-18.290933
GIRYOX_clean,Xe,-13.784981,-29.312197,-28.256332
DACXUB_clean,Xe,-31.498093,-37.371976,-35.69964
GAMXAV_clean,Xe,-13.250319,-27.011288,-25.166567
COQJUP_clean,Xe,-26.406048,-42.397241,-40.034464
BAEDTA01_clean,Xe,-29.277252,-48.171213,-47.890369
COQNIF_clean,Xe,-20.548535,-30.762094,-29.363872
EXURUM_clean,Xe,-21.280921,-31.404167,-29.689941
DACYAI_clean,Xe,-31.650915,-36.573593,-35.162184
