Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AGAXOV_clean_2,-20.9043,6.58585e-05,21.5212
ALIBUT_clean_229,-25.9015,3.5999e-05,4.49787
ALICAA_clean_229,-25.1994,2.56421e-05,4.3982
AHUTIH01_clean_14,-24.8245,5.44921e-06,14.6659
ALATAK_clean_12,0.584448,6.3107e-11,6.66248
ABIYIV_clean_56,-30.028,7.7814e-05,46.5351
ABIYIV_56,-30.028,7.78142e-05,46.5603
ADABUE_clean_2,-33.9121,0.000228636,46.5934
AGONEQ_clean_7,-20.8519,6.99725e-05,20.1291
AGUWUV_clean_2,-27.6493,3.64916e-05,22.0732
AGAYIQ_clean_15,-34.4823,0.000126436,27.3497
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-30.4343,0.00115094,53.3312
ADABIS_clean_2,-31.184,2.20785e-05,53.5094
AFENEE_clean_34,-37.3936,0.00139286,41.6639
AFITEP_clean_2,-34.1906,0.00185619,41.8232
ACECIV_ion_b_14,-36.6836,0.000151846,54.9693
AKEDIF_clean_15,-30.673,0.000989716,20.3874
AGUTUS_clean_14,-6.64984,8.69316e-10,28.1888
AFEJOK_ion_b_8,-26.5869,0.000242026,46.2768
ALIPEQ_clean_21,-1.97872,1.46892e-10,13.441
ALALUU_clean_2,-1.61028,7.57224e-11,19.6759
AKOHEO_clean_14,-20.2039,6.47941e-06,23.6516
ALIXUP_clean_56,-18.0101,3.38815e-06,15.3964
ACMPCD_clean_1,-21.9227,4.72985e-06,60.3571
AJOXAA_clean_14,-26.5498,0.00019846,25.5133
ALUKIC_clean_15,-17.1905,3.96464e-05,13.3878
ALALUU01_clean_2,-2.6804,1.1222e-10,23.1879
AKUHOD01_clean_2,0.747772,1.9456e-11,23.9819
AKUHOD_clean_2,-0.307639,3.04126e-11,24.0086
ALUKOI_clean_15,-17.167,3.878e-05,13.4566
AMALND_clean_60,-22.429,4.66002e-06,7.05502
ACOLOV_clean_14,-23.1224,0.000104266,64.5311
AFOYAW_clean_2,-27.9332,0.00033404,47.7413
ALUJUN_clean_2,-34.54,0.00177724,19.8651
ALUKAU_clean_2,-34.5211,0.00134196,20.0836
ALUKUO_clean_15,-17.197,3.90232e-05,13.6555
ALULAV_clean_15,-17.2642,3.92893e-05,13.8913
AFOTUL_clean_1,-34.9913,0.00112198,51.8269
ALIXOJ_clean_14,-22.8157,7.29015e-05,23.1638
AFOTOF_clean_1,-35.2714,0.00123046,52.2442
ALAHUS_clean_122,-24.11,7.22528e-05,30.7503
AFOVEX_clean_1,-34.7712,0.00109436,50.7268
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.7257,0.0152999,68.7639
AFOVAT_clean_1,-33.6497,0.000780841,52.2824
AFOVOH_clean_1,-35.0488,0.00112464,51.2116
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-29.1653,0.000309371,69.4652
AFOVIB_clean_1,-35.2343,0.00115455,53.0175
ALOLIY_clean_15,-16.8854,3.15275e-06,24.6395
ACOGEF_clean_2,-32.922,0.00142365,76.0117
AFEDIA_clean_2,8.24588,3.40903e-13,66.5792
AHAMAY_clean_2,-31.3288,0.000104509,48.61
ACOGAB_clean_2,-32.9149,0.00160985,77.17
AGUVOO_charged_60,-27.6581,0.000226104,51.2777
AFIXAO_clean_14,-31.9913,0.000506649,64.9464
AJAMEF_clean_15,-37.9771,0.00123955,47.2697
AFIXES_clean_14,-32.2581,0.000508157,65.9548
AGAYOW_clean_15,-32.2226,0.000558354,55.9582
AJUNOK_clean_54,-33.5216,0.000467094,47.4527
AKOBAF_clean_15,-35.3912,0.00228822,46.9534
AKUKUO_clean_2,-32.2737,0.0010503,46.1153
ANAWIX_clean_15,-26.8008,0.000168845,12.921
AMOZAE_clean_14,-23.6036,2.14376e-06,18.042
acscombsci.5b00188_5013797_clean_1,-22.1296,8.01564e-05,87.8132
AMIWOJ_clean_14,-35.5453,0.00134964,27.1326
AMIWID_clean_14,-35.7694,0.00144246,27.2608
AMIKOX_clean_54,-2.37403,5.39717e-11,27.9937
ANAWOD_clean_52,-25.8046,0.000138417,17.6745
AMEJIM_charged_148,-25.2159,3.67898e-05,31.4725
ac403674p_si_001_clean_4,-22.4211,2.32928e-05,89.4242
AMIWUP_clean_14,-35.7846,0.00147475,27.1066
ACOLIP_clean_1,-33.5418,0.00105071,90.7787
AHOBEG_clean_2,-31.5384,0.000343613,60.7559
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-33.404,0.00137198,91.9525
AMIXAW_clean_14,-36.1807,0.00162627,28.2605
AMAFOK_clean_2,-30.2864,0.000536068,38.6501
ALIFUY_clean_14,-38.3509,0.00193932,52.8589
AHUFIU_clean_14,-20.2042,2.55727e-05,65.8006
AMOFAK_clean_19,-17.7675,4.87066e-05,30.8649
am301365h_si_002_clean_160,-22.5439,6.30423e-05,42.9792
APACAX_clean_122,-28.0701,0.00044419,15.4956
ADASUV_clean_2,-20.3839,5.80194e-05,100.615
AKUHOD03_clean_1,0.124764,2.57499e-11,63.7167
AMIZIG_clean_62,-24.2149,2.83779e-05,34.637
ALULID_clean_2,-23.1073,9.83835e-05,48.3825
ANUGOG_clean_15,-20.1565,6.86358e-05,19.0444
AMUFOF_clean_2,-29.3237,0.000219588,33.761
AHIYOH_clean_61,-33.0755,0.00120029,72.8304
ANOMOG_clean_12,-35.2948,0.000794164,23.5617
AKOXIJ_clean_12,-44.4823,0.0312265,68.2309
AMUFIZ_clean_2,-22.9715,1.19446e-06,37.5001
AQEQES_clean_15,-24.3651,0.000173119,6.3106
AMUFAR_clean_2,-32.321,0.000230004,38.117
ANUGUM_clean_2,-21.9701,0.000132631,22.7384
AMUFEV_clean_2,-24.5019,5.04519e-06,38.3268
ADODII_clean_1,-30.1182,0.00062993,100.762
APARAM_clean_147,-44.6238,0.0146569,21.7904
ALANAD_clean_2,-19.7995,6.57896e-05,69.181
APAZOI_clean_15,-28.8139,0.000512005,17.9662
AJAKON_clean_14,-32.522,0.000481225,74.6554
ANONAT_manual_2,-22.7297,0.000116694,27.481
AQALIO_clean_62,1.60177,4.93038e-11,14.0309
AJINOY_clean_2,-14.3255,4.40493e-09,74.5736
AKAYIV_clean_13,-21.3135,2.422e-05,73.9765
ANOMUM_clean_2,-23.344,0.00015476,28.4393
AQALOU_clean_62,2.65895,2.65941e-11,14.042
ADODOO_clean_1,-31.0109,0.000825055,104.624
ACOLUB_clean_2,-26.8255,0.000178327,111.213
AQETUM_clean_14,-21.9809,1.52226e-05,9.79357
AQOLOJ_clean_221,-37.443,0.00436186,5.86058
AQOTIK_clean_123,-30.6273,0.000497789,5.08319
ALEQIT_clean_2,-31.1066,0.000251764,71.9147
AQOMAW_clean_221,-31.2519,0.000417423,6.22488
APEBED_clean_19,-34.0414,0.000407503,22.0417
AQEQIW_clean_14,-24.9745,0.000224664,12.0926
AMUWUB_clean_2,-22.6414,2.97222e-05,43.9173
APAYIB_clean_15,-29.7484,0.00075207,25.6933
APAYUN_clean_15,-28.3458,0.000481076,25.2653
ADODUU_clean_1,-31.3886,0.000933122,105.919
APAYOH_clean_15,-29.5851,0.000720265,25.845
APETAS_clean_13,-22.0176,8.4227e-07,22.3232
APAZIC_clean_15,-27.0921,0.000356246,25.6356
AHEBAS_clean_5,-35.1639,0.00217675,86.7832
AQOLEZ_clean_123,-29.6022,0.000362006,10.7717
APAZEY_clean_15,-28.18,0.000519465,29.4926
ARAFEF_clean_24,-22.555,8.6598e-05,7.73254
APAZAU_clean_15,-28.4602,0.000568116,30.0159
ABAVIJ_clean_1,-41.164,0.00488907,118.834
ARAHIM02_clean_140,-0.791522,2.53342e-11,6.53708
ALOLET_charged_159,-23.7361,6.86925e-05,73.3413
ARAFIJ_clean_24,-23.7661,0.000121816,8.69974
AQMAND_clean_2,0.881646,3.25143e-11,14.4051
AQETIA_clean_14,-18.1021,2.27622e-07,19.9149
ANUGEW_clean_2,-18.8491,4.22615e-05,39.7785
AFITIT_clean_5,-29.837,0.000320856,108.487
ARAFOP_clean_24,-28.7103,0.000360184,10.5538
AMODUC_clean_1,-17.7657,4.85721e-05,57.1115
