Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ACIBOE_clean_8,-23.548,0.00012736,46.3146
AGAXOV_clean_2,-20.0203,7.64478e-05,22.2402
ALATAK_clean_12,-0.159103,1.13046e-10,6.58193
ABIYIV_clean_56,-30.0654,7.79495e-05,46.7128
ALIBUT_clean_229,-25.8662,6.1874e-05,4.64414
AHUTIH01_clean_14,-24.4959,3.28981e-06,15.1429
ALICAA_clean_229,-25.1239,4.24708e-05,4.6204
ABIYIV_56,-30.0654,7.79495e-05,47.5568
AGONEQ_clean_7,-20.7105,0.000109865,20.5978
AGUWUV_clean_2,-28.0357,3.66494e-05,21.9207
ADABIS_clean_2,-30.8018,1.14153e-05,51.1323
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-29.7468,0.00109083,52.0876
AGAYIQ_clean_15,-34.4844,9.94637e-05,26.6445
AFENEE_clean_34,-36.7333,0.000806262,40.3785
ACECIV_ion_b_14,-36.6196,0.000120367,54.7877
AFITEP_clean_2,-33.7791,0.00149768,42.1469
AKEDIF_clean_15,-29.857,0.00109567,20.2605
AGUTUS_clean_14,-6.73737,6.43585e-10,28.6143
ALIPEQ_clean_21,-1.88111,4.29757e-10,13.7558
ALALUU_clean_2,-2.71226,1.33764e-10,20.5698
AFEJOK_ion_b_8,-26.2037,0.000300998,47.0243
AKUHOD01_clean_2,0.0110436,3.38169e-11,23.3565
AKOHEO_clean_14,-19.5253,7.3586e-06,24.3026
ALALUU01_clean_2,-3.74482,1.89345e-10,23.3338
AJOXAA_clean_14,-26.0635,0.000256868,26.1285
AKUHOD_clean_2,-1.15676,5.15697e-11,24.6065
ALIXUP_clean_56,-17.306,4.23941e-06,16.0007
ALUKIC_clean_15,-16.6345,4.24356e-05,14.0816
ACMPCD_clean_1,-21.7904,7.23166e-06,63.1409
ALUKOI_clean_15,-16.6127,4.1677e-05,14.6158
ALUKUO_clean_15,-16.6395,4.1834e-05,14.3058
AMALND_clean_60,-22.4707,3.14779e-06,7.17418
ALULAV_clean_15,-16.7129,4.21203e-05,14.1418
ALUJUN_clean_2,-34.2901,0.0016268,19.9871
ACOLOV_clean_14,-22.7987,0.000138615,67.6824
AFOYAW_clean_2,-27.836,0.000389402,49.0256
ALUKAU_clean_2,-34.2487,0.00116452,20.2324
AFOVEX_clean_1,-33.5295,0.000796431,50.7651
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.4844,0.0141826,68.6382
ALAHUS_clean_122,-23.36,8.16254e-05,31.018
AFOTUL_clean_1,-33.6597,0.000773142,52.4046
AFOTOF_clean_1,-34.0762,0.000871889,53.022
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-28.5783,0.000331296,69.5055
ALIXOJ_clean_14,-22.0837,6.8931e-05,23.5546
AFOVAT_clean_1,-32.5907,0.000621712,53.621
AFOVIB_clean_1,-34.0331,0.000814647,52.612
ALOLIY_clean_15,-16.2546,4.19974e-06,25.1676
AFOVOH_clean_1,-33.9072,0.000812447,53.4658
ACOGAB_clean_2,-32.7016,0.00159501,75.2167
ACOGEF_clean_2,-32.7022,0.00144779,77.0042
AFEDIA_clean_2,7.77213,4.08897e-13,66.306
AHAMAY_clean_2,-31.4803,0.000113155,49.3668
AFIXES_clean_14,-32.2077,0.000623479,63.8321
AFIXAO_clean_14,-31.9275,0.000629498,64.6325
AGUVOO_charged_60,-26.9818,0.000230528,51.574
AGAYOW_clean_15,-32.232,0.00072803,54.5916
AJAMEF_clean_15,-37.6687,0.000922626,46.7303
AKUKUO_clean_2,-31.9599,0.00102857,44.8574
AKOBAF_clean_15,-34.6711,0.00199277,47.022
ANAWIX_clean_15,-26.52,0.000216227,12.6764
AJUNOK_clean_54,-33.0316,0.000496346,48.9116
AMOZAE_clean_14,-23.2747,1.94031e-06,17.9108
AMIKOX_clean_54,-0.904621,1.21283e-11,28.29
AMIWID_clean_14,-35.7155,0.0015361,26.8605
AHOBEG_clean_2,-31.3412,0.000259141,59.4997
ANAWOD_clean_52,-24.6505,0.000141619,18.2316
AMIWOJ_clean_14,-35.5032,0.00144794,27.3782
AMEJIM_charged_148,-24.1914,4.53274e-05,31.7877
AMIWUP_clean_14,-35.7653,0.00157933,27.3078
ACOLIP_clean_1,-33.4607,0.00104681,92.4094
AMIXAW_clean_14,-36.1222,0.00170663,26.7889
ac403674p_si_001_clean_4,-21.9354,2.92555e-05,93.2926
acscombsci.5b00188_5013797_clean_1,-20.9283,8.41287e-05,93.7548
ALIFUY_clean_14,-38.3831,0.00187029,51.735
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-33.5819,0.00182671,94.8426
AMAFOK_clean_2,-29.9044,0.000787936,38.6602
am301365h_si_002_clean_160,-21.6974,6.46026e-05,42.6212
AMIZIG_clean_62,-23.9046,4.23885e-05,33.5022
AHUFIU_clean_14,-18.9276,2.50124e-05,68.2734
AHIYOH_clean_61,-32.8792,0.00142013,70.8345
APACAX_clean_122,-28.0266,0.000511012,15.8294
AMOFAK_clean_19,-17.3441,5.62888e-05,33.4248
ALULID_clean_2,-22.6092,0.000110084,49.329
AKUHOD03_clean_1,-0.463283,3.57956e-11,64.5927
AMUFOF_clean_2,-29.1012,0.000208391,33.3149
ADASUV_clean_2,-19.7764,6.65243e-05,102.829
ANUGOG_clean_15,-19.592,7.35571e-05,19.6788
ANOMOG_clean_12,-34.4609,0.000528168,23.7733
ADODII_clean_1,-30.2218,0.00093577,98.3165
AKOXIJ_clean_12,-42.547,0.0329295,67.9048
AMUFIZ_clean_2,-23.3054,1.17879e-06,37.0494
AQEQES_clean_15,-24.0964,0.000245005,6.11341
