Structures,CPU_time (s)
ABAYIO_clean_225,3.42988
ABAYOU_clean_225,3.47479
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,4.13857
ABEMIF_clean_221,4.26792
ABETAE_clean_36,6.03506
ABESUX_clean_36,6.18075
ABULOB_clean_60,8.49039
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,8.50466
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,9.36915
ABEXEN_clean_192,10.4999
acscombsci.5b00188_5036495_clean_1,11.141
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,12.1042
ACUBAB_clean_15,12.4293
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,12.958
acscombsci.5b00188_5024922_clean_1,13.5129
ADOGEH_clean_225,5.16119
ADAXEK_clean_12,14.0666
ADAVIM_clean_199,14.4881
ADATOQ_clean_199,15.3836
ADATUW_clean_199,15.5751
ADAVAE_clean_199,15.8235
ADAVEI_clean_199,15.8866
acscombsci.5b00188_8372_clean_1,16.6318
ADIQEL_clean_14,17.4612
ABIXOZ_clean_2,17.5855
ABEFUL_clean_124,17.9628
ABUWOJ_clean_61,18.3128
acscombsci.5b00188_5020072_clean_1,18.5832
AFEKAX_clean_123,6.64877
ADEGIA_clean_2,19.6028
ADEGIA01_clean_2,19.6628
ADUWIH_clean_201,10.4632
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,22.085
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,23.1137
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,23.1813
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,23.7738
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,23.872
ADABAK01_clean_2,25.4289
ABEXEM_clean_33,25.656
AFOYIE_clean_62,7.0691
ABEXIQ_clean_33,25.915
ABEXOW_clean_33,26.1852
ADABAK_15,26.2479
ABEXUC_clean_33,26.419
ADAXIO_clean_15,26.6825
ABEYAJ_clean_33,26.8001
ABEYIR_clean_33,27.1631
ADOBIF_clean_118,27.2811
acscombsci.5b00188_24205_clean_1,27.4362
ABEYIR_33,27.4712
ABEYEN_clean_33,27.53
ADOCEC_clean_118,24.0497
ACODUT_clean_164,28.8987
