Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ABAYIO_clean_225,-33.1601,0.000442531,4.14041
ABAYOU_clean_225,-32.9627,0.000420887,4.19681
ABEMIF_clean_221,-26.1499,0.000271629,5.1396
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-19.7503,4.44847e-05,5.15825
ABESUX_clean_36,-21.0903,1.42205e-05,7.43905
ABETAE_clean_36,-20.8838,1.36328e-05,7.47604
ABULOB_clean_60,-32.5883,0.000800219,9.78339
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-27.1289,0.000657881,9.93847
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-20.542,8.21698e-05,11.1337
ABEXEN_clean_192,-25.5097,0.000148585,13.1361
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.3402,0.000166916,14.0386
ACUBAB_clean_15,-24.5767,5.40551e-05,14.8952
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-50.8388,0.101517,15.1184
ADAXEK_clean_12,-30.5359,0.000915923,15.9572
acscombsci.5b00188_5036495_clean_1,-11.3403,1.06276e-05,16.0768
ADOGEH_clean_225,-39.8679,0.00218373,6.08201
ADAVIM_clean_199,-26.8304,0.000105381,17.7538
ADATOQ_clean_199,-27.2849,0.000113684,18.66
ADATUW_clean_199,-27.2273,9.91492e-05,19.0192
ADAVEI_clean_199,-27.6218,0.000117128,19.2351
ADAVAE_clean_199,-28.6624,0.000139975,19.3047
acscombsci.5b00188_5024922_clean_1,-12.4509,1.16988e-05,20.0533
ADIQEL_clean_14,-39.6,0.00516866,20.1214
ABIXOZ_clean_2,-15.9089,5.12654e-06,20.7736
ABEFUL_clean_124,-41.9315,0.00839945,21.2494
acscombsci.5b00188_8372_clean_1,-17.9663,1.73015e-05,21.3762
ABUWOJ_clean_61,-27.3305,0.000162573,21.4565
ADEGIA_clean_2,-33.6031,0.000663882,22.3997
AFEKAX_clean_123,-30.609,0.00242624,7.54043
ADEGIA01_clean_2,-33.7201,0.000570304,22.591
ADUWIH_clean_201,-20.1378,7.26527e-05,12.4524
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.2691,0.000290754,26.1759
acscombsci.5b00188_5020072_clean_1,-13.6678,1.30179e-05,26.3954
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.768,0.000161117,26.7586
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.8953,0.00342749,26.8499
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.0937,4.58174e-05,27.1408
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-35.8605,0.000662305,28.3315
ADABAK_15,-29.8276,1.31802e-05,29.9185
ADABAK01_clean_2,-28.6224,1.27549e-05,30.1588
ABEXEM_clean_33,-26.3045,5.71749e-05,30.3469
ADAXIO_clean_15,-30.6287,0.00113859,30.4329
ABEXIQ_clean_33,-26.6416,5.56674e-05,30.7362
AFOYIE_clean_62,-19.3623,4.03506e-05,8.20742
ADOBIF_clean_118,-28.1447,0.000107492,31.5845
ABEXOW_clean_33,-26.8807,5.6952e-05,31.5835
ABEXUC_clean_33,-27.1631,5.78275e-05,31.856
ABEYIR_33,-27.8483,5.71001e-05,31.961
ABEYAJ_clean_33,-27.5591,5.9321e-05,32.2808
ABEYEN_clean_33,-27.681,5.73674e-05,32.5244
ABEYIR_clean_33,-27.8483,5.71005e-05,32.6956
acscombsci.5b00188_24205_clean_1,-31.0858,0.00184433,33.1035
