Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ABAYOU_clean_225,-29.9555,0.000109855,4.18173
ABAYIO_clean_225,-30.1508,0.000105239,4.24574
ABEMIF_clean_221,-25.3932,0.00015682,5.33481
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-19.6738,4.06371e-05,5.42205
ABESUX_clean_36,-21.2076,1.25727e-05,7.77419
ABETAE_clean_36,-20.9909,1.20485e-05,7.91522
ABULOB_clean_60,-32.6055,0.0006554,10.6182
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-26.7761,0.000499546,10.6344
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.1306,8.94124e-05,11.9124
ABEXEN_clean_192,-25.0873,0.000147375,14.0708
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.5409,0.000209254,15.3298
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-50.2569,0.191741,16.0122
ACUBAB_clean_15,-24.6222,5.61119e-05,16.0121
ADOGEH_clean_225,-39.3741,0.00257348,6.88974
ADAXEK_clean_12,-30.4969,0.000746495,17.7129
acscombsci.5b00188_5036495_clean_1,-10.925,9.22239e-06,18.5239
ADAVIM_clean_199,-26.5329,0.000103389,19.0665
ADATUW_clean_199,-27.167,0.000101024,20.4452
ADATOQ_clean_199,-26.8996,0.000109805,20.4672
ADAVEI_clean_199,-27.5402,0.000119798,20.8088
ADAVAE_clean_199,-28.4877,0.000139778,21.2879
ADIQEL_clean_14,-39.457,0.00517033,22.2342
ABIXOZ_clean_2,-16.0616,4.52431e-06,22.9112
ABEFUL_clean_124,-41.9189,0.0062263,22.9328
acscombsci.5b00188_5024922_clean_1,-12.1735,1.05715e-05,23.5431
acscombsci.5b00188_8372_clean_1,-18.0004,1.43432e-05,23.5674
ABUWOJ_clean_61,-27.3614,0.000141904,23.7058
ADEGIA_clean_2,-33.5033,0.000618247,24.1538
ADEGIA01_clean_2,-33.6756,0.000548757,24.2435
AFEKAX_clean_123,-30.9615,0.00263304,8.47209
ADUWIH_clean_201,-21.0343,9.21101e-05,13.8201
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.2846,0.000258663,28.1208
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.7229,0.00015306,29.5506
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.8641,0.0037664,29.724
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.0425,4.12256e-05,30.0116
acscombsci.5b00188_5020072_clean_1,-13.5668,1.24101e-05,30.3806
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.102,0.000921989,31.4848
ADABAK_15,-29.5654,8.95488e-06,32.393
ADABAK01_clean_2,-28.3241,1.21885e-05,32.7468
ADAXIO_clean_15,-30.7541,0.00099487,33.352
AFOYIE_clean_62,-19.5195,4.79441e-05,9.04952
ABEXEM_clean_33,-26.5191,5.41189e-05,33.5122
ABEXIQ_clean_33,-26.8899,5.39295e-05,34.0157
ABEXOW_clean_33,-27.1318,5.4781e-05,34.2649
ABEXUC_clean_33,-27.418,5.55312e-05,34.6051
ADOBIF_clean_118,-28.1851,0.000121056,34.822
ABEYAJ_clean_33,-27.8043,5.69146e-05,35.1165
ABEYEN_clean_33,-27.9163,5.48141e-05,35.3864
ABEYIR_33,-28.0708,5.45294e-05,35.7204
ABEYIR_clean_33,-28.0708,5.45294e-05,35.9764
acscombsci.5b00188_24205_clean_1,-31.1469,0.00173036,36.7662
ADOBAX_118,-30.1266,0.000161404,36.9755
ACODUT_clean_164,-47.768,0.0841042,37.1857
ADOCEC_clean_118,-28.2308,0.000125393,32.0607
ADOBEB_charged_118,-30.1642,0.000163378,37.8497
ADOBAX_charged_118,-30.1264,0.000161399,37.8517
ACAJIZ_clean_15,-27.4367,0.000265968,38.0787
ACUTOI_clean_60,-32.4077,0.000707539,38.202
ABAVOP_clean_14,-7.64221,1.35171e-09,38.4707
ADOBOL_charged_118,-30.8069,0.000178929,39.4985
ADOBOL_clean_118,-30.8069,0.000178929,39.4993
ACAJOF_clean_56,-26.6623,0.000170919,39.5995
ACODON_clean_13,-27.7152,0.00029147,39.9671
AFIPAH_clean_2,-27.4876,3.46113e-05,24.5653
AHOKIR_clean_12,-27.9403,3.29994e-05,4.01386
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-30.7458,0.00121158,42.7344
ADOBUR_charged_118,-31.0494,0.000190898,38.5591
AGUBUA_clean_60,-30.7607,0.000546217,8.89412
ACAKUM_14,-29.4358,9.23912e-05,43.5821
AFUPEX_clean_14,-24.1938,9.42593e-05,13.8045
ACAKUM_clean_14,-29.4358,9.23912e-05,43.621
AHOKOX_clean_59,-26.1147,2.41326e-05,4.56306
ADOCAY_charged_118,-31.125,0.000196645,39.9295
ADOCIG_charged_118,-31.114,0.000178932,39.7627
ACODED_60,-31.7814,0.00120194,45.531
AGABIU_clean_11,-13.18,7.39643e-06,15.478
AGARUW_clean_62,-22.5869,5.64682e-05,15.4281
AFOYEB_clean_92,-27.5072,0.000170662,22.1721
