Structures,CPU_time (s)
ABAYIO_clean_225,4.72041
ABAYOU_clean_225,4.80981
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,5.40874
ABEMIF_clean_221,5.58478
ABETAE_clean_36,7.41157
ABESUX_clean_36,7.44227
ABULOB_clean_60,9.68358
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,9.69282
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,10.4648
ABEXEN_clean_192,11.1796
acscombsci.5b00188_5036495_clean_1,11.9754
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,12.9747
ACUBAB_clean_15,13.2989
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,13.696
acscombsci.5b00188_5024922_clean_1,14.2395
ADOGEH_clean_225,4.99214
ADAXEK_clean_12,14.7822
ADAVIM_clean_199,15.2618
ADATOQ_clean_199,15.9433
ADATUW_clean_199,16.2953
ADAVAE_clean_199,16.54
ADAVEI_clean_199,16.6266
acscombsci.5b00188_8372_clean_1,17.2376
ADIQEL_clean_14,18.1844
ABIXOZ_clean_2,18.604
ABUWOJ_clean_61,19.1378
ABEFUL_clean_124,19.1966
AFEKAX_clean_123,6.29912
acscombsci.5b00188_5020072_clean_1,19.8984
ADEGIA_clean_2,20.1396
ADEGIA01_clean_2,20.2466
ADUWIH_clean_201,10.0286
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,22.449
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,23.2438
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,23.7368
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,24.0476
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,24.2179
ADABAK01_clean_2,25.8522
ADABAK_15,26.4656
AFOYIE_clean_62,6.70506
ABEXEM_clean_33,26.8299
ADAXIO_clean_15,26.8317
ABEXIQ_clean_33,26.9104
ABEXOW_clean_33,27.4276
ABEXUC_clean_33,27.6767
ADOBIF_clean_118,27.6866
ABEYIR_clean_33,27.8006
ABEYAJ_clean_33,28.0016
ABEYIR_33,28.0315
ABEYEN_clean_33,28.2144
ADOCEC_clean_118,23.1391
acscombsci.5b00188_24205_clean_1,28.665
ACODUT_clean_164,28.9835
ACAJIZ_clean_15,29.7029
ADOBAX_118,29.807
ADOBAX_charged_118,29.8401
ADOBEB_charged_118,29.9995
ACUTOI_clean_60,30.253
ACAJOF_clean_56,30.3068
ACODON_clean_13,31.0009
AFIPAH_clean_2,17.3841
ADOBOL_clean_118,31.1044
ADOBOL_charged_118,31.223
ABAVOP_clean_14,31.4608
AFUPEX_clean_14,9.79676
