Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ABAYIO_clean_225,-33.4323,0.000883325,3.04964
ABAYOU_clean_225,-33.2114,0.000837418,3.08265
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.3602,6.01775e-05,3.75795
ABEMIF_clean_221,-26.2749,0.000275328,3.87732
ABETAE_clean_36,-21.0743,2.12895e-05,5.64372
ABESUX_clean_36,-21.2965,2.20427e-05,5.79899
ABULOB_clean_60,-32.6219,0.00127333,8.08254
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-27.2003,0.000539785,8.12271
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.7641,0.000117786,8.98862
ABEXEN_clean_192,-26.4122,0.000343321,10.1295
acscombsci.5b00188_5036495_clean_1,-12.6336,1.61895e-05,10.7472
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.8656,0.000249437,11.7216
ACUBAB_clean_15,-24.7685,5.38071e-05,12.0605
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-50.9226,0.525435,12.58
acscombsci.5b00188_5024922_clean_1,-13.8582,2.06391e-05,13.1166
ADOGEH_clean_225,-40.1255,0.012405,5.09691
ADAXEK_clean_12,-30.606,0.000883344,13.6874
ADAVIM_clean_199,-27.9384,0.00017725,14.1206
ADATOQ_clean_199,-28.3355,0.00018805,15.0134
ADATUW_clean_199,-28.5318,0.000168457,15.2188
ADAVAE_clean_199,-29.6873,0.000234157,15.4674
ADAVEI_clean_199,-28.7542,0.000193295,15.5217
acscombsci.5b00188_8372_clean_1,-18.1572,2.26205e-05,16.2534
ADIQEL_clean_14,-39.6449,0.00916864,17.0915
ABIXOZ_clean_2,-16.4973,4.73591e-06,17.1944
ABEFUL_clean_124,-42.0878,0.0110967,17.5816
ABUWOJ_clean_61,-27.6282,0.000316066,17.9515
acscombsci.5b00188_5020072_clean_1,-14.8781,1.94072e-05,18.2025
AFEKAX_clean_123,-31.2848,0.00192319,6.57687
ADEGIA_clean_2,-33.4334,0.00105285,19.2333
ADEGIA01_clean_2,-33.5763,0.000839205,19.2939
ADUWIH_clean_201,-21.324,8.84497e-05,10.3906
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.4053,0.000398856,21.6793
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-45.15,0.00753673,22.7335
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.4296,0.000153586,22.8054
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.5315,0.00118895,23.3944
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.2744,4.19056e-05,23.4929
ADABAK01_clean_2,-28.2935,1.42129e-05,25.0576
ABEXEM_clean_33,-26.5372,6.47245e-05,25.2457
AFOYIE_clean_62,-20.38,5.40499e-05,7.00191
ABEXIQ_clean_33,-26.8149,6.29953e-05,25.542
ABEXOW_clean_33,-27.0187,6.34564e-05,25.8051
ADABAK_15,-29.6414,1.53517e-05,25.8702
ABEXUC_clean_33,-27.2942,6.40846e-05,26.0477
ADAXIO_clean_15,-30.9585,0.00113304,26.3096
ABEYAJ_clean_33,-27.66,6.52118e-05,26.4159
ABEYIR_clean_33,-27.9206,6.16389e-05,26.7815
ADOBIF_clean_118,-28.4228,0.000156865,26.8983
acscombsci.5b00188_24205_clean_1,-31.2609,0.00288217,27.0647
ABEYIR_33,-27.9206,6.16389e-05,27.1008
ABEYEN_clean_33,-27.7677,6.23528e-05,27.1464
ADOCEC_clean_118,-28.4172,0.000177505,23.9746
ACODUT_clean_164,-47.8534,0.110385,28.5208
ACAJIZ_clean_15,-27.8129,0.000218838,29.0122
ADOBAX_118,-30.3735,0.000222521,29.5237
ADOBAX_charged_118,-30.3735,0.000222521,29.5421
ADOBEB_charged_118,-30.4079,0.000225415,29.5894
ACUTOI_clean_60,-32.5161,0.000866261,29.7822
ACODON_clean_13,-28.7251,0.000473499,29.7989
ACAJOF_clean_56,-27.4424,0.000145166,29.8748
ADOBOL_clean_118,-31.218,0.000249266,30.5411
ADOBOL_charged_118,-31.218,0.000249266,30.5519
ABAVOP_clean_14,-7.54142,1.69382e-09,30.6664
AFIPAH_clean_2,-27.5578,6.84549e-05,18.3966
AHOKIR_clean_12,-28.3448,6.34123e-05,3.06448
AFUPEX_clean_14,-24.2557,0.000157068,10.3673
ADOCAY_charged_118,-31.4186,0.000270108,30.0424
AGUBUA_clean_60,-31.0283,0.00113834,6.84816
