Structures,CPU_time (s)
ABAYIO_clean_225,8.9342
ABAYOU_clean_225,9.04156
ABEMIF_clean_221,9.98378
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,10.1268
ABETAE_clean_36,12.6756
ABESUX_clean_36,12.7871
ABULOB_clean_60,15.567
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,15.7942
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,17.1841
ABEXEN_clean_192,19.2736
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,20.3907
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,21.2453
ACUBAB_clean_15,21.6554
ADOGEH_clean_225,7.28607
ADAXEK_clean_12,23.1901
acscombsci.5b00188_5036495_clean_1,23.776
ADAVIM_clean_199,24.8977
ADATOQ_clean_199,26.1523
ADATUW_clean_199,26.576
ADAVAE_clean_199,26.7722
ADAVEI_clean_199,27.0187
ADIQEL_clean_14,27.6407
ABIXOZ_clean_2,28.4185
ABEFUL_clean_124,28.7695
ABUWOJ_clean_61,29.076
acscombsci.5b00188_5024922_clean_1,29.5629
acscombsci.5b00188_8372_clean_1,29.6275
AFEKAX_clean_123,8.87593
ADEGIA_clean_2,30.1148
ADEGIA01_clean_2,30.2322
ADUWIH_clean_201,14.7133
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,34.4945
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,35.7262
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,35.7827
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,35.8015
acscombsci.5b00188_5020072_clean_1,36.2079
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,37.6906
ADAXIO_clean_15,38.9624
ADABAK_15,39.1798
ABEXEM_clean_33,39.6014
ADABAK01_clean_2,39.7327
AFOYIE_clean_62,9.66875
ABEXIQ_clean_33,40.1908
ABEXOW_clean_33,40.3459
ADOBIF_clean_118,40.6456
ABEXUC_clean_33,40.6672
ABEYAJ_clean_33,41.3508
ABEYEN_clean_33,41.5759
ABEYIR_clean_33,41.5811
ABEYIR_33,42.0847
ADOCEC_clean_118,32.8355
acscombsci.5b00188_24205_clean_1,42.8454
ACODUT_clean_164,43.4188
ADOBAX_charged_118,43.701
ADOBAX_118,43.7497
ADOBEB_charged_118,44.1451
ACUTOI_clean_60,44.1626
ACAJIZ_clean_15,44.3228
ACAJOF_clean_56,45.2324
ABAVOP_clean_14,45.2623
ADOBOL_clean_118,45.4396
ADOBOL_charged_118,45.4397
ACODON_clean_13,45.8418
AFIPAH_clean_2,25.9343
AHOKIR_clean_12,4.34351
ADOBUR_charged_118,40.845
AGUBUA_clean_60,9.37235
AHOKOX_clean_59,4.85953
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,50.1137
ACAKUM_clean_14,50.1672
ACAKUM_14,50.1776
ADOCAY_charged_118,41.1586
AFUPEX_clean_14,14.5944
ADOCIG_charged_118,41.0954
ACODED_60,52.0629
AGARUW_clean_62,15.8653
AGABIU_clean_11,16.4177
ACALIB_clean_14,52.8873
acs.cgd.5b01554_VAGNUP1452791_clean_62,53.1117
AHOKAJ_clean_13,9.00779
AHOJUC_clean_13,9.18131
AGESIP_clean_14,14.2843
AFOYEB_clean_92,23.7709
acs.cgd.5b01686_WAHFUJ1434675_clean_14,54.1604
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,55.8324
acscombsci.5b00188_5040209_clean_1,56.5257
acscombsci.5b00188_34903_clean_1,56.85
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,57.8332
AFOYOK_clean_11,28.2492
AHOKIR01_clean_2,15.4353
AJOTEY_clean_33,10.3417
AGONAM_clean_14,20.6036
AGIMOU_clean_14,21.8393
ABIYIV_clean_56,65.091
ABIYIV_56,65.4953
AHUTIH_clean_14,17.0074
ACIBOE_clean_8,66.1104
ALIBUT_clean_229,6.55895
ADABUE_clean_2,66.4908
AHEQAH_clean_46,23.984
ALICAA_clean_229,6.43132
ALATAK_clean_12,9.18267
AHUTIH01_clean_14,21.1916
AGONEQ_clean_7,28.2258
AGAXOV_clean_2,32.6136
AGUWUV_clean_2,29.2564
ADABIS_clean_2,74.8732
AGAYIQ_clean_15,36.2789
ACECIV_ion_b_14,75.7046
AGUTUS_clean_14,36.4961
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,77.3122
AFENEE_clean_34,55.6858
AFITEP_clean_2,56.4616
ALIPEQ_clean_21,18.9071
AKEDIF_clean_15,28.7343
AFEJOK_ion_b_8,61.6279
ALALUU_clean_2,26.7394
AKOHEO_clean_14,31.7289
AJOXAA_clean_14,34.5189
AKUHOD01_clean_2,31.652
AKUHOD_clean_2,31.7692
ALALUU01_clean_2,31.1162
ALIXUP_clean_56,21.2576
ACMPCD_clean_1,88.2465
AMALND_clean_60,9.36599
ALUKIC_clean_15,21.2128
ALUKOI_clean_15,21.1759
AFOYAW_clean_2,63.4249
ALUJUN_clean_2,26.1613
ACOLOV_clean_14,94.5154
ALUKAU_clean_2,26.6364
ALAHUS_clean_122,41.131
acs.cgd.6b00163_UKEBOD1448508_clean_15,96.0773
ALUKUO_clean_15,21.4191
ALULAV_clean_15,21.2243
ALIXOJ_clean_14,31.8402
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,97.6625
AFOTUL_clean_1,71.1827
AFOVAT_clean_1,71.2504
AFOVEX_clean_1,70.9393
AFOTOF_clean_1,72.737
AFOVOH_clean_1,71.4585
AFOVIB_clean_1,72.2788
ALOLIY_clean_15,34.9307
AHAMAY_clean_2,62.3411
AFEDIA_clean_2,85.8684
ACOGEF_clean_2,105.378
ACOGAB_clean_2,106.265
AGUVOO_charged_60,69.7143
AJAMEF_clean_15,61.7787
AJUNOK_clean_54,63.5135
AKOBAF_clean_15,61.9578
AGAYOW_clean_15,75.2372
AKUKUO_clean_2,61.0291
AFIXAO_clean_14,88.9717
AFIXES_clean_14,89.2005
ANAWIX_clean_15,17.0687
AMOZAE_clean_14,23.3863
AHOBEG_clean_2,77.8652
AMIKOX_clean_54,37.5248
ac403674p_si_001_clean_4,123.836
AMIWID_clean_14,35.7192
AMEJIM_charged_148,41.2036
ANAWOD_clean_52,24.1544
ACOLIP_clean_1,125.764
AMIWOJ_clean_14,35.3592
AMIWUP_clean_14,36.1325
AMIXAW_clean_14,36.0725
ALIFUY_clean_14,68.0382
AMAFOK_clean_2,50.4673
acscombsci.5b00188_5013797_clean_1,137.196
am301365h_si_002_clean_160,57.5265
AKUHOD03_clean_1,84.6501
AHIYOH_clean_61,95.4506
APACAX_clean_122,21.1004
AMIZIG_clean_62,46.7931
AMOFAK_clean_19,47.9005
ANUGOG_clean_15,28.8167
AMUFOF_clean_2,45.3913
ALULID_clean_2,68.8016
AKOXIJ_clean_12,91.9117
AHUFIU_clean_14,100.047
ADODII_clean_1,132.881
ANOMOG_clean_12,34.0697
AJINOY_clean_2,95.9645
AJAKON_clean_14,97.768
AMUFIZ_clean_2,49.8092
AMUFEV_clean_2,50.3872
AMUFAR_clean_2,51.6358
AQEQES_clean_15,8.67741
ANUGUM_clean_2,33.3258
APARAM_clean_147,29.6697
ADODOO_clean_1,137.685
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,150.542
APAZOI_clean_15,24.9433
ANONAT_manual_2,37.9891
ALEQIT_clean_2,94.4394
ANOMUM_clean_2,39.7045
AKAYIV_clean_13,103.571
ADODUU_clean_1,139.719
AQALIO_clean_62,18.4211
AHEBAS_clean_5,113.773
AQALOU_clean_62,18.8042
AQOTIK_clean_123,7.09763
ACOLUB_clean_2,156.433
AQOLOJ_clean_221,8.33566
APEBED_clean_19,29.7588
APAYIB_clean_15,35.4992
AQOMAW_clean_221,8.72541
APAYOH_clean_15,35.2491
AQETUM_clean_14,13.4864
APETAS_clean_13,29.459
APAYUN_clean_15,34.495
ADASUV_clean_2,158.811
ABAVIJ_clean_1,159.523
AQEQIW_clean_14,16.6044
APAZIC_clean_15,36.6742
ALANAD_clean_2,105.671
AQOLEZ_clean_123,15.5422
AMUWUB_clean_2,64.6837
ARAHIM02_clean_140,8.88258
ARAFEF_clean_24,10.7135
APAZEY_clean_15,42.2142
APAZAU_clean_15,42.7933
AQMAND_clean_2,19.574
ARAFIJ_clean_24,12.0114
AQETIA_clean_14,26.3513
ARAFOP_clean_24,14.6339
ARAHIM01_clean_87,15.3288
AMUCOB_clean_2,75.7392
ARAHIM_clean_87,15.1576
ANENEN_clean_2,68.5095
ARUYUH01_clean_56,9.41405
AQEFUY_clean_15,36.2769
AQMAND01_clean_2,29.107
AFITIT_clean_5,151.788
ARUYUH_clean_56,9.54684
ARADEE_clean_15,20.5367
AQAJEI_clean_60,45.6759
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,176.646
ALOLET_charged_159,110.441
AJAYIT_clean_9,127.141
AHOZAA_clean_60,132.214
ANUGEW_clean_2,63.7371
ARAGOR_clean_15,22.9289
AMOYOR_clean_2,85.0913
APEBEE_clean_2,53.2223
AQIQAU_clean_15,36.834
AQIQIC_clean_15,37.4664
ARUYOB_clean_14,18.7117
AFUKAP_clean_2,151.312
ASOHUL_clean_62,6.8785
AMUXAI_clean_2,85.7338
AMODUC_clean_1,92.3897
AQUDAT_clean_15,35.2786
AQUDEX_clean_15,35.5735
ALURAB_clean_18,112.071
AFOQUI_clean_1,163.092
AQUDOH_clean_15,34.9114
ASEKAM_clean_15,15.3031
ACIBIY_clean_2,190.742
ALUREF_clean_18,113.818
ASACON_clean_52,26.4393
ALURIJ_clean_18,116.333
AMUPOP_clean_15,95.9847
ARUYES_clean_14,32.9315
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,196.216
ASALAH_clean_19,25.6308
ASEJOZ01_clean_15,22.2731
ANUGIA_clean_1,82.2134
ASEJOZ_clean_15,22.4578
AQUCOF_clean_7,48.4516
AQOSEG_clean_88,49.8346
ATAFIK_clean_106,16.7406
AJOVEB_clean_2,149.871
AGIREP_clean_2,160.939
AQUDAS_clean_7,48.994
ASALIP_clean_19,33.1995
ASIQEA_clean_86,28.1281
ASIQIE_clean_86,28.1584
ARINUL_clean_117,47.9645
ATEYED_clean_15,20.1197
AQODOA_clean_14,61.7414
ATIBIO_clean_14,18.8437
ASIRUR_clean_14,33.4029
ASAJOU_clean_12,42.6638
AQUCOG_clean_2,60.511
AQUCUM_clean_2,60.4811
ATOTIM_clean_63,13.3474
ATOTIM_manual_63,13.3188
ARIBOS_clean_14,56.2583
AROFET_clean_2,55.4538
AQUDIB_clean_2,59.8886
ATOGEV_clean_14,17.6286
ATIRUS_clean_15,20.1032
ATIXUX_clean_68,20.3502
ATIBAG_clean_14,30.2746
ATIBOU01_clean_14,29.9311
ATIBOU02_clean_14,29.7259
ATOWIQ_clean_12,21.4089
ATOWOW_clean_12,21.3422
ASUKEE01_clean_70,41.6747
ASUKEE_clean_70,40.9904
AMILUE_clean_9,137.709
ATIBOU_clean_14,30.4662
