Structures,CPU_time (s)
ABAYIO_clean_225,5.48664
ABAYOU_clean_225,5.56626
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,6.35798
ABEMIF_clean_221,6.40274
ABETAE_clean_36,8.39504
ABESUX_clean_36,8.46777
ABULOB_clean_60,10.9353
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,10.9628
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,12.1915
ABEXEN_clean_192,13.5996
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,14.6899
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,15.4698
ACUBAB_clean_15,15.5461
acscombsci.5b00188_5036495_clean_1,15.682
ADAXEK_clean_12,16.627
ADOGEH_clean_225,5.6905
ADAVIM_clean_199,18.1482
ADATOQ_clean_199,18.8705
acscombsci.5b00188_5024922_clean_1,18.9583
ADATUW_clean_199,19.187
ADAVAE_clean_199,19.645
ADAVEI_clean_199,19.6937
ADIQEL_clean_14,20.3349
acscombsci.5b00188_8372_clean_1,20.4575
ABEFUL_clean_124,21.1168
ABIXOZ_clean_2,21.4493
ABUWOJ_clean_61,22.1527
AFEKAX_clean_123,6.95746
ADEGIA_clean_2,22.6006
ADEGIA01_clean_2,22.8006
ADUWIH_clean_201,11.8956
acscombsci.5b00188_5020072_clean_1,24.7731
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,25.9497
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,26.6034
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,26.7298
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,27.2917
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,27.6758
ADABAK01_clean_2,29.3659
ADABAK_15,29.5184
ADAXIO_clean_15,29.8786
AFOYIE_clean_62,7.65376
ABEXOW_clean_33,30.2997
ABEXEM_clean_33,30.4715
ABEXUC_clean_33,30.5722
ABEXIQ_clean_33,30.7302
ABEYAJ_clean_33,30.9527
ABEYEN_clean_33,31.1582
ADOBIF_clean_118,31.1816
ABEYIR_33,31.4041
acscombsci.5b00188_24205_clean_1,32.0513
ABEYIR_clean_33,32.1543
ADOCEC_clean_118,26.2174
ACODUT_clean_164,33.3206
ADOBEB_charged_118,33.3865
ADOBAX_charged_118,33.6962
ADOBAX_118,33.7069
ACUTOI_clean_60,33.8102
ACAJOF_clean_56,34.2132
ACAJIZ_clean_15,34.3257
ABAVOP_clean_14,34.7114
ADOBOL_charged_118,34.7534
ADOBOL_clean_118,35.13
ACODON_clean_13,35.2561
AFIPAH_clean_2,19.7392
AHOKIR_clean_12,3.45554
AFUPEX_clean_14,11.2311
ACAKUM_clean_14,38.2724
AGUBUA_clean_60,7.60986
AHOKOX_clean_59,3.74507
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,38.7577
AGABIU_clean_11,12.378
ADOBUR_charged_118,33.7007
ACAKUM_14,39.196
ADOCAY_charged_118,33.679
ACODED_60,39.6643
ADOCIG_charged_118,33.6697
AGARUW_clean_62,12.9745
acs.cgd.5b01554_VAGNUP1452791_clean_62,40.7739
AFOYEB_clean_92,18.628
AHOJUC_clean_13,7.38221
AHOKAJ_clean_13,7.34788
AGESIP_clean_14,11.507
ACALIB_clean_14,41.4319
acscombsci.5b00188_34903_clean_1,41.5849
acs.cgd.5b01686_WAHFUJ1434675_clean_14,41.7627
acscombsci.5b00188_5040209_clean_1,42.1325
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,42.6442
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,44.4326
AFOYOK_clean_11,22.5424
AHOKIR01_clean_2,12.0611
AJOTEY_clean_33,8.15639
AGONAM_clean_14,16.4742
AGIMOU_clean_14,17.2861
AHUTIH_clean_14,12.84
ADABUE_clean_2,50.1966
ABIYIV_clean_56,50.2716
AHEQAH_clean_46,18.7811
ALIBUT_clean_229,5.00982
ALATAK_clean_12,6.99039
ABIYIV_56,51.5899
AHUTIH01_clean_14,16.6112
ALICAA_clean_229,5.00165
ACIBOE_clean_8,51.9181
AGAXOV_clean_2,24.7593
AGONEQ_clean_7,22.2766
AGUWUV_clean_2,23.7626
ADABIS_clean_2,56.8477
AGAYIQ_clean_15,28.4424
ACECIV_ion_b_14,58.3734
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,58.4872
AGUTUS_clean_14,28.849
AFENEE_clean_34,44.4321
AFITEP_clean_2,44.5151
AKEDIF_clean_15,21.5799
ALIPEQ_clean_21,14.641
AFEJOK_ion_b_8,48.8512
ALALUU_clean_2,21.497
AKOHEO_clean_14,25.0665
AKUHOD_clean_2,25.047
ALALUU01_clean_2,24.7522
AKUHOD01_clean_2,25.4152
ALIXUP_clean_56,16.5265
ACMPCD_clean_1,67.025
AJOXAA_clean_14,28.0781
ALUKIC_clean_15,15.9351
AMALND_clean_60,7.47031
ALUKOI_clean_15,16.2746
ACOLOV_clean_14,71.6051
ALUKUO_clean_15,16.1193
ALUJUN_clean_2,21.4471
acs.cgd.6b00163_UKEBOD1448508_clean_15,73.5084
ALUKAU_clean_2,21.1497
AFOYAW_clean_2,51.9747
ALAHUS_clean_122,32.594
ALULAV_clean_15,16.9982
ALIXOJ_clean_14,25.515
AFOVEX_clean_1,55.8313
AFOTUL_clean_1,56.7237
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,76.4465
AFOVAT_clean_1,56.2967
AFOTOF_clean_1,57.4145
ALOLIY_clean_15,27.2324
AFOVOH_clean_1,57.61
AFOVIB_clean_1,58.0031
AHAMAY_clean_2,50.2548
AFEDIA_clean_2,69.1464
ACOGAB_clean_2,83.2363
ACOGEF_clean_2,84.5856
AGUVOO_charged_60,55.2784
AFIXAO_clean_14,69.2053
AJAMEF_clean_15,50.3112
AGAYOW_clean_15,59.4708
AKOBAF_clean_15,49.253
AFIXES_clean_14,71.3651
AJUNOK_clean_54,51.4522
AKUKUO_clean_2,49.669
ANAWIX_clean_15,13.8935
AMOZAE_clean_14,18.9644
AMIKOX_clean_54,29.7212
AMIWID_clean_14,29.1575
AHOBEG_clean_2,63.1104
ACOLIP_clean_1,96.8453
AMIWOJ_clean_14,28.1756
AMEJIM_charged_148,34.0916
ac403674p_si_001_clean_4,97.944
ANAWOD_clean_52,19.3638
AMIWUP_clean_14,28.5497
AMIXAW_clean_14,29.1002
AMAFOK_clean_2,39.1704
acscombsci.5b00188_5013797_clean_1,102.436
ALIFUY_clean_14,55.9447
am301365h_si_002_clean_160,45.4538
AKUHOD03_clean_1,66.6893
AMIZIG_clean_62,36.7038
APACAX_clean_122,16.9341
AMOFAK_clean_19,36.4136
AHIYOH_clean_61,78.1227
ALULID_clean_2,53.534
AHUFIU_clean_14,76.8204
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,112.405
AMUFOF_clean_2,35.99
ANUGOG_clean_15,22.053
ADODII_clean_1,105.262
AKOXIJ_clean_12,72.6456
ANOMOG_clean_12,26.5719
AMUFAR_clean_2,40.2098
AJINOY_clean_2,77.0698
AMUFEV_clean_2,40.0708
AMUFIZ_clean_2,39.5668
AQEQES_clean_15,6.75578
ANUGUM_clean_2,26.0259
APARAM_clean_147,24.0735
APAZOI_clean_15,19.2907
ADODOO_clean_1,109.0
AQALIO_clean_62,15.1423
AJAKON_clean_14,80.5298
ADASUV_clean_2,118.402
ANONAT_manual_2,29.9666
ANOMUM_clean_2,31.4064
AKAYIV_clean_13,81.2462
AHEBAS_clean_5,89.3097
AQALOU_clean_62,14.8903
ALEQIT_clean_2,76.3928
APEBED_clean_19,23.739
AQOLOJ_clean_221,6.60527
AQOTIK_clean_123,5.77267
AQETUM_clean_14,10.8268
ALANAD_clean_2,80.6943
AQOMAW_clean_221,6.86574
APETAS_clean_13,23.236
APAYUN_clean_15,27.0912
APAYIB_clean_15,27.7857
ADODUU_clean_1,113.032
APAYOH_clean_15,28.1599
AQEQIW_clean_14,13.3189
ACOLUB_clean_2,125.161
ABAVIJ_clean_1,126.1
APAZIC_clean_15,29.0709
AMUWUB_clean_2,50.6133
AQOLEZ_clean_123,12.0888
APAZEY_clean_15,32.6061
ARAFEF_clean_24,8.54325
APAZAU_clean_15,33.3008
ARAHIM02_clean_140,6.96975
AQMAND_clean_2,15.4983
ARAFIJ_clean_24,9.53501
ARAFOP_clean_24,11.2279
AQETIA_clean_14,21.5088
AMUCOB_clean_2,59.6962
ALOLET_charged_159,83.7551
ARAHIM01_clean_87,12.1487
