Structures,chan_count,chan_mean_dim
AJAYIT_clean,1,1.0
AJIGIL_clean,2,1.0
AJINOY_clean,0,-1.0
AJOTEY_clean,1,3.0
AJOVEB_clean,3,1.0
AJOXAA_clean,2,1.0
AJUNOK_clean,0,-1.0
AKAYIV_clean,4,1.0
AKEDIF_clean,4,1.0
AKIXEZ_clean,1,3.0
AKOBAF_clean,2,2.0
AKOHEO_clean,1,3.0
AKOXIJ_clean,1,3.0
AKUHOD01_clean,0,-1.0
AKUHOD03_clean,0,-1.0
AKUHOD_clean,0,-1.0
AKUKUO_clean,1,1.0
ALAHUS_clean,1,3.0
ALALUU01_clean,0,-1.0
ALALUU_clean,0,-1.0
ALAMUW_clean,1,3.0
ALANAD_clean,1,3.0
ALATAK_clean,0,-1.0
ALEQIT_clean,1,1.0
ALIBUT_clean,1,3.0
ALICAA_clean,1,3.0
ALIFUY_clean,0,-1.0
ALIPEQ_clean,0,-1.0
ALIXAU_clean_h,1,3.0
ALIXOJ_clean,1,3.0
ALIXUP_clean,2,1.0
ALOLES_ion_b,2,1.0
ALOLET_charged,2,2.0
ALOLIX_charged,1,3.0
ALOLIY_clean,4,1.0
ALUJEX_clean,3,1.0
ALUJIB_clean,3,1.0
ALUJOH_clean,3,1.0
ALUJUN_clean,0,-1.0
ALUKAU_clean,0,-1.0
ALUKIC_clean,1,3.0
ALUKOI_clean,1,3.0
ALUKUO_clean,1,3.0
ALULAV_clean,1,3.0
ALULID_clean,1,3.0
ALURAB_clean,2,1.0
ALUREF_clean,2,1.0
ALURIJ_clean,2,1.0
am301365h_si_002_clean,0,-1.0
AMAFOK_clean,1,1.0
AMAGAX_clean,4,1.0
AMALND_clean,0,-1.0
AMEJIM_charged,0,-1.0
AMEJOS_charged,0,-1.0
AMIKOX_clean,0,-1.0
AMILOY_clean,4,1.0
AMILUE_clean,2,1.0
AMIMAL_clean,4,1.0
AMIMEP_clean,2,1.0
AMIWID_clean,2,1.0
AMIWOJ_clean,2,1.0
AMIWUP_clean,2,1.0
AMIXAW_clean,2,1.0
AMIXEA_clean,2,1.0
AMIZIG_clean,2,1.0
AMODUC_clean,1,3.0
AMOFAK_clean,1,3.0
AMOYOR_clean,2,1.0
AMOZAE_clean,0,-1.0
AMUCOB_clean,0,-1.0
AMUFAR_clean,0,-1.0
AMUFEV_clean,0,-1.0
AMUFIZ_clean,0,-1.0
AMUFOF_clean,1,1.0
AMUPOP_clean,2,1.0
AMUWIP_charged,1,3.0
AMUWUB_clean,1,1.0
AMUXAI_clean,1,1.0
ANAWIX_clean,1,3.0
ANAWOD_clean,2,1.0
ANEHEI_clean,0,-1.0
ANENEN_clean,1,1.0
ANENIR_clean,1,1.0
ANEPIT_clean,0,-1.0
ANIDIL_clean,2,1.0
ANOMOG_clean,1,3.0
ANOMUM_clean,1,3.0
ANONAT_manual,1,3.0
ANUGEW_clean,1,3.0
ANUGIA_clean,1,3.0
ANUGOG_clean,1,3.0
ANUGUM_clean,1,3.0
APACAX_clean,1,3.0
APARAM_clean,1,1.0
APAYIB_clean,1,3.0
APAYOH_clean,1,3.0
APAYUN_clean,1,3.0
APAZAU_clean,1,3.0
APAZEY_clean,1,3.0
APAZIC_clean,1,3.0
APAZOI_clean,1,3.0
APEBED_clean,2,1.0
APEBEE_clean,1,1.0
APEBII_clean,1,3.0
APEBOO_clean,1,3.0
APEBUU_clean,2,1.0
APETAS_clean,0,-1.0
AQAJEI_clean,0,-1.0
AQALIO_clean,0,-1.0
AQALOU_clean,0,-1.0
AQEFOS_clean,0,-1.0
AQEFUY_clean,0,-1.0
AQEGUY_clean,1,2.0
AQEQES_clean,2,1.0
AQEQIW_clean,2,1.0
AQERUL_clean,2,1.0
AQETIA_clean,0,-1.0
AQETUM_clean,1,2.0
AQIQAU_clean,2,2.0
AQIQIC_clean,0,-1.0
AQIXUU_clean,1,2.0
AQIXUV_clean,1,1.0
AQMAND01_clean,0,-1.0
AQMAND_clean,0,-1.0
AQODOA_clean,0,-1.0
AQOLEZ_clean,1,3.0
AQOLOJ_clean,1,3.0
AQOMAW_clean,1,3.0
AQOSEG_clean,0,-1.0
AQOTIK_clean,1,2.0
AQUCOF_clean,2,2.0
AQUCOG_clean,3,1.0
AQUCUM_clean,3,1.0
AQUDAS_clean,2,2.0
AQUDAT_clean,2,1.0
AQUDEX_clean,2,1.0
AQUDIB_clean,3,1.0
AQUDOH_clean,2,1.0
ARADEE_clean,1,3.0
ARAFEF_clean,2,1.0
ARAFIJ_clean,2,1.0
ARAFOP_clean,2,1.0
ARAGOR_clean,1,3.0
ARAHIM01_clean,0,-1.0
ARAHIM02_clean,0,-1.0
ARAHIM_clean,0,-1.0
ARIBOS_clean,0,-1.0
ARINOF_clean,0,-1.0
ARINUL_clean,4,1.0
AROFAP_clean,2,1.0
AROFET_clean,1,3.0
ARUCOH01_clean,0,-1.0
ARUCUN_clean,0,-1.0
ARUDAU_clean,0,-1.0
ARUJED_clean,0,-1.0
ARUYES,0,-1.0
ARUYES_clean,4,1.0
ARUYOB_clean,0,-1.0
ARUYUH01_clean,2,1.0
ARUYUH_clean,2,1.0
ASACON_clean,2,1.0
ASADAA_clean,1,1.0
ASAHEJ_clean,2,1.0
ASAJOU_clean,0,-1.0
ASALAH_clean,0,-1.0
ASALIP_clean,0,-1.0
ASALOV_clean,0,-1.0
ASAMUE_clean,0,-1.0
ASANAL_clean,2,1.0
ASECUY_clean,4,1.0
ASEJOZ01_clean,2,1.0
ASEJOZ_clean,2,1.0
ASEKAM_clean,2,1.0
ASEXED_clean,1,3.0
ASINAT_clean,1,3.0
ASIQEA_clean,2,1.0
ASIQIE_clean,2,1.0
ASIRUR_clean,0,-1.0
ASOHUL_clean,2,1.0
ASOSUY_clean,1,3.0
ASOVEL_clean,2,1.0
ASOYOY_clean,1,3.0
ASUBIB_clean,1,2.0
ASUJIJ_clean,0,-1.0
ASUKEE01_clean,8,1.0
ASUKEE_clean,8,1.0
ASUWUI_clean,1,2.0
ATAFIK_clean,1,3.0
ATAYAX_clean,1,3.0
ATAYEB_clean,1,3.0
ATEJOA_clean,1,1.0
ATEXII_clean,0,-1.0
ATEYED_clean,1,3.0
ATEZAC_clean,1,3.0
ATEZEG_clean,1,3.0
ATEZIK_clean,1,3.0
ATIBAG_clean,2,1.0
ATIBIO_clean,2,1.0
ATIBOU01_clean,2,1.0
ATIBOU02_clean,2,1.0
ATIBOU_clean,2,1.0
ATIBUA_clean,2,1.0
ATICAH_clean,2,1.0
ATICEL_clean,2,1.0
ATIJUJ_clean5b,1,1.0
ATIJUJ_manual,1,1.0
ATIRUS_clean,2,1.0
ATIXAE_clean,1,3.0
ATIXUX_clean,2,2.0
ATOGEV_clean,2,1.0
ATOTIM_clean,3,1.0
ATOTIM_manual,3,1.0
ATOWIQ_clean,1,1.0
ATOWOW_clean,1,1.0
ATOXEN_clean,1,1.0
ATULIM_clean,2,1.0
ATUXIY_clean,1,3.0
ATUXOE_clean,0,-1.0
ATUXUK_clean,0,-1.0
ATUYAR_clean,0,-1.0
ATUZEW_clean,1,3.0
AVAGIP_clean,4,1.0
AVAGOV_clean,4,1.0
AVAGUB_clean,2,1.0
AVALEO_clean,0,-1.0
AVAQIX01_clean,4,1.0
AVAQIX_clean,4,1.0
AVEHAM_clean,2,1.0
AVELOD_clean,2,2.0
AVELUJ_clean,2,2.0
AVEMAQ_clean,2,2.0
AVEMOE_clean,0,-1.0
AVEQID_clean,1,3.0
AVEROJ_clean,1,1.0
AVESAW_clean,0,-1.0
AVESOL_clean,1,3.0
AVESUR_clean,1,3.0
AVETAY_clean,1,3.0
AVETEC_clean,1,3.0
AVETOM_clean,0,-1.0
AVEVEE_clean,1,1.0
AVIHIY_clean,1,1.0
AVIHOE_clean,1,1.0
AVIMIC_clean,2,1.0
AVIMOI_clean,4,1.0
AVIMUO_clean,4,1.0
AVIPAX_clean,2,2.0
AVIPOL_clean,2,1.0
AVITUU_clean,1,3.0
AVIVAC_clean,1,3.0
AVIVEG_clean,1,3.0
AVIVIK_clean,1,3.0
AVIVOQ_clean,1,3.0
AVIVUW_clean,1,3.0
AVOSIO_charged,1,1.0
AVUBUP_clean,0,-1.0
AVUCEA_clean,1,3.0
AVUDAX_clean,1,3.0
AVUHIJ_clean,0,-1.0
AVUJIL_clean,0,-1.0
AVUPIR_clean_h,2,1.0
AVUPIR_SL,0,-1.0
AWAGEL_clean,2,1.0
AWAGOV_clean,2,1.0
AWAHAI_clean,0,-1.0
AWAHEM_clean,1,2.0
AWAJIT_clean,0,-1.0
AWAKEQ_clean,2,1.0
AWAREV_clean,3,1.0
AWARIZ_clean,3,1.0
AWASAU_clean,4,1.0
AWASOI_clean,4,1.0
AWAWUR_clean,1,3.0
AWEBIO_charged,0,-1.0
AWEDOW_charged,4,1.0
AWEDUC_charged,0,-1.0
AWEGEP_clean,1,3.0
AWEJES_clean,2,1.0
AWEJIW_clean,3,1.0
AWEWOP_clean,2,1.0
AWEZOS01_clean,0,-1.0
AWEZOS_clean,0,-1.0
AWIBAK_clean,0,-1.0
AWIBAL_clean,1,2.0
AWIBEO_clean,0,-1.0
AWIBIS_clean,0,-1.0
AWOFOI_clean,1,3.0
AWOKED_clean,0,-1.0
AWUPAL_clean,1,3.0
AWUPOZ_clean,1,3.0
AXAFAG_clean,4,1.0
AXAQAT_clean,0,-1.0
AXAWUT_clean,0,-1.0
AXIGAR_clean,1,3.0
AXIMUP_clean,1,3.0
AXINEA_clean,8,1.0
AXINIF_clean,1,3.0
AXIPEE01_clean,2,2.0
AXIPEE02_clean,2,2.0
AXIPEE03_clean,2,2.0
AXIPEE_clean,2,2.0
AXOCAT_clean,0,-1.0
AXOCEW_clean,2,1.0
AXOHIE_clean,0,-1.0
AXUBAW_clean5b,1,3.0
AXUBAW_manual,1,3.0
AXUBOL_clean,1,3.0
AXUDII04_clean,0,-1.0
AXUHAD_clean,2,2.0
