Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
AJOVEB_clean,620.765,0.0,620.765
AJOXAA_clean,1176.52,0.0,1176.52
AJUNOK_clean,0.0,418.479,418.479
AKAYIV_clean,1057.47,0.0,1057.47
AKEDIF_clean,1500.37,0.0,1500.37
AKIXEZ_clean,1592.39,0.0,1592.39
AKOBAF_clean,0.0,489.561,489.561
AKOHEO_clean,1198.38,0.0,1198.38
AKOXIJ_clean,832.313,198.001,1030.314
AKUHOD01_clean,0.0,0.0,0.0
AKUHOD03_clean,0.0,0.0,0.0
AKUHOD_clean,0.0,0.0,0.0
AKUKUO_clean,769.905,0.0,769.905
ALAHUS_clean,1312.44,11.7751,1324.2151000000001
ALALUU01_clean,0.0,0.0,0.0
ALALUU_clean,0.0,0.0,0.0
ALAMUW_clean,2319.88,0.0,2319.88
ALANAD_clean,2655.98,0.0,2655.98
ALATAK_clean,0.0,0.0,0.0
ALEQIT_clean,593.413,0.0,593.413
ALIBUT_clean,805.506,127.94,933.4459999999999
ALICAA_clean,0.0,896.021,896.021
ALIFUY_clean,0.0,152.663,152.663
ALIPEQ_clean,0.0,5.46474,5.46474
ALIXAU_clean_h,437.724,1.18645,438.91044999999997
ALIXOJ_clean,1849.06,0.0,1849.06
ALIXUP_clean,1055.73,0.0,1055.73
ALOLES_ion_b,312.129,0.0,312.129
ALOLET_charged,1542.15,2.88673,1545.03673
ALOLIX_charged,1778.49,0.0,1778.49
ALOLIY_clean,983.064,0.0,983.064
ALUJEX_clean,1112.18,0.0,1112.18
ALUJIB_clean,1128.95,0.0,1128.95
ALUJOH_clean,1169.98,0.0,1169.98
ALUJUN_clean,0.0,498.983,498.983
ALUKAU_clean,0.0,479.95,479.95
ALUKIC_clean,2974.93,0.0,2974.93
ALUKOI_clean,2979.53,0.0,2979.53
ALUKUO_clean,2974.78,0.0,2974.78
ALULAV_clean,2975.39,0.0,2975.39
ALULID_clean,1902.3,0.0,1902.3
ALURAB_clean,0.0,868.648,868.648
ALUREF_clean,0.0,871.216,871.216
ALURIJ_clean,0.0,825.204,825.204
AMAFOK_clean,794.388,0.0,794.388
AMAGAX_clean,849.708,0.0,849.708
AMALND_clean,0.0,198.611,198.611
AMEJIM_charged,0.0,560.054,560.054
AMEJOS_charged,0.0,137.881,137.881
AMIKOX_clean,0.0,0.0,0.0
AMILOY_clean,1121.17,0.0,1121.17
AMILUE_clean,1126.9,0.0,1126.9
AMIMAL_clean,1117.58,0.0,1117.58
AMIMEP_clean,1107.62,0.0,1107.62
AMIWID_clean,0.0,413.702,413.702
AMIWOJ_clean,0.0,439.395,439.395
AMIWUP_clean,0.0,442.515,442.515
AMIXAW_clean,0.0,417.215,417.215
AMIXEA_clean,0.0,414.872,414.872
AMIZIG_clean,594.33,0.0,594.33
AMODUC_clean,2910.38,0.0,2910.38
AMOFAK_clean,2970.3,0.0,2970.3
AMOYOR_clean,514.854,0.0,514.854
AMOZAE_clean,0.0,47.3975,47.3975
AMUCOB_clean,0.0,2.23848,2.23848
AMUFAR_clean,0.0,215.395,215.395
AMUFEV_clean,0.0,29.1474,29.1474
AMUFIZ_clean,0.0,12.6112,12.6112
AMUFOF_clean,564.084,1.64397,565.7279699999999
AMUPOP_clean,319.569,0.0,319.569
AMUWIP_charged,2185.77,0.0,2185.77
AMUWUB_clean,1339.06,0.0,1339.06
AMUXAI_clean,1249.45,0.0,1249.45
ANAWIX_clean,1317.78,0.0,1317.78
ANAWOD_clean,1453.41,0.0,1453.41
ANEHEI_clean,0.0,864.525,864.525
ANENEN_clean,663.817,0.0,663.817
ANENIR_clean,625.797,0.0,625.797
ANEPIT_clean,0.0,0.0,0.0
ANIDIL_clean,345.757,0.0,345.757
ANOMOG_clean,1868.68,0.0,1868.68
ANOMUM_clean,2305.82,0.0,2305.82
