Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
1499489-acs.cgd.6b01265_1499490_clean,0.884188,13957.7,0.5527,0.0,0.5527
ABAVIJ_clean,1.52494,1320.38,0.2493,0.0,0.2493
ABAVOP_clean,1.56594,1285.81,0.2196,0.0,0.2196
ABAYIO_clean,0.949126,19186.4,0.5982,0.0,0.5982
ABAYOU_clean,0.979267,18921.0,0.6026,0.0,0.6026
ABEFUL_clean,1.55108,2329.31,0.2031,0.0288,0.2319
ABEMIF_clean,1.15199,3640.89,0.4415,0.179,0.6205
ABESUX_clean,3.74291,2786.16,0.602,0.0,0.602
ABETAE_clean,3.69928,2819.02,0.6081,0.0,0.6081
ABEXEM_clean,1.76082,2633.04,0.408,0.0,0.408
ABEXEN_clean,0.674371,15518.0,0.6688,0.0134,0.6821999999999999
ABEXIQ_clean,1.7876,2602.59,0.4028,0.0,0.4028
ABEXOW_clean,1.81243,2572.73,0.4081,0.0,0.4081
ABEXUC_clean,1.84813,2546.99,0.4005,0.0,0.4005
ABEYAJ_clean,1.90641,2511.78,0.3799,0.0,0.3799
ABEYEN_clean,1.9293,2493.02,0.3773,0.0,0.3773
ABEYIR,1.96962,2477.63,0.3927,0.0,0.3927
ABEYIR_clean,1.96962,2477.63,0.3811,0.0,0.3811
ABIXOZ_clean,1.91751,2085.14,0.5914,0.0,0.5914
ABIYIV,1.34661,4703.28,0.195,0.0021,0.1971
ABIYIV_clean,1.34661,4703.28,0.195,0.0021,0.1971
ABULOB_clean,1.31921,1746.89,0.5015,0.0,0.5015
ABUWOJ_clean,1.15833,4518.16,0.5507,0.0,0.5507
ACAJIY_clean,1.0939,5518.65,0.3473,0.0,0.3473
ACAJIZ_clean,1.30148,2916.84,0.2922,0.0,0.2922
ACAJOF_clean,1.21871,3191.38,0.3288,0.0,0.3288
ACAKUM,1.59028,2226.95,0.31,0.0,0.31
ACAKUM_clean,1.59028,2226.95,0.31,0.0,0.31
ACALIB_clean,1.78668,2087.56,0.2772,0.0,0.2772
ACECIV_ion_b,2.60195,3235.4,0.1026,0.0,0.1026
ACIBIY_clean,1.73515,5132.21,0.3468,0.0,0.3468
ACIBOE_clean,1.10094,3779.19,0.6076,0.0,0.6076
ACMPCD_clean,1.68656,1659.98,0.267,0.0107,0.2777
ACODED,1.13147,5539.83,0.4329,0.0,0.4329
ACODON_clean,1.14924,3402.63,0.5345,0.0,0.5345
ACODUT_clean,1.51914,2328.35,0.3173,0.0,0.3173
ACOGAB_clean,1.15458,2660.54,0.4442,0.0,0.4442
ACOGEF_clean,1.25952,2686.72,0.4346,0.0,0.4346
ACOLEL_clean,1.45481,5939.98,0.0369,0.0112,0.048100000000000004
ACOLIP_clean,1.04949,1527.86,0.4437,0.0,0.4437
ACOLOV_clean,0.863411,10047.8,0.6129,0.0,0.6129
ACOLUB_clean,1.08434,4644.21,0.4708,0.0,0.4708
ACUBAB_clean,2.30944,1622.68,0.3968,0.0091,0.4059
ACUTOI_clean,1.71994,3357.19,0.2833,0.0,0.2833
ADABAK,1.63968,2225.78,0.1325,0.0079,0.1404
ADABAK01_clean,1.60779,1105.82,0.1545,0.0736,0.2281
ADABIS_clean,1.65298,1103.94,0.1298,0.0691,0.1989
ADABUE_clean,1.46632,1244.47,0.309,0.0,0.309
ADASIJ_clean,0.629251,17841.8,0.7532,0.0,0.7532
ADASOP_clean,0.63164,17890.7,0.7577,0.0,0.7577
ADASUV_clean,0.625693,17989.1,0.7459,0.0,0.7459
ADATOQ_clean,0.632077,16952.0,0.6624,0.0,0.6624
ADATUW_clean,0.640612,16726.1,0.6483,0.0,0.6483
ADAVAE_clean,0.655338,16350.3,0.647,0.0,0.647
ADAVEI_clean,0.656268,16327.1,0.6558,0.0,0.6558
ADAVIM_clean,0.637582,16742.6,0.6595,0.0,0.6595
ADAXEK_clean,1.26343,833.647,0.4224,0.0,0.4224
