Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
1499489-acs.cgd.6b01265_1499490_clean,1678.69,0.0,1678.69
ABAVIJ_clean,0.0,306.662,306.662
ABAVOP_clean,0.0,87.6277,87.6277
ABAYIO_clean,1432.1,429.785,1861.885
ABAYOU_clean,1483.43,445.069,1928.499
ABEFUL_clean,0.0,374.809,374.809
ABEMIF_clean,1293.23,489.513,1782.743
ABESUX_clean,2008.4,0.0,2008.4
ABETAE_clean,2033.3,0.0,2033.3
ABEXEM_clean,1034.31,0.0,1034.31
ABEXEN_clean,1672.79,14.213,1687.003
ABEXIQ_clean,1036.53,0.0,1036.53
ABEXOW_clean,986.577,0.0,986.577
ABEXUC_clean,954.64,0.0,954.64
ABEYAJ_clean,937.129,13.7423,950.8713
ABEYEN_clean,921.69,14.6731,936.3631
ABEYIR,901.946,17.9792,919.9252
ABEYIR_clean,930.591,11.8267,942.4177
ABIXOZ_clean,2100.8,0.0,2100.8
ABIYIV,485.783,0.0,485.783
ABIYIV_clean,481.737,0.0,481.737
ABULOB_clean,1223.54,0.0,1223.54
ABUWOJ_clean,1786.49,0.0,1786.49
ACAJIY_clean,0.0,602.393,602.393
ACAJIZ_clean,898.594,0.0,898.594
ACAJOF_clean,1092.66,0.0,1092.66
ACAKUM,0.0,697.47,697.47
ACAKUM_clean,0.0,687.505,687.505
ACALIB_clean,0.0,235.469,235.469
ACECIV_ion_b,0.0,130.138,130.138
ACIBIY_clean,869.243,0.0,869.243
ACIBOE_clean,2075.85,0.0,2075.85
ACMPCD_clean,437.971,30.4117,468.3827
ACODED,1299.42,0.0,1299.42
ACODON_clean,1742.49,0.0,1742.49
ACODUT_clean,0.0,315.892,315.892
ACOGAB_clean,1359.81,0.0,1359.81
ACOGEF_clean,1365.03,0.0,1365.03
ACOLEL_clean,0.0,19.2185,19.2185
ACOLIP_clean,986.725,0.0,986.725
ACOLOV_clean,2197.78,0.0,2197.78
ACOLUB_clean,1502.18,3.43072,1505.6107200000001
ACUBAB_clean,1232.43,0.0,1232.43
ACUTOI_clean,771.49,0.0,771.49
ADABAK,0.0,132.134,132.134
ADABAK01_clean,211.429,0.0,211.429
ADABIS_clean,0.0,93.809,93.809
ADABUE_clean,0.0,325.465,325.465
ADASIJ_clean,2211.54,0.0,2211.54
ADASOP_clean,2242.16,0.0,2242.16
ADASUV_clean,2274.82,0.0,2274.82
ADATOQ_clean,2232.07,0.0,2232.07
ADATUW_clean,2281.86,0.0,2281.86
ADAVAE_clean,2271.63,0.0,2271.63
ADAVEI_clean,2318.43,0.0,2318.43
ADAVIM_clean,2278.82,0.0,2278.82
ADAXEK_clean,1312.87,0.0,1312.87
ADAXIO_clean,1131.01,0.0,1131.01
ADEGIA01_clean,0.0,735.328,735.328
ADEGIA_clean,0.0,795.625,795.625
ADIQEL_clean,756.729,0.0,756.729
ADOBAX,495.606,309.739,805.345
ADOBAX_charged,510.921,309.754,820.675
ADOBEB_charged,510.712,307.757,818.469
ADOBIF_clean,1084.04,200.702,1284.742
ADOBOL_charged,502.763,148.431,651.194
ADOBOL_clean,492.634,143.366,636.0
ADOBUR_charged,474.679,245.15,719.829
ADOCAY_charged,472.831,245.995,718.826
ADOCEC_clean,1075.36,255.505,1330.8649999999998
ADOCIG_charged,490.575,253.114,743.689
ADODAA_charged,2084.6,15.9023,2100.5023
ADODII_clean,1050.1,0.0,1050.1
ADODOO_clean,1033.51,0.0,1033.51
ADODUU_clean,1026.29,0.0,1026.29
ADOGEH_clean,2000.05,0.0,2000.05
ADUWIH_clean,2079.5,0.0,2079.5
AFEDIA_clean,0.0,3.44928,3.44928
AFEJOK_ion_b,1618.8,0.0,1618.8
AFEKAX_clean,1571.64,29.1416,1600.7816
AFENEE_clean,0.0,423.856,423.856
AFIPAH_clean,865.384,0.0,865.384
AFITEP_clean,1448.47,0.0,1448.47
AFITIT_clean,1360.81,0.0,1360.81
AFITUF_clean,1372.25,0.0,1372.25
AFIXAO_clean,1260.91,0.0,1260.91
AFIXES_clean,1301.25,0.0,1301.25
AFOQUI_clean,0.0,317.716,317.716
AFOTOF_clean,1619.91,0.0,1619.91
AFOTUL_clean,1659.74,0.0,1659.74
AFOVAT_clean,1624.29,0.0,1624.29
AFOVEX_clean,1642.99,0.0,1642.99
AFOVIB_clean,1636.06,0.0,1636.06
AFOVOH_clean,1672.24,0.0,1672.24
AFOYAW_clean,1704.6,9.93065,1714.53065
AFOYEB_clean,578.25,0.0,578.25
AFOYIE_clean,2065.9,0.0,2065.9
AFOYOK_clean,1591.17,0.0,1591.17
AFUKAP_clean,1510.14,0.0,1510.14
AFUKET_clean,1611.28,109.366,1720.646
AFUKIX_clean,2014.55,0.0,2014.55
AFUPEX_clean,2300.42,0.0,2300.42
AGABIU_clean,1874.66,0.0,1874.66
AGARUW_clean,1349.78,0.0,1349.78
AGAXOV_clean,2767.66,0.0,2767.66
AGAYIQ_clean,0.0,280.365,280.365
AGAYOW_clean,0.0,895.489,895.489
AGESIP_clean,0.0,172.823,172.823
AGIMOU_clean,0.0,442.618,442.618
AGIREP_clean,2263.57,0.0,2263.57
AGONAM_clean,1337.46,0.0,1337.46
AGONEQ_clean,2257.64,0.0,2257.64
AGUBUA_clean,1393.65,0.0,1393.65
AGUTUS_clean,0.0,16.1658,16.1658
AGUVOO_charged,1469.89,0.0,1469.89
AGUWUV_clean,746.138,0.0,746.138
AHAMAY_clean,505.518,0.0,505.518
AHEBAS_clean,0.0,972.024,972.024
AHEQAH_clean,2424.66,0.0,2424.66
AHINIP_clean,0.0,268.894,268.894
AHIYOH_clean,870.08,0.0,870.08
AHIYUN_clean,0.0,644.644,644.644
AHOBEG_clean,0.0,610.684,610.684
AHOJUC_clean,0.0,99.8774,99.8774
AHOKAJ_clean,0.0,96.7354,96.7354
AHOKIR01_clean,739.219,0.0,739.219
AHOKIR_clean,1128.28,0.0,1128.28
AHOKOX_clean,1319.92,0.0,1319.92
AHOZAA_clean,0.0,503.37,503.37
AHUFIU_clean,2065.92,0.0,2065.92
AHUTIH01_clean,0.0,486.116,486.116
AHUTIH_clean,542.183,0.0,542.183
AJAKON_clean,1063.01,15.2668,1078.2768
AJAMEF_clean,0.0,342.914,342.914
AJAYIT_clean,802.361,0.0,802.361
AJIGIL_clean,982.053,0.0,982.053
AJINOY_clean,0.0,23.0895,23.0895
AJOTEY_clean,2137.85,0.0,2137.85
AJOVEB_clean,817.72,0.0,817.72
AJOXAA_clean,1413.57,0.0,1413.57
AJUNOK_clean,0.0,648.721,648.721
AKAYIV_clean,1151.12,0.0,1151.12
