Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
1499489-acs.cgd.6b01265_1499490_clean,0.884188,13957.7,0.4481,0.0,0.4481
ABAVIJ_clean,1.52494,1320.38,0.0,0.1198,0.1198
ABAVOP_clean,1.56594,1285.81,0.0,0.0,0.0
ABAYIO_clean,0.949126,19186.4,0.4127,0.0638,0.47650000000000003
ABAYOU_clean,0.979267,18921.0,0.4133,0.0698,0.4831
ABEFUL_clean,1.55108,2329.31,0.0,0.1262,0.1262
ABEMIF_clean,1.15199,3640.89,0.4314,0.1618,0.5932
ABESUX_clean,3.74291,2786.16,0.5634,0.0,0.5634
ABETAE_clean,3.69928,2819.02,0.5651,0.0,0.5651
ABEXEM_clean,1.76082,2633.04,0.2521,0.0,0.2521
ABEXEN_clean,0.674371,15518.0,0.6481,0.0,0.6481
ABEXIQ_clean,1.7876,2602.59,0.2507,0.0,0.2507
ABEXOW_clean,1.81243,2572.73,0.2384,0.0,0.2384
ABEXUC_clean,1.84813,2546.99,0.241,0.0,0.241
ABEYAJ_clean,1.90641,2511.78,0.2379,0.0,0.2379
ABEYEN_clean,1.9293,2493.02,0.2327,0.0,0.2327
ABEYIR,1.96962,2477.63,0.2305,0.0,0.2305
ABEYIR_clean,1.96962,2477.63,0.2145,0.0,0.2145
ABIXOZ_clean,1.91751,2085.14,0.5103,0.0,0.5103
ABIYIV,1.34661,4703.28,0.0,0.0515,0.0515
ABIYIV_clean,1.34661,4703.28,0.0,0.0515,0.0515
ABULOB_clean,1.31921,1746.89,0.4026,0.0,0.4026
ABUWOJ_clean,1.15833,4518.16,0.4035,0.0,0.4035
ACAJIY_clean,1.0939,5518.65,0.0,0.0925,0.0925
ACAJIZ_clean,1.30148,2916.84,0.2455,0.0,0.2455
ACAJOF_clean,1.21871,3191.38,0.2843,0.0,0.2843
ACAKUM,1.59028,2226.95,0.0,0.165,0.165
ACAKUM_clean,1.59028,2226.95,0.0,0.165,0.165
ACALIB_clean,1.78668,2087.56,0.0,0.015,0.015
ACECIV_ion_b,2.60195,3235.4,0.0,0.0298,0.0298
ACIBIY_clean,1.73515,5132.21,0.0,0.2485,0.2485
ACIBOE_clean,1.10094,3779.19,0.5617,0.0,0.5617
