Structures,oms_count
AMIWOJ_clean,0
AMIWUP_clean,0
AMIXAW_clean,0
AMIXEA_clean,0
AMIZIG_clean,8
AMODUC_clean,0
AMOFAK_clean,0
AMOYOR_clean,0
AMOZAE_clean,0
AMUCOB_clean,0
AMUFAR_clean,1
AMUFEV_clean,1
AMUFIZ_clean,1
AMUFOF_clean,1
AMUPOP_clean,0
AMUWIP_charged,0
AMUWUB_clean,6
AMUXAI_clean,6
ANAWIX_clean,4
ANAWOD_clean,0
ANEHEI_clean,2
ANENEN_clean,0
ANENIR_clean,0
ANEPIT_clean,4
ANIDIL_clean,0
ANOMOG_clean,12
ANOMUM_clean,4
ANONAT_manual,4
ANUGEW_clean,12
ANUGIA_clean,6
ANUGOG_clean,8
ANUGUM_clean,0
APACAX_clean,0
APARAM_clean,0
APAYIB_clean,0
APAYOH_clean,0
APAYUN_clean,0
APAZAU_clean,0
APAZEY_clean,0
APAZIC_clean,0
APAZOI_clean,0
APEBED_clean,4
APEBEE_clean,2
APEBII_clean,18
APEBOO_clean,18
APEBUU_clean,8
APETAS_clean,6
AQAJEI_clean,0
AQALIO_clean,4
AQALOU_clean,4
AQEFOS_clean,16
AQEFUY_clean,20
AQEGUY_clean,2
AQEQES_clean,0
AQEQIW_clean,0
AQERUL_clean,0
AQETIA_clean,8
AQETUM_clean,4
AQIQAU_clean,8
AQIQIC_clean,8
AQIXUU_clean,0
AQIXUV_clean,3
AQMAND01_clean,0
AQMAND_clean,0
AQODOA_clean,0
AQOLEZ_clean,12
AQOLOJ_clean,12
AQOMAW_clean,36
AQOSEG_clean,16
AQOTIK_clean,1
AQUCOF_clean,10
AQUCOG_clean,18
AQUCUM_clean,18
AQUDAS_clean,10
AQUDAT_clean,0
AQUDEX_clean,0
AQUDIB_clean,18
AQUDOH_clean,0
ARADEE_clean,8
ARAFEF_clean,4
ARAFIJ_clean,4
ARAFOP_clean,4
ARAGOR_clean,8
ARAHIM01_clean,4
ARAHIM02_clean,4
ARAHIM_clean,4
ARIBOS_clean,0
ARINOF_clean,0
ARINUL_clean,0
AROFAP_clean,3
AROFET_clean,2
ARUCOH01_clean,0
ARUCUN_clean,0
ARUDAU_clean,0
ARUJED_clean,0
ARUYES_clean,8
ARUYES,4
ARUYOB_clean,0
ARUYUH01_clean,0
ARUYUH_clean,0
ASACON_clean,4
ASADAA_clean,0
ASAHEJ_clean,2
ASAJOU_clean,4
ASALAH_clean,0
ASALIP_clean,4
ASALOV_clean,0
ASAMUE_clean,0
ASANAL_clean,4
ASECUY_clean,8
ASEJOZ01_clean,12
ASEJOZ_clean,12
ASEKAM_clean,0
ASEXED_clean,0
ASINAT_clean,2
ASIQEA_clean,4
ASIQIE_clean,4
ASIRUR_clean,5
ASOHUL_clean,0
ASOSUY_clean,12
ASOVEL_clean,4
ASOYOY_clean,8
ASUBIB_clean,2
ASUJIJ_clean,0
ASUKEE01_clean,32
ASUKEE_clean,32
ASUWUI_clean,2
ATAFIK_clean,8
ATAYAX_clean,12
ATAYEB_clean,12
ATEJOA_clean,0
ATEXII_clean,4
ATEYED_clean,4
ATEZAC_clean,0
ATEZEG_clean,0
ATEZIK_clean,8
ATIBAG_clean,0
ATIBIO_clean,0
ATIBOU01_clean,0
ATIBOU02_clean,0
ATIBOU_clean,0
ATIBUA_clean,0
ATICAH_clean,0
ATICEL_clean,0
ATIJUJ_clean5b,6
ATIJUJ_manual,6
ATIRUS_clean,0
ATIXAE_clean,0
ATIXUX_clean,0
ATOGEV_clean,0
ATOTIM_clean,0
ATOTIM_manual,0
ATOWIQ_clean,0
ATOWOW_clean,0
ATOXEN_clean,0
ATULIM_clean,0
ATUXIY_clean,0
ATUXOE_clean,2
ATUXUK_clean,2
ATUYAR_clean,4
ATUZEW_clean,18
AVAGIP_clean,16
AVAGOV_clean,16
AVAGUB_clean,8
AVALEO_clean,0
AVAQIX01_clean,8
AVAQIX_clean,8
AVEHAM_clean,0
AVELOD_clean,8
AVELUJ_clean,8
AVEMAQ_clean,8
AVEMOE_clean,4
AVEQID_clean,4
AVEROJ_clean,0
AVESAW_clean,2
AVESOL_clean,4
AVESUR_clean,8
AVETAY_clean,0
AVETEC_clean,0
AVETOM_clean,16
AVEVEE_clean,0
AVIHIY_clean,0
AVIHOE_clean,0
AVIMIC_clean,0
AVIMOI_clean,4
AVIMUO_clean,8
AVIPAX_clean,8
AVIPOL_clean,4
AVITUU_clean,0
AVIVAC_clean,0
AVIVEG_clean,0
AVIVIK_clean,0
AVIVOQ_clean,0
AVIVUW_clean,0
AVOSIO_charged,3
AVUBUP_clean,4
AVUCEA_clean,36
AVUDAX_clean,6
AVUHIJ_clean,2
AVUJIL_clean,0
AVUPIR_clean_h,0
AVUPIR_SL,0
AWAGEL_clean,4
AWAGOV_clean,8
AWAHAI_clean,63
AWAHEM_clean,12
AWAJIT_clean,0
AWAKEQ_clean,4
AWAREV_clean,0
AWARIZ_clean,0
AWASAU_clean,0
AWASOI_clean,0
AWAWUR_clean,18
AWEBIO_charged,0
AWEDOW_charged,0
AWEDUC_charged,0
AWEGEP_clean,16
AWEJES_clean,4
AWEJIW_clean,6
AWEWOP_clean,12
AWEZOS01_clean,68
AWEZOS_clean,68
AWIBAK_clean,68
AWIBAL_clean,0
AWIBEO_clean,68
AWIBIS_clean,68
AWOFOI_clean,0
AWOKED_clean,4
AWUPAL_clean,2
AWUPOZ_clean,0
AXAFAG_clean,24
AXAQAT_clean,4
AXAWUT_clean,8
AXIGAR_clean,8
AXIMUP_clean,4
AXINEA_clean,0
AXINIF_clean,12
AXIPEE01_clean,16
AXIPEE02_clean,48
AXIPEE03_clean,16
AXIPEE_clean,16
AXOCAT_clean,0
AXOCEW_clean,4
AXOHIE_clean,0
AXUBAW_clean5b,0
AXUBAW_manual,0
AXUBOL_clean,0
AXUDII04_clean,3
AXUHAD_clean,8
AXUHEH_clean,6
AXUHIL_clean,4
AXUJOT_clean,16
AXUPEO_clean,2
AYAWEE_clean,1
AYOXUJ_clean,8
AYOYEU_clean,0
AYOYOE_clean,3
AYUPOZ_clean,4
AYUWUM_clean,4
AZAFIS_clean,0
AZAVOO_clean,8
AZAVUU_clean,12
AZAWAB_clean,12
AZAWAZ_clean,4
AZEBUE_clean,0
AZEWEH_clean,0
AZILEA_clean,0
AZILEC_clean,0
AZIMIH_clean,8
AZIVAI_clean,4
AZIXUD_clean,4
AZOBUN_clean,1
AZOHEC_clean,0
BABREE_clean,18
BACGAQ_clean,0
BACMOH10_clean,0
BACMOH_clean,0
BADHIA_clean,0
BADHOG_clean,0
BADHUM01_clean,0
BADHUM_clean,0
BADJAU_clean,0
BADJIC_clean,0
BADXAI_clean,0
BADYAJ_clean,0
BAEDTA01_clean,0
BAFCAP_clean,1
BAFHAU_clean,0
BAFKUR_clean,0
BAFVAH_clean,0
BAHGUN01_clean,2
BAHGUN02_clean,2
BAHGUN03_clean,2
BAHGUN04_clean,2
BAHGUN_clean,2
BAHMAZ_clean,12
BAKFAV_clean,0
BAKGAX_clean,8
BAKGIF_clean5b,0
BAKGIF_clean,0
BAKGIF_manual,0
BAKJEE_clean,4
BAKJII_clean,0
BAKJOO_clean,2
BAKLIK_clean,0
BAKYIY_clean,0
BAKYOE_clean,0
BALMUW01_clean,0
BALMUW_clean,0
BAMKIM_clean,0
BAMKOS_clean,0
BANMAG_clean,6
BAPDAA_clean,18
BAPVEW_clean,4
BAQWEY_clean,20
BAQWIC_clean,11
BAQWOI_clean,48
BARZAW_clean,0
BARZIE_clean,0
BARZOK_clean,0
BARZOL_charged,4
BARZUR_clean,3
BASJUB_clean,0
BASSOF_clean,8
BASSUL_clean,8
BASTAS_clean,8
BASTEW_clean,8
BASTIA_clean,8
BASTUM_clean,8
BAWRUO_clean,12
BAXFIR01_clean,0
BAXFIR02_clean,1
BAXFUD_clean,0
BAXGAK_clean,0
BAXLOD_clean,4
BAXREY_clean,16
BAXSIE_clean,4
BAYCOU_clean,4
BAZDAJ_charged,0
BAZDAJ_clean,0
BAZJET_clean,6
BAZJIX_clean,8
BEFGEA_clean5b,0
BEFGEA_manual,0
BEFKUU_clean,0
BEFLAB01_clean,0
BEFLEF_clean,0
BEFLIJ_clean,0
BEFLUV_clean,0
BEFMAC_clean,0
BEFMOQ_clean,0
BEFMUW_clean,0
BEFNAD_clean,0
BEFNEH_clean,4
BEFNIL_clean,8
BEFNOR_clean,0
BEFNUX_clean,0
BEFPAF_clean,0
BEGBOG_clean,0
BEGDEY_clean,16
BEJZAS_clean,0
BEKSAM_clean,0
BEKYOG_clean,6
BEKYUM_clean,32
BEKZEX01_clean,4
BEKZEX_clean,8
BELJIL_clean,0
BELTOD_clean,16
BELTUJ_clean,8
BELVAR_charged,0
BELVEV_charged,0
BELYIC_clean,6
BENXOJ,0
BENXUP_clean,0
BENZOL_clean,2
BENZUR_clean,2
BEPBAB_clean,2
BEPLUF_clean,6
BEPMAM_clean,6
BEPMEQ_clean,0
BEPMIU_clean,0
BEPNER_clean,2
BEPNIV_clean,6
BEPNOB_clean,6
BEPNUH_clean,0
BEPPAP_clean,0
BEPPIX_clean,6
BEPPOD_clean,6
BEPREV01_clean,0
BEPREV02_clean,1
BEPREV03_clean,1
BEPREV_clean,2
BEPRIZ_clean,0
BEPROF_clean,0
BEPVAV_clean,4
BEPVEZ_clean,6
BEPVID_clean,6
BEPVOJ01_clean,4
BEPVOJ_clean,4
BEPWEA_clean,24
BEPYIG_clean,4
BEQFEK_clean,0
BERFIP_clean,4
BERGAI_clean,0
BERQIA_clean,0
BETDAH_clean,0
BETDEL_clean,0
BETDIP_clean,0
BETDOV_clean,0
BETDUB_clean,0
BETFAJ_clean,0
BETFEN_clean,0
BETFIR_clean,0
BETFOX_clean,0
BETFUD_clean,0
BETGAK_clean,0
BETGEO_clean,36
BETGIS_clean,36
BETGOY_clean,24
BETGUE_clean,12
BETHEP_clean,12
BETHIT_clean,12
BETZOR_clean,12
BEVQID_clean,0
BEVQUP_clean,0
BEVRAW_clean,0
BEVWAB_clean,8
BEWRUR_clean,0
BEWSAY_clean,0
BEWVEG_clean,2
BEWVOQ_clean,0
BEWWEH_clean,0
BEXPAX_clean,3
BEXQIF_clean,0
BEXQOL_clean,0
BEXQUR_clean,0
BEXRAY_clean,0
BEXREC_clean,0
BEXRIG_clean,0
BEXRUT_clean,6
BEXSAA_clean,6
BEXSEE_clean,6
BEXSII_clean,6
BEXTUV_clean,4
BEXVAD01_clean,8
BEXVAD_clean,8
BEXVEH_clean,24
BEXVIL_clean,4
BEYKEX_clean,8
BEYSEF_clean,0
BEZDUH_clean,7
BEZSIK_clean,4
BIBBUL_clean,0
BIBMAC_clean,18
BIBMEG_clean,22
BIBMIK_clean,10
BIBXOB_clean,0
BIBXUH_clean,0
BIBYAO_clean,0
BICDAU_clean,8
BICPOT_clean,0
BICPUA_clean,6
BIDPOV_clean,18
BIFGOO_clean,6
BIFKEI_clean,4
BIHBEB_clean,9
BIHMUC_clean,1
BIHRER_clean,8
BIJDUV_clean,8
BIJFAD_clean,12
BIJJOV_clean,0
BIMDEF_clean,4
BIMDIL_clean,4
BIMDOR_charged,6
BINCUY_clean_b,0
BINCUY_manual,0
BINDAF_clean_b,0
BINDAF_manual,0
BINMIW_clean,4
BIPBAF_clean,24
BIPKIW_clean,12
BIPLIX_clean,6
BIQFOW_clean,0
BIQHEQ_clean,2
BIQRIE_clean,0
BIQVII_clean,0
BIRGIU_clean,12
BIRLIZ_clean,0
BIRMUM_clean,4
BIRSEC_clean,4
BIRSIG_clean,4
BIVXEK_clean,0
BIWHAQ_clean,24
BIWSIK_ion_b,0
BIWYAH10_clean,0
BIXXIR_clean,8
BIXYEO_clean,8
BIYSUZ_clean,0
BIYTAG_clean,0
BIYTEJ,0
BIYTOU_clean,8
BIYVEM_clean,0
BIYVIQ_clean,0
BIYXUE_charged,0
BIYYAL_charged,0
BIYYEP_charged,0
BIZLUT_clean,0
BIZMAA_clean,0
BIZMEE_clean,0
BIZMII_clean,0
BOCKOT_clean,0
BOCTEU01_clean,0
BOCTOE01_clean,0
BOCTOE02_clean,0
BOCTOE03_clean,0
BOCTOE04_clean,0
BOCTOE05_clean,0
BOCTOE_clean,0
BOFCEG_clean,0
BOHGOU_clean,2
BOHJOZ_auto,0
BOHWOM_clean,0
BOHXIH_clean,0
BOJCIN_clean,0
BOJDAG_clean,0
BOJYIK01_clean,0
BOJYIK_clean,0
BOKQEZ_clean,12
BOLPAU_clean,16
BOLPEY_clean,4
BOMCOX_clean,0
BOMCUB_charged,0
BOMCUB_clean,0
BONMEX_clean,0
BONNIC_clean,2
BONWAD_clean,4
BONWIL_clean,0
BOPHEV_clean,0
BOPHIZ_clean,2
BOPWIO_clean,0
BOQYUD_clean,0
BORBEQ_clean,0
BOSHIC_clean,18
BOTLED_clean,0
BOVHEB_clean,4
BOWDIC_clean,4
BOWNUY_clean,12
BOWQAG_clean,0
BOWQAG_SL,0
BOWRAH_clean,0
BOWSOW_clean,4
BOWSUC_clean,8
BOWZUK_clean,8
BOXYEU_clean,0
BOXYIY_clean,0
BOYCEY_auto,18
BOYTEQ_clean,0
BOYYOF_clean,16
BOZFIH_clean,4
BOZFON_clean,0
BUBDIL_clean,0
BUBQOE_clean,8
BUBTUP_clean,16
BUBWOM_clean,12
BUCROH_charged,0
BUCSAU_clean,4
BUCSEY_clean,4
BUCSIC01_clean,4
BUCSIC_charged,0
BUCTUQ_clean,0
BUCVAY_clean,0
BUCVIG_clean,0
BUCWAZ_clean,6
