Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
ADASOP_clean,17.83565,6.08677,17.83565
ADASUV_clean,16.55071,6.3122,16.55071
ADATAC_clean,26.00527,9.587,15.99104
ADATEG_clean5b,26.55262,12.55384,26.55262
ADATEG_manual,26.55262,12.55384,26.55262
ADATIK_clean,24.28105,11.38906,18.40578
ADATOQ_clean,9.80137,8.40368,9.80137
ADATUW_clean,9.61906,8.26192,9.61906
ADAVAE_clean,9.46712,8.15704,9.46712
ADAVEI_clean,9.40373,8.07407,9.40373
ADAVIM_clean,9.59804,8.28658,9.59804
ADAXEK_clean,5.77984,3.94122,5.77984
ADAXIO_clean,5.6488,4.37402,5.63332
ADEGIA01_clean,4.70541,2.68839,4.70541
ADEGIA_clean,4.84874,2.46896,4.84654
ADIQEL_clean,4.08851,3.18535,4.07277
ADOBAX_charged,5.55125,3.75369,5.51124
ADOBAX,5.56602,3.75167,5.54883
ADOBEB_charged,5.51171,3.7561,5.51171
ADOBIF_clean,5.55869,3.81659,5.41898
ADOBOL_charged,5.46525,3.84391,5.46525
ADOBOL_clean,5.46525,3.84391,5.46525
ADOBUR_charged,5.406,3.85821,5.39667
ADOCAY_charged,5.40482,3.85293,5.40113
ADOCEC_clean,5.41704,3.82427,5.41272
ADOCIG_charged,5.37984,3.82549,5.37984
ADODAA_charged,9.77551,4.69605,9.77551
ADODII_clean,5.66104,4.99313,5.40992
ADODOO_clean,5.60627,5.03198,5.46556
ADODUU_clean,5.60164,5.01369,5.43403
ADOGEH_clean,12.08269,4.8428,12.08269
ADUROI_clean,25.47898,16.91624,25.47417
ADUWIH_clean,9.08538,6.04322,9.08538
ADUWON_clean,16.19428,5.65454,16.19428
AFEDIA_clean,2.96673,2.16611,2.96673
AFEJOK_ion_b,5.85286,4.92904,5.84968
AFEKAX_clean,7.40662,6.42043,7.40662
AFENEE_clean,3.70826,2.63061,3.70826
AFIPAH_clean,4.23255,3.33773,4.22984
AFITEP_clean,4.24147,3.84507,4.24147
AFITIT_clean,6.61791,5.06346,6.61791
AFITUF_clean,7.11171,4.87055,7.10551
AFIXAO_clean,5.7151,4.12327,5.71337
AFIXES_clean,5.73519,4.18967,5.72844
AFOQUI_clean,3.88767,2.76074,3.8647
AFOTOF_clean,8.76921,6.28353,8.76921
AFOTUL_clean,8.80371,6.27279,8.80371
AFOVAT_clean,8.2736,6.14004,8.2736
AFOVEX_clean,8.80662,6.40641,8.80662
AFOVIB_clean,8.78345,6.23787,8.78345
AFOVOH_clean,8.78063,6.39345,8.32472
AFOYAW_clean,5.48784,3.70157,5.48783
AFOYEB_clean,5.32024,5.22682,5.31989
AFOYIE_clean,8.61086,8.1602,8.61086
AFOYOK_clean,7.25577,5.30737,7.25577
AFUKAP_clean,6.9336,4.25784,6.06293
AFUKET_clean,5.43012,4.35833,5.32242
AFUKIX_clean,8.07442,5.47318,7.97207
AFUPEX_clean,5.22166,4.53016,5.14261
AGABIU_clean,12.59,10.84975,12.59
AGARUW_clean,6.5545,6.06646,6.5545
AGAXOV_clean,7.0521,5.2168,6.84244
AGAYIQ_clean,4.00144,2.63457,3.99321
AGAYOW_clean,5.70115,2.28732,5.70115
AGESIP_clean,3.36357,2.87887,3.36357
AGIMOU_clean,4.13392,2.74001,4.13392
