Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
AFUKAP_clean,Mn6H3100C3968N248O1178,1,1,3.0
AFUKET_clean,Mn12H6200C7936N496O2356,1,1,3.0
AFUKIX_clean,Mn12H5828C8122N372O2356,1,1,3.0
AFUPEX_clean,Tm124H12C1116O744,1,1,3.0
AGABIU_clean,O1836N612C3060Ni204Li6,1,1,3.0
AGARUW_clean,La248H16C1364N496O1364,1,1,3.0
AGAXOV_clean,Cu248H16C1488S248O992,1,1,2.0
AGAYIQ_clean,Cu8Br1224O2448C8160N816,1,1,3.0
AGAYOW_clean,Cu744Br1488O3472C8928H112N496,1,1,3.0
AGESIP_clean,Cu186H4C496O620,1,1,3.0
AGIMOU_clean,Mn6H496C248N1240Cl124,1,1,3.0
AGIREP_clean,Zn1240H72C6696O4712,1,1,3.0
AGONAM_clean,Cd124O992H12C1240,1,1,3.0
AGONEQ_clean,Cd124O992C1240H8,1,1,3.0
AGUBUA_clean,Zn372P744H8O1488,1,1,3.0
AGUTUS_clean,Cu124N1488C992H32,1,1,3.0
AGUVOO_charged,Cu744H144C4464N5952O992F744,1,1,3.0
AGUWUV_clean,Ni3H248C620N372O248,1,1,3.0
AHAMAY_clean,Zn310P248O1488H18C496,1,1,3.0
AHEBAS_clean,Cu372O1736N496C4712H120,1,1,3.0
AHEQAH_clean,C6732H60O1224Ho204,1,1,3.0
AHINIP_clean,Zn124H104C3472N744O496,1,1,3.0
AHIYOH_clean,Co28O6120C14688H8160,1,1,3.0
AHIYUN_clean,Co24O5304H15096C24480,1,1,3.0
AHOBEG_clean,Co4O1122H1734N408C2958,1,1,3.0
AHOJUC_clean,P408O1224V4,1,1,3.0
AHOKAJ_clean,P408O1224Fe4,1,1,3.0
AHOKIR01_clean,Cu62P62H8C124O186,1,1,3.0
AHOKIR_clean,O372Cu4P124C248,1,1,3.0
AHOKOX_clean,O372Cu4P124C310,1,1,3.0
AHOZAA_clean,Cd496O1984N496C9176H240,1,1,3.0
AHUFIU_clean,Ag248Mo496P496C7192O1240H180N496,1,1,3.0
AHUTIH01_clean,La124H16C620O992,1,1,3.0
AHUTIH_clean,La124H8C620O992,1,1,3.0
AJAKON_clean,Cd310O1488C5208H96N248,1,1,3.0
AJAMEF_clean,O816N1224C7752H6528Co8,1,1,3.0
AJAYIT_clean,Er124Cu186H60C1488N372O1488,1,1,3.0
AJIGIL_clean,Br204C12648N3264H17748Co4O2856Na408P204,1,1,3.0
AJINOY_clean,Cu62O372N248C1612H44,1,1,3.0
AJOTEY_clean,V12P816O2448,1,1,3.0
AJOVEB_clean,Cd372H36C3534O1488F1116,1,1,3.0
AJOXAA_clean,Nd248S372O1488C2232H24,1,1,3.0
AJUNOK_clean,C9792H112Cd408N1632O1632S408,1,2,3.0
AKAYIV_clean,Cu248H120C5952Br248N744O1488,1,2,3.0
AKEDIF_clean,O496N248C3472H80Zn124,1,1,3.0
AKIXEZ_clean,O2232C22320H468Cu558,1,1,3.0
AKOBAF_clean,O496N992H144C4960Cd124,1,1,3.0
AKOHEO_clean,O5304Mo1224Fe6P816H204,1,1,3.0
AKOXIJ_clean,Ni18O5712N2652C17544H2448,1,1,3.0
AKUHOD01_clean,Gd124H12C558O744,1,1,3.0
AKUHOD03_clean,Gd124H16C558O868,1,1,3.0
AKUHOD_clean,Gd124H12C558O744,1,1,3.0
AKUKUO_clean,Ni3C1734H1734N408P204O714,1,1,3.0
ALAHUS_clean,Tb744O4464N496C10664H152,1,1,3.0
ALALUU01_clean,Pr124H12C558O744,1,1,3.0
ALALUU_clean,Pr124H8C558O744,1,1,3.0
