Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
AFOVOH_clean,1.04816,1598.69,0.5307,0.0,0.5307
AFOYAW_clean,0.978122,2290.64,0.4456,0.0,0.4456
AFOYEB_clean,1.68224,2077.04,0.1843,0.0,0.1843
AFOYIE_clean,0.761887,2404.1,0.6214,0.0,0.6214
AFOYOK_clean,0.979451,2508.03,0.4397,0.0,0.4397
AFUKAP_clean,0.959141,4653.42,0.4024,0.0,0.4024
AFUKET_clean,0.9597,9301.42,0.3683,0.0365,0.4048
AFUKIX_clean,0.784292,11390.0,0.5246,0.0,0.5246
AFUPEX_clean,1.38641,1801.62,0.5921,0.0,0.5921
AGABIU_clean,0.647122,4467.79,0.7009,0.0,0.7009
AGARUW_clean,1.77195,2421.47,0.3934,0.0,0.3934
AGAXOV_clean,0.887006,3499.87,0.6942,0.0,0.6942
AGAYIQ_clean,2.1487,4126.73,0.0,0.1,0.1
AGAYOW_clean,1.68923,10762.6,0.0,0.2334,0.2334
AGESIP_clean,2.26011,659.382,0.0,0.1302,0.1302
AGIMOU_clean,1.67254,1135.73,0.0,0.248,0.248
AGIREP_clean,0.99837,12831.0,0.623,0.0,0.623
AGONAM_clean,1.43768,1679.56,0.4235,0.0,0.4235
AGONEQ_clean,1.08253,2224.39,0.628,0.0,0.628
AGUBUA_clean,1.83317,2087.1,0.4337,0.0,0.4337
AGUTUS_clean,1.36197,1637.57,0.0,0.0156,0.0156
AGUVOO_charged,1.16455,10062.8,0.3681,0.0,0.3681
AGUWUV_clean,1.51212,791.15,0.2703,0.0,0.2703
AHAMAY_clean,2.24993,1387.49,0.1661,0.0,0.1661
AHEBAS_clean,1.26607,5022.32,0.0,0.2977,0.2977
AHEQAH_clean,0.759287,5882.14,0.6665,0.0,0.6665
AHINIP_clean,1.25642,3044.76,0.0,0.1015,0.1015
AHIYOH_clean,1.42546,8376.27,0.2334,0.0,0.2334
AHIYUN_clean,1.898,7998.16,0.0,0.1652,0.1652
AHOBEG_clean,1.32229,1796.66,0.0,0.1988,0.1988
AHOJUC_clean,2.04926,677.046,0.0,0.1418,0.1418
AHOKAJ_clean,2.08849,679.921,0.0,0.1204,0.1204
AHOKIR01_clean,1.92701,293.969,0.2886,0.0,0.2886
AHOKIR_clean,1.88207,587.746,0.3632,0.0,0.3632
AHOKOX_clean,1.73966,658.787,0.4202,0.0,0.4202
AHOZAA_clean,1.68629,6739.29,0.0,0.1198,0.1198
AHUFIU_clean,0.961965,11609.7,0.5735,0.0,0.5735
AHUTIH01_clean,2.06338,1065.46,0.0,0.2114,0.2114
AHUTIH_clean,2.04865,1066.59,0.2263,0.0,0.2263
AJAKON_clean,1.36723,5002.33,0.2566,0.0063,0.2629
AJAMEF_clean,1.29455,3871.63,0.0,0.1153,0.1153
AJAYIT_clean,1.98392,2195.74,0.2508,0.0,0.2508
AJIGIL_clean,1.08988,9118.85,0.2422,0.0,0.2422
AJINOY_clean,1.44035,1268.23,0.0,0.0,0.0
AJOTEY_clean,1.2556,2479.48,0.6268,0.0,0.6268
AJOVEB_clean,1.95651,3570.04,0.2278,0.0,0.2278
AJOXAA_clean,1.52914,3470.25,0.4153,0.0,0.4153
AJUNOK_clean,1.43764,5238.16,0.0,0.1811,0.1811
AKAYIV_clean,1.14308,6796.84,0.3978,0.0,0.3978
AKEDIF_clean,0.925851,3686.54,0.4419,0.0,0.4419
AKIXEZ_clean,1.37738,13762.1,0.5265,0.0,0.5265
AKOBAF_clean,1.15061,4648.15,0.2245,0.0,0.2245
AKOHEO_clean,2.37535,3356.34,0.4105,0.0,0.4105
AKOXIJ_clean,1.42761,9022.48,0.3345,0.0448,0.3793
AKUHOD01_clean,2.24008,920.135,0.0,0.0,0.0
AKUHOD03_clean,2.39221,908.844,0.0,0.0,0.0
AKUHOD_clean,2.22877,924.804,0.0,0.0,0.0
AKUKUO_clean,1.30477,1372.78,0.3029,0.0,0.3029
ALAHUS_clean,1.36604,12918.2,0.4107,0.0,0.4107
ALALUU01_clean,2.03959,957.363,0.0,0.0322,0.0322
ALALUU_clean,2.03592,955.8,0.0,0.0257,0.0257
ALAMUW_clean,0.64997,5115.55,0.7499,0.0,0.7499
ALANAD_clean,0.697286,12786.0,0.7122,0.0,0.7122
ALATAK_clean,1.35214,875.161,0.0,0.1153,0.1153
ALEQIT_clean,1.90553,2118.1,0.2157,0.0,0.2157
ALIBUT_clean,1.322,12869.7,0.3094,0.0529,0.3623
ALICAA_clean,1.43218,13102.5,0.2956,0.0594,0.355
ALIFUY_clean,1.33624,2608.85,0.0,0.1335,0.1335
ALIPEQ_clean,1.68544,1642.49,0.0,0.1533,0.1533
ALIXAU_clean_h,1.43262,3909.96,0.2223,0.0161,0.2384
ALIXOJ_clean,0.979833,3224.33,0.5526,0.0,0.5526
ALIXUP_clean,1.33865,2802.92,0.3619,0.0,0.3619
ALOLES_ion_b,2.20818,3905.53,0.1353,0.0,0.1353
ALOLET_charged,0.901246,18124.7,0.4723,0.002,0.4743
ALOLIX_charged,0.940569,18297.2,0.5332,0.0,0.5332
ALOLIY_clean,1.19169,5062.15,0.3355,0.0,0.3355
