Subject,Submissions
Computational Chemistry,25.30%
Materials Science,12.10%
Organic Chemistry,11.80%
Biological and Medicinal Chemistry,10.60%
Physical Chemistry,9.90%
Catalysis,7.30%
Analytical Chemistry,5.40%
Inorganic Chemistry,5.20%
Artificial Intelligence,2.80%
Energy,2.60%
Environmental Chemistry,1.90%
Chemical Education,1.80%
Organometallic Chemistry,1.60%
Polymer Science,0.60%
Chemical Engineering and Industrial Chemistry,0.40%
Agriculture and Food Chemistry,0.40%
Nanoscience,0.10%
