# pressure	selectivity	loading (CH4)	loading (O2)
1.0	2.71862802692	0.0106245505558	0.000434228443768
1.79797979798	5.57474956887	0.0194815537709	0.000388289565103
2.59595959596	5.98461579633	0.02847926277	0.000528749486632
3.39393939394	5.9752724608	0.0366906379609	0.000682268060235
4.19191919192	6.00513492213	0.0447693549334	0.000828353206861
4.9898989899	5.96153143882	0.0529079504505	0.000986099162858
5.78787878788	5.84147622233	0.061576810259	0.00117125663893
6.58585858586	5.62653444105	0.0706521347585	0.00139521712302
7.38383838384	5.32921852256	0.0797505534063	0.00166275272128
8.18181818182	5.0091019752	0.106765134081	0.00236824738932
8.9797979798	4.78479531236	0.218334849075	0.00507010772485
9.77777777778	4.62150125099	0.32994398502	0.00793258311293
10.5757575758	4.47983501232	0.441627302834	0.0109534614958
11.3737373737	4.38393983005	0.766621571243	0.0194300510237
12.1717171717	4.34654792042	1.12653153893	0.0287976051993
12.9696969697	4.34291403251	1.48370380809	0.0379597609906
13.7676767677	4.3608511437	1.68207122874	0.0428578727029
14.5656565657	4.370404564	1.72898949146	0.0439570160342
15.3636363636	4.37509336751	1.77489406514	0.0450757127029
16.1616161616	4.38068856333	1.81753608383	0.0460997057517
16.9595959596	4.38642944626	1.84561389965	0.0467506005932
17.7575757576	4.39302003018	1.87303551089	0.047374028649
18.5555555556	4.40230642372	1.90037016037	0.0479640033469
19.3535353535	4.41392435979	1.92266847424	0.048399069186
20.1515151515	4.42713564891	1.94234916979	0.0487485795639
20.9494949495	4.44178613963	1.96203467877	0.0490802227625
21.7474747475	4.4577832247	1.98172696622	0.0493949288326
22.5454545455	4.47504612876	2.00142883403	0.0496935618451
23.3434343434	4.49350337766	2.02113435303	0.0499767029856
24.1414141414	4.5130916161	2.04084324289	0.0502450159691
24.9393939394	4.53357475963	2.05596647181	0.0503886516055
25.7373737374	4.55469083793	2.070810344	0.0505171583341
26.5353535354	4.57641330159	2.08565676929	0.0506378304931
27.3333333333	4.59871094316	2.09973818556	0.050732530425
28.1313131313	4.62141506526	2.11177070989	0.050772585166
28.9292929293	4.6444579799	2.1238044429	0.0508085706566
29.7272727273	4.66783082147	2.13583930637	0.0508406340251
30.5252525253	4.69152556274	2.14787523075	0.0508689125157
31.3232323232	4.71553492646	2.15991215421	0.0508935344769
32.1212121212	4.73985230835	2.17195002183	0.0509146202251
32.9191919192	4.76442624898	2.18198116349	0.0508859490794
33.7171717172	4.78911712068	2.19110219584	0.0508352152188
34.5151515152	4.81391658014	2.20022265612	0.05078384304
35.3131313131	4.83882569339	2.2093425665	0.0507318351483
36.1111111111	4.86384549661	2.21846194847	0.0506791945229
36.9090909091	4.88897699904	2.22758082292	0.0506259244772
37.7070707071	4.91422118556	2.23669921012	0.0505720286233
38.5050505051	4.93957913854	2.245821484	0.0505176075624
39.303030303	4.96505194613	2.25494358224	0.0504625711138
40.101010101	4.99064052701	2.2640652532	0.0504069176191
40.898989899	5.01634578352	2.27318651503	0.0503506517189
41.696969697	5.04216860365	2.28230738543	0.0502937782186
42.4949494949	5.06810986235	2.2914278817	0.0502363020697
43.2929292929	5.09416895639	2.30025105211	0.0501717654877
44.0909090909	5.12029190684	2.30777308464	0.0500790260188
44.8888888889	5.14645303378	2.31529395364	0.0499868321054
45.6868686869	5.17265486147	2.32281370222	0.0498951540882
46.4848484848	5.1988998037	2.33033237148	0.0498039640751
47.2828282828	5.22519017147	2.33785000065	0.0497132358171
48.0808080808	5.25152818002	2.34536662721	0.0496229445941
48.8787878788	5.2778995003	2.35170893564	0.0495085199773
49.6767676768	5.30423285864	2.35718267083	0.0493773920994
50.4747474747	5.33052291028	2.36265431379	0.0492479162729
51.2727272727	5.35677318062	2.36812393405	0.0491200341492
52.0707070707	5.38298704285	2.37359159791	0.0489936902445
52.8686868687	5.40916772714	2.37905736858	0.0488688317602
53.6666666667	5.43531832908	2.38452130642	0.0487454084165
54.4646464646	5.4614382015	2.38973762891	0.0486184029583
55.2626262626	5.48751787932	2.3948199516	0.0484902485213
56.0606060606	5.51355930131	2.39990038218	0.0483636038805
56.8585858586	5.539565338	2.40497897794	0.0482384212719
57.6565656566	5.56553874888	2.4100557937	0.0481146550515
58.4545454545	5.59148218835	2.41513088199	0.0479922615753
59.2525252525	5.61739821144	2.42020429317	0.0478711990869
60.0505050505	5.64328927897	2.42527607553	0.0477514276129
60.8484848485	5.66915776253	2.43034627542	0.0476329088655
61.6464646465	5.69500594905	2.43541493735	0.0475156061515
62.4444444444	5.72083604509	2.44048210409	0.0473994842877
63.2424242424	5.74665018092	2.44554781674	0.047284509521
64.0404040404	5.77245041428	2.45061211486	0.0471706494543
64.8383838384	5.79823873392	2.45567503649	0.0470578729772
65.6363636364	5.82400332751	2.46000401966	0.0469322843055
66.4343434343	5.84972889714	2.46428351949	0.0468071742738
67.2323232323	5.87541752388	2.46856134044	0.0466834216066
68.0303030303	5.90107127779	2.4728375257	0.0465609907326
68.8282828283	5.92669216246	2.47711211688	0.0464398474069
69.6262626263	5.95228211806	2.48138515409	0.0463199586473
70.4242424242	5.9778430241	2.48565667604	0.046201292674
71.2222222222	6.00337670214	2.48992672006	0.0460838188535
72.0202020202	6.02888491832	2.49419532218	0.0459675076453
72.8181818182	6.05436938575	2.49846251723	0.0458523305518
73.6161616162	6.07983176678	2.50272833881	0.0457382600707
74.4141414141	6.10527367513	2.50699281945	0.0456252696503
75.2121212121	6.13069667795	2.51125599055	0.0455133336475
76.0101010101	6.15610187316	2.51547261042	0.0454016133053
76.8080808081	6.18148836448	2.51964556411	0.0452901634246
