# pressure	selectivity	loading (CH4)	loading (CO2)
1.0	0.00600443189046	0.0111655067196	0.206616026357
1.79797979798	0.00797843391608	0.0203553778456	0.28347776936
2.59595959596	0.00355674923168	0.0291950765849	0.912039951942
3.39393939394	0.00340589672971	0.0367844317299	1.2000243711
4.19191919192	0.00373189226079	0.0448459579886	1.33521652629
4.9898989899	0.00415789671252	0.0522331255789	1.39582125799
5.78787878788	0.00466677072992	0.0604989861336	1.44041993049
6.58585858586	0.00516794681392	0.0689254081902	1.48189967187
7.38383838384	0.00568558010294	0.077281374538	1.51028025947
8.18181818182	0.00619167584104	0.0857406557724	1.53863667525
8.9797979798	0.0133492327551	0.183759334315	1.52950391887
9.77777777778	0.0205587568575	0.278314368294	1.50416773318
10.5757575758	0.0275642196487	0.368063029377	1.48365862245
11.3737373737	0.0429688973853	0.54052062434	1.39770510307
12.1717171717	0.0657756330659	0.739782831228	1.249673907
12.9696969697	0.0877536984337	0.892006532743	1.12943202099
13.7676767677	0.107274930076	1.00676540488	1.04276761295
14.5656565657	0.108365918013	1.02229152216	1.04818884931
15.3636363636	0.110227569053	1.04168284667	1.05003257818
16.1616161616	0.112062149285	1.06098438955	1.0519801302
16.9595959596	0.113249323472	1.07675976565	1.056429922
17.7575757576	0.114397144542	1.09156563748	1.06021064876
18.5555555556	0.11553420391	1.10635798858	1.06400235806
19.3535353535	0.116631266272	1.12035497281	1.06732859761
20.1515151515	0.117280550306	1.1302307282	1.07077594447
20.9494949495	0.117923831231	1.14009846028	1.07423245475
21.7474747475	0.118561191918	1.14995739344	1.0776970242
22.5454545455	0.119193017211	1.15980935566	1.08116825298
23.3434343434	0.119819259189	1.16919690353	1.08422275299
24.1414141414	0.120439816221	1.17830996641	1.087043585
24.9393939394	0.120997898045	1.1871362682	1.09013488607
25.7373737374	0.12131877473	1.19482215772	1.09429078739
26.5353535354	0.121636777669	1.20163463269	1.0976528789
27.3333333333	0.121951945294	1.20824530087	1.10083916703
28.1313131313	0.122189982344	1.21342881212	1.10340815983
28.9292929293	0.122335541574	1.21814600017	1.10637966557
29.7272727273	0.122479820126	1.22269752857	1.10920542512
30.5252525253	0.122622834828	1.22724577242	1.11203302037
31.3232323232	0.122764602214	1.23179078745	1.11486243251
32.1212121212	0.122905138531	1.23633262814	1.1176936429
32.9191919192	0.123044459745	1.2408713478	1.1205266331
33.7171717172	0.123059890704	1.24479538247	1.12392914751
34.5151515152	0.123031992353	1.24850191403	1.12753140252
35.3131313131	0.123004332129	1.25193731771	1.13088818909
36.1111111111	0.122976906994	1.2552615656	1.13414388683
36.9090909091	0.122949713965	1.25858578221	1.13739886153
37.7070707071	0.122922750108	1.26190996519	1.14065311938
38.5050505051	0.122896012538	1.26523411225	1.14390666649
39.303030303	0.122891654099	1.26867277364	1.14705626309
40.101010101	0.12311503491	1.27329083773	1.14914283094
40.898989899	0.123337461883	1.27788667133	1.15121071698
41.696969697	0.123558941115	1.28246320017	1.15326264409
42.4949494949	0.123779478649	1.28685283414	1.15514825073
43.2929292929	0.123999080479	1.29117143997	1.15697223541
44.0909090909	0.124217270828	1.29548642277	1.15879969753
44.8888888889	0.124347871918	1.29935275995	1.16103739176
45.6868686869	0.124477922394	1.30321867619	1.16327516035
46.4848484848	0.124607425729	1.30708418118	1.16551300885
47.2828282828	0.124736385371	1.31057022334	1.1674132874
48.0808080808	0.124864804736	1.31402372685	1.1692857457
48.8787878788	0.124992687211	1.31747672896	1.17115894125
49.6767676768	0.125087703891	1.32075774217	1.1731837397
50.4747474747	0.125104875555	1.32362690432	1.17557093905
51.2727272727	0.125121975876	1.32649603226	1.17795812444
52.0707070707	0.125139005297	1.32936512646	1.1803452962
52.8686868687	0.125155964259	1.33157537409	1.18214757258
53.6666666667	0.125172853198	1.33297069208	1.18322664133
54.4646464646	0.125189672547	1.33436325768	1.18430363439
55.2626262626	0.125200986196	1.33547780012	1.18518573011
56.0606060606	0.125197647699	1.33632393443	1.18596826608
56.8585858586	0.125194322874	1.33716900856	1.18674977325
57.6565656566	0.125258246514	1.33839011323	1.18722732211
58.4545454545	0.125364455465	1.33984743923	1.18751313631
59.2525252525	0.125470416873	1.34130248542	1.18779879119
60.0505050505	0.125576131602	1.34275525504	1.18808428349
60.8484848485	0.125681600512	1.34420575128	1.18836961001
61.6464646465	0.12578682446	1.34565397735	1.18865476759
62.4444444444	0.125891804298	1.34709993646	1.18893975308
63.2424242424	0.125996540875	1.34854363182	1.1892245634
64.0404040404	0.126101035036	1.34998506662	1.18950919549
64.8383838384	0.12620528762	1.35142424408	1.18979364633
65.6363636364	0.126309299464	1.3528611674	1.19007791292
66.4343434343	0.126397573929	1.35420915356	1.19043173893
67.2323232323	0.126460494239	1.35541443259	1.19089842664
68.0303030303	0.126523269756	1.35661802454	1.191364532
68.8282828283	0.126585900978	1.35781993147	1.1918300546
69.6262626263	0.126648388403	1.35906021429	1.19233013843
70.4242424242	0.126710732525	1.36032629407	1.19285369909
71.2222222222	0.126772933837	1.36159053993	1.1933764818
72.0202020202	0.126834992828	1.36285295404	1.19389848675
72.8181818182	0.126896909987	1.36411353854	1.19441971411
73.6161616162	0.1269586858	1.36537229559	1.1949401641
74.4141414141	0.127020320749	1.36662922737	1.19545983694
75.2121212121	0.127081815316	1.36788433605	1.19597873285
76.0101010101	0.12714316998	1.36913762379	1.19649685207
76.8080808081	0.127204385219	1.37038909279	1.19701419486
77.6060606061	0.127261852639	1.3716184433	1.19754699539
78.404040404	0.127318304973	1.37284104318	1.19808297573
