# pressure	selectivity	loading (CO2)	loading (O2)
1.0	362.785102295	0.200643051871	0.00497756786431
1.79797979798	394.238735328	0.277340608788	0.00633135523078
2.59595959596	1276.8410006	0.89358929104	0.00629859443389
3.39393939394	1721.53733523	1.1980678932	0.00626336171639
4.19191919192	1915.35249446	1.33294220689	0.00626332745368
4.9898989899	2028.04458706	1.40915333964	0.00625350159344
5.78787878788	2095.26036194	1.45597269365	0.00625399806198
6.58585858586	2162.47613681	1.50278220363	0.00625442269741
7.38383838384	2211.38799675	1.53631037621	0.00625254066956
8.18181818182	2256.33348477	1.5676121142	0.00625284742836
8.9797979798	1678.71265149	1.59741190134	0.00856412626618
9.77777777778	1332.92579623	1.62712588428	0.0109864577608
10.5757575758	1109.70065659	1.65210847129	0.0133990875406
11.3737373737	953.453858345	1.67501850781	0.0158111128696
12.1717171717	838.756979411	1.69791699303	0.0182189279045
12.9696969697	752.532320389	1.72518764525	0.0206325873143
13.7676767677	684.767189748	1.752599731	0.023034686555
14.5656565657	629.884037899	1.77665873063	0.0253855116395
15.3636363636	580.257241164	1.79036809393	0.027769257671
16.1616161616	538.533291309	1.80407006922	0.0301497249752
16.9595959596	518.214492107	1.81479064414	0.0315180606602
17.7575757576	506.15432571	1.82269635881	0.0324096157951
18.5555555556	494.748231755	1.8306003446	0.0333005800606
19.3535353535	483.944405478	1.83850250839	0.0341909574492
20.1515151515	473.696372209	1.84640275902	0.035080751735
20.9494949495	463.962319063	1.85430100729	0.0359699664821
21.7474747475	454.70452472	1.86219716585	0.0368586050534
22.5454545455	438.426344041	1.8695222762	0.0383774850999
23.3434343434	421.551854222	1.87668980122	0.0400667392205
24.1414141414	406.064797932	1.88385517479	0.0417536724667
24.9393939394	391.800818174	1.89101821136	0.0434383061821
25.7373737374	378.620531706	1.89817872963	0.0451206607569
26.5353535354	366.404959236	1.90533655241	0.0468007556652
27.3333333333	355.051923639	1.91249150655	0.0484786095017
28.1313131313	340.487255803	1.91912257115	0.0507276053537
28.9292929293	324.840535244	1.92541184169	0.0533452715875
29.7272727273	310.688787734	1.93169874965	0.0559572454275
30.5252525253	297.827525396	1.93798300567	0.0585635831606
31.3232323232	286.087928223	1.94426432765	0.0611643387316
32.1212121212	275.329392298	1.95054244052	0.0637595638378
32.9191919192	265.433871286	1.9568170761	0.06634930802
33.7171717172	248.528400079	1.9611742162	0.0710203258067
34.5151515152	231.44284659	1.96485949742	0.0764064897113
35.3131313131	216.058674816	1.96834373822	0.0819920498864
36.1111111111	202.268734468	1.97166882939	0.0877299178793
36.9090909091	181.16052756	1.97086956717	0.0979122016443
37.7070707071	158.010494723	1.96349531829	0.111837241543
38.5050505051	140.248464148	1.95402209972	0.125393165653
39.303030303	126.167175145	1.94475829086	0.138727245004
40.101010101	108.645562156	1.92765378054	0.1596833196
40.898989899	90.781330055	1.90234302024	0.188597007466
41.696969697	76.8389072231	1.87483867264	0.219596408428
42.4949494949	64.5233456962	1.84091255636	0.256778578799
43.2929292929	55.6428740288	1.80841437492	0.292503391645
44.0909090909	48.9362060211	1.7772537173	0.326859901007
44.8888888889	42.5571855306	1.73920360038	0.367807039122
45.6868686869	37.5145547043	1.70159970302	0.408225486025
46.4848484848	33.5552920793	1.66334154009	0.446131531963
47.2828282828	30.3068904896	1.6255303574	0.482721024171
48.0808080808	27.5075879809	1.58755570823	0.519420364446
48.8787878788	25.1905819129	1.55151703298	0.55432039423
49.6767676768	23.2411146999	1.51726915385	0.587554536905
50.4747474747	21.3973046691	1.48073778426	0.622818633676
51.2727272727	19.7981994947	1.44532304258	0.657024765645
52.0707070707	18.4268013771	1.41174370504	0.689522456195
52.8686868687	17.3039772511	1.38179699461	0.718688702086
53.6666666667	16.4056273483	1.35611865401	0.743956182042
54.4646464646	15.5991232286	1.33150920662	0.768221565019
55.2626262626	14.8710646629	1.30787597946	0.791529327724
56.0606060606	14.4119253031	1.29228639054	0.80701067139
56.8585858586	13.9901997094	1.27745984978	0.821799465826
57.6565656566	13.586736311	1.26275572412	0.83646294864
58.4545454545	13.2025310153	1.24826107625	0.850923938239
59.2525252525	12.8402802579	1.23414311526	0.865034704405
60.0505050505	12.4981544982	1.22038711378	0.87880846933
60.8484848485	12.1916278928	1.20775195249	0.891576388979
61.6464646465	12.0627134709	1.20289101636	0.89747793259
62.4444444444	11.9367865624	1.19808561475	0.903322722271
63.2424242424	11.8137445061	1.19333474259	0.909111643452
64.0404040404	11.6934892914	1.18863741871	0.914845560791
64.8383838384	11.5759272975	1.18399268512	0.920525318808
65.6363636364	11.4609690509	1.17926342786	0.926044805078
66.4343434343	11.3485289977	1.17429753698	0.931281740118
67.2323232323	11.3078057065	1.17288601945	0.933512163992
68.0303030303	11.2740924299	1.17181757905	0.935450749314
68.8282828283	11.2406563858	1.1707549451	0.937382492997
69.6262626263	11.2074941686	1.16969806752	0.939307435659
70.4242424242	11.1746024281	1.16864689676	0.941225617512
71.2222222222	11.1419778688	1.16760138382	0.943137078367
72.0202020202	11.1098892756	1.16657547549	0.945030055559
72.8181818182	11.0836694651	1.16584471714	0.946672262941
73.6161616162	11.0576325567	1.16511763796	0.948309566974
74.4141414141	11.0317766431	1.16439420835	0.949941991591
75.2121212121	11.0060998437	1.16367439904	0.951569560521
76.0101010101	10.9806003037	1.16295818102	0.953192297293
76.8080808081	10.9596011647	1.16247210662	0.954619497768
77.6060606061	10.9720537928	1.16373575113	0.954572585773
78.404040404	10.9845064208	1.16499883321	0.954525319317
79.202020202	10.9969590488	1.16626135457	0.954477701023
