MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
260000.0,0.37500,0.3750000000
261000.0,0.50000,0.5000000000
262000.0,0.25000,0.2500000000
263000.0,0.25000,0.2500000000
264000.0,0.00000,0.0000000000
265000.0,0.12500,0.1250000000
266000.0,0.00000,0.0000000000
267000.0,0.12500,0.1250000000
268000.0,0.25000,0.2500000000
269000.0,0.62500,0.6250000000
270000.0,0.25000,0.2500000000
271000.0,0.00000,0.0000000000
272000.0,0.50000,0.5000000000
273000.0,0.62500,0.6250000000
274000.0,0.12500,0.1250000000
275000.0,0.12500,0.1250000000
276000.0,0.50000,0.5000000000
277000.0,0.00000,0.0000000000
278000.0,0.50000,0.5000000000
279000.0,0.37500,0.3750000000
280000.0,0.12500,0.1250000000
281000.0,0.25000,0.2500000000
282000.0,0.25000,0.2500000000
283000.0,0.12500,0.1250000000
284000.0,0.00000,0.0000000000
285000.0,0.12500,0.1250000000
286000.0,0.50000,0.5000000000
287000.0,0.00000,0.0000000000
288000.0,0.00000,0.0000000000
289000.0,0.37500,0.3750000000
290000.0,0.25000,0.2500000000
291000.0,0.50000,0.5000000000
292000.0,0.25000,0.2500000000
293000.0,0.62500,0.6250000000
294000.0,0.12500,0.1250000000
295000.0,0.12500,0.1250000000
296000.0,0.12500,0.1250000000
297000.0,0.00000,0.0000000000
298000.0,0.00000,0.0000000000
299000.0,0.50000,0.5000000000
