# Radial distribution function in trajectory MnLM_1200K_centered.xyz
# Using selection: pairs: name(#1) Mn and name(#2) N
# r   g(r)   N_ij(r)   N_ji(r)
7.47119 0.850673 24.473 2.4473
7.51212 0.875115 24.908 2.4908
7.55306 0.897852 25.3592 2.53592
7.594 0.920997 25.8271 2.58271
7.63494 0.97089 26.3256 2.63256
7.67588 0.988706 26.8388 2.68388
7.71681 0.98936 27.3578 2.73578
7.75775 1.00462 27.8904 2.78904
7.79869 1.01433 28.4338 2.84338
7.83963 1.01417 28.9829 2.89829
7.88057 1.02257 29.5423 2.95423
7.9215 1.03172 30.1126 3.01126
7.96244 1.0272 30.6863 3.06863
8.00338 1.04764 31.2774 3.12774
8.04432 1.05076 31.8764 3.18764
8.08526 1.06367 32.4889 3.24889
8.12619 1.07121 33.1121 3.31121
8.16713 1.0901 33.7526 3.37526
