Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
EQUNEL_clean_223,-23.1397,0.000158125,-23.3879,-17.1879,25.3887
ESIWAF_clean_2,-40.5991,0.0313578,-41.071,-2.97096,2.37995
ESOROV_clean_5,-29.6368,2.35593e-06,nan,nan,2.18776
EMIGUD_charged_61,-24.9482,0.000146639,-30.0678,-21.6678,72.1354
ESIGES01_clean_33,-26.6933,0.000204306,-28.236,-21.736,4.98938
ENESOH_clean_64,-19.8956,6.42911e-05,-23.4624,-18.8624,63.7958
ESURER01_clean_15,-26.5219,0.000262089,-28.8193,-22.6193,2.74842
ERANES_clean_131,-30.1731,0.000242994,-33.3924,-15.9924,24.1857
ESURER03_clean_15,-26.6248,0.000268955,-28.9174,-22.7174,2.77735
ESURER04_clean_15,-25.8392,0.00022671,-28.1064,-21.7064,2.81663
ESURER_clean_15,-26.305,0.000249962,-28.7019,-22.4019,3.01456
ESUSIW_clean_15,-26.509,0.000251164,-28.9302,-22.2302,2.64873
ESUSOC02_clean_2,-25.2625,0.000210028,-27.1167,-21.9167,2.29083
ESURER02_clean_15,-26.6055,0.000267321,-28.9021,-22.7021,4.60385
ESUSOC_clean_2,-25.7899,0.000221316,-28.1819,-21.5819,2.19387
ERALEQ_clean_131,-35.1274,0.00212642,-40.103,-18.403,28.5841
ERAMAN_clean_131,-21.0798,2.45704e-05,-26.0563,-13.9563,27.4111
ESUSAO_clean_2,-27.4367,0.00030638,-29.6671,-22.8671,3.30336
ESUSAO01_clean_2,-27.4625,0.000303058,-29.7219,-22.9219,3.3532
ESUVAR01_clean_2,-29.5888,0.000465196,-30.8962,-23.0962,1.28265
ETAXIH_clean_15,-33.4669,0.000119319,nan,nan,0.762358
ESUVAR02_clean_2,-31.8243,0.000674439,-32.2538,0.146176,1.1906
ERIWAF_clean_194,-32.653,0.000467191,-34.3217,-15.6217,21.0671
ESUVAR_clean_2,-28.0765,0.000356697,-30.0787,-23.8787,1.39509
ESUSOC01_clean_2,-25.5846,0.000226744,-27.1721,-21.7721,4.04387
ESUTAP_clean_15,-25.6335,0.000230622,-27.2281,-21.8281,3.06696
ESIFET_clean_2,-28.4571,0.000327155,-29.0665,-21.6665,11.5435
ESIFET_clean_2,-28.4571,0.000327155,-29.0653,-21.6653,11.5435
ETEJOD01_clean_2,-21.9874,8.13171e-05,-23.3479,-18.1479,2.29995
ETEKAQ01_clean_1,-23.1677,5.11638e-05,-26.1203,-19.3203,2.15246
ETEJUJ_clean_2,-22.2057,9.24385e-05,-24.1961,-18.0961,2.40565
ETEJOD_clean_2,-22.7621,0.00011058,-24.5601,-19.2601,2.43843
ETEMIB_clean_14,-30.5256,9.95624e-05,nan,nan,0.265688
EMIYUW_clean_69,-23.1626,0.000110811,-25.8938,-17.2938,76.5558
ETEKAQ01_clean5b_1,-23.1677,5.11638e-05,-26.1203,-19.3203,2.15859
ERAMER_clean_131,-20.7866,5.41051e-05,-25.9199,-17.2199,30.2508
EHUTAE_clean_2,-40.0409,0.00543939,-41.4819,-15.8819,102.488
ETEJIX01_clean_2,-21.4829,6.41926e-05,-22.8271,-17.8271,3.8788
ETEKAQ_clean_2,-22.2795,9.29686e-05,-24.2702,-18.1702,2.24421
ETEJIX_clean_2,-21.5956,7.73912e-05,-22.9588,-17.1588,4.00245
ETICIV_clean_15,-35.1985,0.000756793,nan,nan,0.784542
ETEKEU_clean_2,-22.4348,9.34019e-05,-24.3956,-18.3956,2.22911
ESUVOF_clean_15,-26.1296,0.000245668,-28.4644,-22.1644,5.03019
ETIXEM_clean_14,-42.1143,0.00335003,nan,nan,0.667582
ETEKAQ01_manual_1,-23.1677,5.11638e-05,-26.1203,-19.3203,3.75976
ESANET_clean_1,-21.27,1.70889e-05,-24.5148,-18.1148,23.1964
ESANET_clean_1,-21.27,1.70889e-05,-24.5263,-18.3263,23.1964
ESANET_clean_1,-21.27,1.70889e-05,-24.5263,-18.3263,23.1964
ETEQUQ_clean_2,-18.6217,6.98013e-06,-20.676,-15.276,2.24142
ETEXEI01_clean_15,-23.4794,6.39589e-05,-23.6913,-20.3913,2.06556
ETEXEI_clean_15,-23.7368,6.75888e-05,-23.9227,-20.6227,1.97708
ETUWOG_clean_2,-32.0347,7.75885e-05,nan,nan,0.224267
ETEMEX_clean_2,-26.1554,4.20859e-05,-27.8591,15.2409,3.41888
ETUWIA_clean_14,-21.2595,2.91183e-05,-22.0979,-18.7979,1.34481
ETUXEW_clean_60,-24.4509,1.66315e-05,-26.155,-17.855,1.43098
EVEGER_clean_66,-25.2496,5.90189e-05,nan,nan,0.601109
ETAYAA_clean_2,-20.3729,4.01907e-05,-23.5742,-15.9742,6.81751
ETIXOW_clean_14,-38.3124,0.015849,-41.1344,-35.2344,2.77517
ETESIG_clean_14,-32.7965,0.00144868,-33.7028,-28.1028,4.02317
EVOHOM_clean_2,-7.59658,1.02485e-09,nan,nan,0.131525
EVOMOR01_clean_14,-36.4581,0.00143056,nan,nan,0.287734
ETUWEW_clean_14,-19.6655,1.43839e-05,-20.3098,-17.7098,2.71321
EVOMOR_clean_14,-36.3649,0.00143412,nan,nan,0.44109
ETIYEN_clean_14,-37.0453,0.00922593,-40.1073,-33.0073,3.00545
EVUBAY_clean_14,-29.3612,6.14552e-06,nan,nan,0.348356
ESEVIJ_clean_61,-19.9035,3.37831e-06,-24.0954,17.9046,18.9825
EVUMUE_clean_2,-29.4795,3.85769e-05,nan,nan,0.393264
EVUNAL_clean_2,-30.2473,5.49529e-05,nan,nan,0.257643
EVUNEP_clean_2,-30.6378,6.41657e-05,nan,nan,0.431956
EVUNIT_clean_h_1,-30.3461,5.48372e-05,nan,nan,0.378643
EVUNOY_clean_60,-30.064,0.000155222,nan,nan,0.245763
ETIPII_clean_14,-36.1546,0.000879389,-38.3445,-20.6445,5.79938
ESUTIX_clean_15,-25.1927,0.000201869,-27.2954,-21.2954,11.2548
EVEGOB_clean_224,-27.3876,7.46895e-05,-24.7067,-16.6067,3.55223
ETECIR_clean_88,-24.1401,2.35302e-05,-25.6912,-8.19119,10.2876
EVUQOC_clean_2,-32.1902,0.000992384,-33.0462,-25.4462,1.16871
EVEGUH_clean_224,-27.2385,7.66762e-05,-24.5963,-16.8963,3.54912
ERALIU_clean_131,-31.8591,0.000583617,-36.2706,-19.1706,39.4071
EVURAP_clean_2,-31.2052,0.000429475,-31.7443,-28.0443,1.0511
EMIFOW_charged_61,-21.9988,6.27148e-05,-26.0525,-19.3525,87.703
EVUQUI_clean_2,-31.3437,0.000372102,-32.1566,-27.4566,1.65586
EVUPOC_clean_2,-26.1817,0.000218566,-27.9587,-24.5587,2.86247
ETIXAI_clean_2,-34.2538,0.00107048,-36.809,-23.109,7.8159
EVADIQ_clean_2,-27.9007,0.000135614,-32.9889,-18.4889,7.42561
EVIMUT_clean_2,-26.2882,0.000195597,-28.2936,-23.1936,5.90258
EWETUW_clean_2,-36.5679,0.00185125,-32.3264,-28.6264,1.19964
EJESUJ_clean_15,-16.0264,1.59781e-05,-20.6324,-14.3324,107.757
EWASIG01_clean_2,-21.7261,8.16672e-05,-23.8057,-18.8057,3.08705
EVUDAA_clean_87,-29.3243,0.000569073,-32.0694,-17.9694,6.09522
EWILON_clean_225,-29.1869,0.000434056,nan,nan,1.05005
EWASIG_clean_2,-22.0562,9.33119e-05,-23.9225,-19.5225,3.55063
EWUFAF_clean_4,-30.8839,3.84914e-06,nan,nan,0.51379
EWIDUK_clean5b_1,-20.1345,4.30961e-05,nan,nan,2.49773
EWETIL_clean_2,-42.433,0.00470689,-43.1966,8.90345,3.09127
ERAMUH_clean_131,-47.3232,0.204835,-48.5497,-18.2497,40.7498
EWIPIL_clean_14,-26.6616,0.000153082,-27.7307,-22.7307,1.50602
ERALUG_clean_138,-23.9255,6.24077e-05,-27.1123,-18.1123,42.8751
EWEWUZ_charged_1,-28.4126,3.32527e-05,-30.1916,-18.8916,3.30589
EWEWUZ_charged_1,-28.4126,3.32527e-05,-30.1916,-18.8916,3.30589
EWUGEK_clean_5,-35.4182,0.000183047,-36.7689,-27.0689,1.45781
EPISOM_clean_130,-28.2058,0.000283726,-29.2472,-14.9472,61.0888
EWIDUK_SL_1,-20.2474,4.45795e-05,nan,nan,3.01899
EVADIO_clean_14,-39.8443,0.00298615,-42.2738,-2.47378,11.0951
EWUCOP_clean_14,-27.1207,8.59549e-05,-28.3346,-12.6346,2.72703
EXAPEA_clean_85,-39.1981,0.00241309,-39.1497,-1.34966,2.10962
EWIMIH_charged_14,-30.3625,0.00021737,-32.7214,-15.4214,5.02767
EWIMON_charged_14,-28.8392,0.000178634,-30.8769,-16.4769,5.10766
EVADEK_clean_14,-38.1182,0.00191617,-41.0893,-8.0893,12.9219
EWECOY_clean_14,-21.1611,5.62069e-05,-22.8728,-19.6728,7.8498
ETECOX_clean_88,-15.9618,1.32862e-05,-17.9829,-14.4829,18.5249
EXENAX_clean_14,-26.6017,5.51004e-05,-27.2968,-8.2968,2.88498
EXIBUI_clean_2,-25.8712,1.90448e-05,nan,nan,0.171087
EXALAR_clean_14,-22.8,8.35983e-05,-26.9429,-18.5429,4.74822
EXIDEV_clean_7,-31.9444,0.000163647,nan,nan,0.579303
EWESIJ_clean_68,-27.1212,0.000126542,-29.4736,-22.0736,9.53778
EXEXAH_clean_138,-19.8059,5.40138e-05,-20.7198,-18.9198,2.99957
EXALIZ_clean_2,-21.9543,2.34627e-05,-26.6255,-17.7255,6.56785
EXEQII_clean_5,-23.0312,0.000132288,-25.8274,-21.1274,3.98506
EWUTEW_clean_2,-28.6856,0.000241037,-30.0414,-28.1414,7.33038
EXOZEX_clean_2,-27.1314,0.000169681,nan,nan,0.483733
EXEMUR_clean_15,-29.5604,0.000120324,-27.9155,-24.6155,6.05463
EXEQII_SL_1,-23.5532,0.00015295,-26.702,-21.402,4.49655
EXUMOZ_clean_2,-8.21149,5.73732e-10,nan,nan,0.0771198
EXOFIH_clean_21,-30.1721,0.000521159,-30.2454,-28.9454,3.20409
EXURUM_clean_14,-30.5076,0.000184264,nan,nan,0.886811
EXUHEM_clean_7,-33.7854,0.00177285,-34.5985,-21.8985,1.50599
EXUSAT_clean_14,-30.309,0.000187901,nan,nan,0.623431
ETIXIQ_clean_15,-29.753,0.000381428,-32.9291,-17.5291,19.9444
EWESAC_clean_73,-34.8953,0.000457944,-35.4771,1.52287,13.6113
EWUKEO_clean_185,-24.0647,0.00010276,-30.3319,-22.9319,10.6736
EXAXAE01_clean_129,-34.2475,0.000218078,-18.847,-14.547,9.79353
EXOZIB_clean_2,-20.0928,3.22956e-05,-27.4048,-15.2048,3.6352
EYOQAL_90,-41.8419,0.0160924,-30.9396,-28.4396,1.99585
EXIDOF_clean_142,-24.9268,0.000228176,-24.6274,-22.8274,8.22859
EXAXAE_clean_129,-34.7036,0.000257733,-19.0951,-14.8951,12.6754
EYOPUE_90,-40.1029,0.0076963,-28.6183,-25.3183,3.503
EZABAJ_clean_62,-21.5629,3.02572e-07,nan,nan,0.145416
EWUKIS_clean_185,-24.1336,0.00011187,-30.2655,-23.8655,14.7662
EXEWAG_clean_15,-24.32,0.00013229,-27.059,-21.359,11.6427
EXOTUH_1,-25.4115,0.000221799,-28.0319,-23.2319,8.26626
EWUKAK_clean_108,-22.6922,7.86355e-05,-25.0898,-16.9898,16.7662
EXEWIO_clean_2,-34.0334,0.000730895,-36.7685,-24.5685,14.1354
EZEQIL_clean_15,-32.2632,0.0014388,-32.9668,-28.1668,2.54866
EZEQOR_clean_15,-31.8298,0.0014281,-32.8065,-27.7065,2.682
ERAMOB_clean_138,-25.7572,0.000190971,-28.9044,-19.8044,59.0206
ERUNOW_clean_88,-27.2598,0.0001671,-32.1938,-18.5938,51.3489
EXOGAB_clean_2,-65.2715,37.845,nan,nan,12.2358
EZABEN_clean_36,-27.6824,0.000127945,-28.252,-13.652,4.03088
EXUHUC_clean_2,-28.6035,8.89819e-05,-28.4164,-18.6164,10.6964
EXUHUC_clean_2,-28.6035,8.89819e-05,-28.4166,-18.6166,10.6964
EYOQEP_41,-31.5923,0.00131116,-33.9532,-27.8532,5.28109
EZEQEH_clean_15,-34.1051,0.00164837,-34.4439,-26.5439,3.91311
ETEPID_clean_80,-39.2519,0.0104534,-33.0559,-21.1559,30.5891
EZEQUX_clean_15,-32.117,0.00152696,-33.0818,-27.9818,3.03421
EZUCOS_clean_2,-30.6104,0.0007894,nan,nan,0.728225
EZUCOS_SL_15,-30.9287,0.00090056,nan,nan,0.692119
EVOTIT_SL_1,-37.6987,0.00146027,-37.9374,-18.9374,28.3739
EVOTIT_SL_1,-37.6987,0.00146027,-40.1617,-24.8617,28.3739
EVOTIT_SL_1,-37.6987,0.00146027,-39.5996,-25.0996,28.3739
EZUCIM_clean_19,-30.042,0.000559671,-32.3721,-25.3721,2.47059
FABFOF_clean_1,-23.6761,9.90339e-07,nan,nan,0.114086
EZULAO_clean_2,-29.5689,0.000388233,-29.8075,-26.5075,0.661764
FABFOF_ion_b_1,-23.6761,9.90339e-07,nan,nan,0.116439
EYULOA_clean_54,-35.1743,0.00165739,-37.1051,-26.7051,8.57768
EZITUE_clean_61,-35.6795,0.00149095,-36.2364,-31.7364,4.15456
FABGUM_clean_66,-24.2649,3.14639e-05,-24.4644,-22.4644,1.0123
EZESAF_clean_7,-35.3968,0.0021745,-36.2771,-30.4771,5.07705
EZESAF_clean_7,-35.3968,0.0021745,-36.2771,-30.4771,5.07705
FAFGAU_clean_2,-28.8447,1.35796e-05,nan,nan,0.144361
FAFDEX_clean_1,-32.3776,0.000563443,-33.7255,-25.8255,0.631181
FAFJIH_clean_15,-14.1707,4.14837e-09,nan,nan,0.415723
FAFJIH_SL_15,-14.324,4.40483e-09,nan,nan,0.425047
EXOTUH_SL_5,-26.0816,0.000282835,-28.6106,-23.9106,16.2476
FABGOG_clean_1,-34.2459,8.88718e-05,-34.8575,19.9425,2.20293
FAFCEW_clean_62,-24.4374,1.48267e-05,-25.1694,-7.66941,2.04032
FAFMAC_clean_14,-24.7551,0.000124507,-26.7408,-23.1408,2.15874
EVAKIV_clean_217,-28.2374,0.000246458,-35.88,-16.78,35.1292
EZIVAM_clean_7,-38.6048,0.00211863,-39.2779,-31.8779,7.95917
EZIVAM_clean_7,-38.6048,0.00211863,-39.2779,-31.8779,7.95917
EXEQAA_clean_1,-23.5299,0.000152215,-26.5745,-21.3745,23.9442
EXEQAA_clean_1,-23.5299,0.000152215,-26.5702,-21.3702,23.9442
EXEQAA_clean_1,-23.5299,0.000152215,-26.568,-21.368,23.9442
FAGVUH_clean_56,-22.7811,5.84718e-06,-23.1677,-14.2677,1.04992
EZOFUV_clean_140,-21.3399,9.32739e-05,-23.2658,-18.5658,10.2168
FAGFUQ_clean_2,-22.6124,0.000120081,-25.7143,-20.2143,6.51731
FAHBIC_clean_33,-23.3533,1.36506e-06,nan,nan,0.0855205
ERULEK_clean_15,-22.7265,8.40351e-05,-27.8149,-18.3149,64.0261
FAGMAE_clean_122,-31.7551,0.000519312,-33.3521,-23.4521,7.25641
FAGMEI_clean_122,-37.2385,0.00124401,-39.2996,-19.1996,6.91375
FAHJUW_clean_42,-2.32099,1.54623e-10,nan,nan,0.177746
FAGYEU_clean_88,-32.1453,0.000541486,nan,nan,2.14775
FAHQEN_clean_15,-39.0558,0.00394598,nan,nan,0.816067
FAGXIX_clean_15,-34.6613,0.00170813,-35.8994,-16.2994,5.03635
FAHTUE_clean_66,-27.5229,0.000112499,nan,nan,0.588909
FAHVAM_clean_66,-26.5876,8.49309e-05,nan,nan,0.635243
EZOBUR02_clean_2,-32.1889,0.000291732,-29.2359,-21.3359,14.1469
EZOBUR02_clean_2,-32.1889,0.000291732,-33.9122,-25.3122,14.1469
FAKGOP_clean_14,-24.3618,1.08803e-06,nan,nan,0.227437
FAGREM_clean_19,-23.4616,8.05284e-05,-26.88,-19.98,7.05582
EWUSUL_clean_2,-16.1065,9.36815e-06,-20.7243,-13.4243,33.0252
FAFQEJ01_clean_19,-21.4408,2.49534e-05,-26.2439,-16.2439,10.0576
EVOTIT_clean_2,-21.3461,2.44244e-05,-22.2709,-11.7709,41.0753
EVOTIT_clean_2,-21.3461,2.44244e-05,-25.7215,-16.3215,41.0753
FAGXOD_clean_7,-36.4604,0.00217313,-36.1608,17.6392,7.44864
FAHFUR_clean_136,-28.1429,0.000345206,-29.4593,-22.3593,5.05004
FAGMOS_clean_122,-36.6491,0.00123761,-38.5722,-21.7722,11.9911
FAKHIK_clean_12,-29.189,0.00024114,-34.8785,-16.9785,3.59907
EVAKOB_charged_160,-28.4736,0.000245014,-34.3648,-17.8648,45.2725
FALJAF_clean_19,-21.3114,8.45629e-08,nan,nan,0.836067
FALQEQ_clean_2,-46.1955,0.0125529,nan,nan,0.243051
FAKLUA_clean_12,-20.9807,8.31363e-05,-22.0867,-15.5867,4.048
FALQOA_clean_2,-47.2636,0.0223339,nan,nan,0.153899
FALQIU_clean_2,-46.5472,0.0173641,nan,nan,0.262135
ERANOC_clean_136,-30.1826,0.000677389,-33.5083,-18.4083,77.1383
FAHQIR_clean_15,-36.0493,0.00252102,-36.1433,-7.54326,7.62961
FALLOT_clean_19,-24.5992,2.68797e-05,-24.5418,6.35823,2.59832
FAKLOU_clean_12,-20.3929,5.87079e-05,-21.4772,-14.6772,6.406
FAKLIO_clean_12,-19.7455,5.99774e-05,-20.4966,-14.4966,6.9708
EZIPEK_clean_225,-25.8471,0.000139795,-27.7451,-13.9451,22.7653
FAJZOI_clean_122,-39.7629,0.0118286,-40.8939,-17.2939,8.04746
FALZEY_clean_217,-18.9358,2.44835e-05,nan,nan,0.327026
FALRIV_clean_15,-29.5788,0.000485627,-31.7228,-27.6228,3.40493
FALZIC_clean_217,-17.9809,1.69255e-05,nan,nan,0.334476
FALZOI_clean_217,-19.2602,2.44354e-05,nan,nan,0.33779
EYUWAW_clean_h_1,-25.8289,0.000204919,-28.4311,-22.2311,28.2804
EYUWAW_clean_h_1,-25.8289,0.000204919,-28.4282,-22.2282,28.2804
EYUWAW_clean_h_1,-25.8289,0.000204919,-28.4328,-22.2328,28.2804
EYUWAW_clean_h_1,-25.8289,0.000204919,-28.4325,-22.2325,28.2804
FALRIV01_clean_15,-29.8362,0.000515077,-31.4255,-27.7255,4.5327
FALROB_clean_15,-29.2389,0.000446812,-30.2066,-27.3066,3.62301
FALSAO_clean_15,-30.0393,0.000543662,-31.7549,-28.1549,3.58353
FAKNIR_clean_2,-25.3694,0.000160433,-29.7681,-21.1681,7.65249
FAMHAE01_clean_76,-7.41263,1.50189e-09,-7.90821,-4.30821,0.275005
EZOBUR_clean_2,-30.7398,0.000235808,-26.3463,-18.7463,23.9492
EZOBUR_clean_2,-30.7398,0.000235808,-32.3279,-26.5279,23.9492
FALZAU_clean_60,-37.1287,0.00153597,-38.0712,-11.5712,2.05559
FABCUI_clean_9,-34.1444,0.00039757,-36.918,-7.71798,21.4815
FAMHAE_clean_76,-9.73353,4.3539e-09,-10.4691,-7.36912,0.639585
EYOCUS_clean_15,-39.6741,0.00840995,-36.0928,-27.5928,32.9317
FAMBUS_clean_2,-24.9424,0.00012262,-28.1729,-20.9729,2.729
FAKMAH_clean_63,-22.2551,0.000103205,-23.7605,-14.7605,10.127
FALVUL01_clean_14,-23.6633,3.31291e-05,-27.2608,-16.6608,4.86479
FALVUL_clean_14,-23.9712,3.44336e-05,-27.5513,-17.1513,5.08691
EYACOX_clean_15,-21.7937,8.62185e-05,-24.2029,-18.0029,36.1538
FALPOY_clean_4,-31.3518,0.0008523,-32.7367,-26.6367,8.51591
FALDAA_clean_14,-27.885,0.000237264,-31.033,-22.133,10.5137
FAPYEA04_clean_2,-nan,0,nan,nan,0.149724
FALVOF_clean_14,-18.8044,1.27489e-05,-22.7578,-15.1578,6.86245
FAPYEA_80,-nan,0,nan,nan,0.30741
FANQER_clean_14,-19.1759,5.10188e-06,-19.7057,-14.3057,3.39061
FAQGIO_clean_15,-13.9233,6.45265e-08,nan,nan,0.174123
FANCOP_clean_2,-33.4862,0.000382356,-33.9578,-19.0578,4.08211
FAQVEA_clean_15,-30.7072,1.54965e-05,nan,nan,0.217879
FAQYUR_clean_2,-29.8899,2.53077e-05,nan,nan,0.151439
EWALUK_clean_1,-25.0586,0.000131696,-28.2765,-16.9765,51.4329
FAMGAD_clean_14,-29.048,0.000163446,-29.325,-27.325,5.84093
FANDEG_clean_2,-31.6774,0.000238697,-32.0368,-19.1368,4.76206
FANCIJ_clean_2,-27.6754,0.000145533,-31.8915,-20.2915,5.39321
FARBIL_clean_62,-27.5743,0.000474844,-28.3426,-24.0426,1.34707
FAPXEC_clean_98,-24.1391,0.000190451,-26.7056,-22.4056,3.47184
FAPXIG_clean_91,-24.0336,0.000193788,-26.4115,-22.3115,3.63028
FARYAA_clean_63,-19.0283,2.02629e-06,nan,nan,0.483436
FARYEE_clean_14,-16.7085,1.87581e-07,nan,nan,0.311953
FASFOX_clean_124,-41.4259,0.00618448,nan,nan,0.198563
FARHIR_ion_b_59,-31.0402,0.000826976,-32.4958,-27.3958,1.46695
FASFUD_clean_124,-41.8572,0.00615747,nan,nan,0.21505
FAPTUN_clean_55,-25.8503,0.00032134,-27.6386,-12.0386,5.33893
FASGAK_clean_124,-41.4351,0.00577785,nan,nan,0.201927
FAHGAY_clean_161,-24.4654,0.00023264,-23.5792,-23.0792,19.1724
FAPXOM_clean_91,-24.0588,0.000196384,-26.3568,-22.5568,4.29388
FASHUD_clean_15,-18.9037,2.0599e-07,nan,nan,0.353821
FASHUD_SL_142,-26.3688,1.79399e-05,nan,nan,0.266275
FASJAL_clean_33,22.3538,2.74826e-15,nan,nan,0.116054
EZOBUR01_clean_15,-38.208,0.00238082,-37.3804,-29.8804,31.8646
EZOBUR01_clean_15,-38.208,0.00238082,-37.3804,-29.8804,31.8646
FASQUN_clean_13,-41.0704,0.00370913,nan,nan,0.393524
FATBAE_clean_2,50.0514,6.59036e-21,nan,nan,0.0924495
FASHOX_clean_7,-20.9276,1.462e-05,-21.4906,-19.3906,1.25449
FAPTOH_clean_55,-23.9846,0.00017258,-26.0492,-19.7492,6.81523
FASGEO_clean_124,-41.4308,0.00531748,-41.4961,19.6039,2.68668
FASHAK_clean_1,-22.3737,3.9125e-05,-25.3039,-18.8039,2.66915
FAQLUH_clean_98,-24.0597,0.000186291,-26.5905,-22.3905,5.94539
FASGIS_clean_2,-34.9371,0.000765446,-35.5562,-24.0562,2.83819
FASVIH_clean_14,-20.9951,5.06902e-05,-23.889,-19.489,2.59121
FAPTIB_clean_18,-24.7403,0.000201607,-27.1591,-22.4591,9.40861
FAPVAV_clean_55,-25.6352,0.000285726,-27.7091,-11.6091,8.55614
EYINOR_clean_15,-22.1326,9.95149e-05,-25.1276,-18.9276,44.1127
EYOCIG_clean_15,-20.4576,6.34802e-05,-23.3131,-16.8131,44.4174
FATKIW_clean_14,-27.4328,4.53319e-05,-28.2333,-12.2333,2.09776
FATKAO_clean_14,-26.1699,2.16415e-05,-27.8384,-13.4384,3.687
FATKOC_clean_14,-26.5641,2.96412e-05,-27.8149,-12.9149,2.06614
FATKES_clean_14,-26.1363,2.83555e-05,-27.5083,-12.5083,3.62194
FATVOM_clean_15,-34.7985,0.000600551,-35.134,-25.934,2.40672
FATLUJ_clean_2,-29.1576,0.000219683,-30.6314,-23.4314,3.69372
FATKUI_clean_14,-25.4956,2.68576e-05,-26.8504,-14.3504,3.74141
FAVGIV_clean_4,-28.9961,0.000120081,-29.8982,-24.3982,1.74013
EYOCOM_clean_15,-20.9623,6.94876e-05,-23.8565,-17.2565,45.9558
FAVGOB_clean_4,-29.0882,0.000120144,-29.8856,-24.1856,2.66314
FAVGER_clean_18,-26.9262,0.000122858,-28.3213,-24.8213,3.19279
FAVZEJ_clean_9,0.790752,3.73453e-11,nan,nan,0.0624865
FAVGUH_clean_4,-29.0948,0.00011309,-29.9654,-23.5654,2.39103
FAVHIW_clean_4,-29.6123,0.000160806,-30.6522,-25.9522,1.58705
FAVHAO_clean_4,-29.1967,0.000143882,-30.2857,-25.7857,1.88911
FAVGAN_clean_18,-26.5543,0.000125096,-28.8251,-23.6251,3.78185
FAWCEN01_clean_160,-17.8459,1.89264e-05,nan,nan,1.00046
FAWCEN02_clean_160,-17.6031,1.82466e-05,nan,nan,1.02791
FAVHES_clean_4,-29.482,0.000114343,-30.4092,-23.8092,2.71075
EYIYES_clean_15,-20.8101,6.76259e-05,-23.6016,-17.1016,49.9778
FASYUU_charged_2,-33.3519,0.00048539,-33.1921,-26.0921,9.385
FAWCEN_clean_160,-18.103,1.98696e-05,nan,nan,1.0218
FAYLEY_clean_123,-39.0221,0.0194766,nan,nan,0.0982387
FAVKET_clean_52,-27.9446,0.000120523,-27.365,-9.36496,2.70827
FAWCEN01_SL_1,-20.7374,4.97077e-05,nan,nan,2.61011
FAYLIC_clean_123,-30.4153,0.000654151,-32.5295,-11.1295,0.83731
FAJYAS_clean_14,-22.3472,6.30032e-05,-26.2875,-18.8875,28.2056
FAQGEL_clean_15,-29.3385,0.000278719,-29.4621,-18.2621,14.6942
FAWCEN02_SL_1,-20.9028,5.10989e-05,nan,nan,3.52949
FAWCEN03_clean5b_1,-21.3214,6.17756e-05,nan,nan,3.74879
FAWCEN03_SL_1,-20.2919,4.39848e-05,nan,nan,3.5379
EZOFEF_clean_225,-34.8671,0.00164581,-31.6175,-18.6175,43.7643
FAWCEN_SL_1,-21.4984,5.7095e-05,nan,nan,3.81529
FAZRAA_charged_2,-33.2272,0.00115202,-34.0676,-29.6676,1.82997
FAZRAA_clean_2,-33.2272,0.00115202,-34.0676,-29.6676,1.66238
FAVKAP_clean_40,-20.1408,2.41599e-05,-21.9827,-14.5827,8.63046
EZOFOP_clean_204,-33.1102,0.00110951,-34.5645,3.33554,46.719
FARFUA_clean_2,-20.9789,3.30319e-05,-25.0404,-17.2404,18.066
FAZZEM_clean_2,-20.7273,9.81867e-06,-22.9078,-18.8078,2.48007
FAQGIP_clean_167,-28.6062,0.000245842,-28.5154,-20.7154,20.6002
FECWOB01_clean_2,-25.9277,3.92061e-06,nan,nan,0.185687
FECWOB_15,-25.2879,2.0847e-06,nan,nan,0.323922
FAZPED_clean_2,-25.2881,8.73026e-05,-26.612,-21.212,5.53294
FEBPUY_clean_61,-28.7539,0.000314173,-28.8931,-27.2931,3.69454
FECCIZ_clean_18,-47.2541,0.0935838,-47.5482,-9.14824,3.30999
FECYIX_clean_76,-9.53707,3.87504e-09,-10.1682,-6.86818,0.282464
FARFOU_clean_2,-20.3248,2.89799e-05,-25.3957,-18.6957,22.4983
FARFIO_clean_2,-19.8637,2.54347e-05,-24.6746,-16.7746,22.8772
FANWOI_9,-27.8385,8.93692e-05,-31.6143,-14.9143,27.2199
FECFAV_clean_1,-25.7202,1.28171e-05,-26.8605,-18.6605,5.05334
FECFAV_clean_1,-25.7202,1.28171e-05,-27.044,-18.744,5.05334
FEDKAB_clean_118,-42.2955,0.00249558,nan,nan,0.170584
FEDBEX_clean_2,-22.3944,2.73409e-05,-24.3622,-19.4622,1.00662
FEDJUU_charged_93,-18.0464,1.08634e-07,-20.5674,-8.26739,2.13297
FARHOX_ion_b_1,-32.4552,0.000438314,-35.7972,-14.8972,24.2825
FARHOX_ion_b_1,-32.4552,0.000438314,-35.7868,-14.8868,24.2825
FAYKOH_clean_1,-25.186,0.000272681,-28.1461,-19.8461,15.0517
FECKAA_clean_1,-36.8337,0.00111215,-38.9819,-12.6819,9.12694
FEFVES_clean_9,-38.5096,0.0040115,nan,nan,0.482068
FAVDIS_clean_13,-31.5734,0.000124107,-33.3062,-22.7062,21.9107
