Structures,CPU_time (s)
AMUFIZ_clean_2,3.57122
AMIZIG_clean_62,5.97968
AHEBAS_clean_5,13.9726
AJUNOK_clean_54,12.695
AHINIP_clean_4,14.1568
ANAWOD_clean_52,5.27792
AMUFOF_clean_2,5.82912
APEBED_clean_19,2.70189
acscombsci.5b00188_5020072_clean_1,20.2946
AQALIO_clean_62,1.14882
AQALOU_clean_62,1.22156
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,20.4869
ANENEN_clean_2,5.93232
AFOVAT_clean_1,17.7346
AHOZAA_clean_60,15.3676
APACAX_clean_122,4.73601
AFOVEX_clean_1,18.3591
AMUFAR_clean_2,8.29453
AQEQES_clean_15,1.1928
ADODII_clean_1,20.1039
AFOTUL_clean_1,18.4515
AFOVOH_clean_1,18.4162
AFOVIB_clean_1,18.4742
AFOTOF_clean_1,18.5905
APETAS_clean_13,3.0087
AQETUM_clean_14,1.37719
AKUKUO_clean_2,14.9588
ADODUU_clean_1,20.4476
AQETIA_clean_14,1.86009
ADODOO_clean_1,20.8378
AMIXEA_clean_1,9.87443
AJAKON_clean_14,16.875
APAZOI_clean_15,5.45677
AQMAND_clean_2,1.28448
AMOYOR_clean_2,9.77167
AQOTIK_clean_123,1.16538
AQMAND01_clean_2,1.49041
AQEQIW_clean_14,2.67634
ANOMUM_clean_2,7.83483
ACOLOV_clean_14,23.8619
APARAM_clean_147,7.52175
ARAFOP_clean_24,1.47503
ARAHIM02_clean_140,0.633903
ARAHIM01_clean_87,0.938404
ac403674p_si_001_clean_4,24.8798
ARAHIM_clean_87,0.864136
ANONAT_manual_2,9.24628
AQUDAT_clean_15,2.69204
AQUDEX_clean_15,2.72445
AQOLOJ_clean_221,3.68282
AQOMAW_clean_221,3.72783
ARAFIJ_clean_24,2.55538
ALURIJ_clean_18,14.945
AQUDOH_clean_15,2.72054
ALULID_clean_2,15.4155
APAYUN_clean_15,8.76807
ALURAB_clean_18,15.3431
ALUREF_clean_18,15.3376
ARAGOR_clean_15,2.69449
APAYOH_clean_15,9.22681
AQIXUU_clean_2,5.04722
AMUPOP_clean_15,12.0151
ARAFEF_clean_24,3.39406
AQODOA_clean_14,4.68989
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,26.2317
AQEFUY_clean_15,6.34676
ANUGUM_clean_2,10.362
ARUYUH01_clean_56,0.857915
AQIQIC_clean_15,5.49079
am301365h_si_002_clean_160,15.9715
APAYIB_clean_15,10.0272
ARUYUH_clean_56,1.27861
AKOXIJ_clean_12,20.0157
AJOVEB_clean_2,20.3495
ANUGOG_clean_15,11.0256
APEBEE_clean_2,9.74942
ASALAH_clean_19,1.39243
AFITIT_clean_5,24.6929
ARUYOB_clean_14,2.01473
ARADEE_clean_15,4.777
ASALIP_clean_19,1.63331
ALUJEX_clean_2,19.7292
ASEJOZ01_clean_15,1.73266
AQAJEI_clean_60,9.02669
ASOHUL_clean_62,1.28965
ACOLUB_clean_2,28.1739
ASEKAM_clean_15,2.04041
AMOFAK_clean_19,15.8003
AQOLEZ_clean_123,7.43537
AHIYOH_clean_61,24.0892
ARIBOS_clean_14,4.74919
ASIRUR_clean_14,2.39972
ASEJOZ_clean_15,2.87864
ASACON_clean_52,3.73276
ANIDIL_clean_15,14.4673
ARUYES_clean_14,4.35038
APEBUU_clean_15,12.1606
APAZIC_clean_15,13.1819
AMEJOS_charged_2,18.9959
APAZAU_clean_15,13.4393
ANENIR_clean_1,16.0903
APAZEY_clean_15,13.6687
AFUKAP_clean_2,27.5183
ANOMOG_clean_12,15.7139
ATAFIK_clean_106,2.96556
ARUYES_14,5.89618
ATIBIO_clean_14,2.00603
ASALOV_clean_9,5.15484
AQIQAU_clean_15,10.7329
ASUKEE01_clean_70,4.00328
AQUCOF_clean_7,9.67458
ATIBAG_clean_14,2.58417
ASUKEE_clean_70,4.18193
ARINUL_clean_117,7.49399
ATIBOU01_clean_14,2.67604
