Structures,CPU_time (s)
AMUCOB_clean_2,2.07123
AMUFIZ_clean_2,1.9978
ACOGAB_clean_2,8.35676
AKAYIV_clean_13,5.54274
ALEQIT_clean_2,4.98767
ACIBIY_clean_2,8.44546
ACOGEF_clean_2,8.51998
AFOYAW_clean_2,6.91468
ANAWOD_clean_52,2.00485
AJUNOK_clean_54,5.89898
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,8.89265
AMUFOF_clean_2,2.76682
AMIZIG_clean_62,3.35747
AQALIO_clean_62,0.651717
AQALOU_clean_62,0.716058
APEBED_clean_19,1.47943
APARAM_clean_147,1.81977
AQEQES_clean_15,0.648337
ACOLOV_clean_14,9.41126
am301365h_si_002_clean_160,4.77761
ANENEN_clean_2,2.67251
AHINIP_clean_4,7.19192
APETAS_clean_13,1.63934
AQETUM_clean_14,0.727932
AQETIA_clean_14,0.930796
AQMAND_clean_2,0.752147
AQMAND01_clean_2,0.816959
AQEQIW_clean_14,1.4355
APAZOI_clean_15,2.54809
AQOLOJ_clean_221,0.770488
AHEBAS_clean_5,7.86122
APACAX_clean_122,3.00086
AQOTIK_clean_123,0.629606
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,10.3619
ALULID_clean_2,6.10559
AQOMAW_clean_221,0.845164
ADODII_clean_1,9.72077
AKUKUO_clean_2,7.53623
AMUFAR_clean_2,4.62726
ALURAB_clean_18,6.2191
ANUGOG_clean_15,3.49989
AQEFUY_clean_15,2.35151
ALURIJ_clean_18,6.15193
ARAHIM02_clean_140,0.254579
AMUWUB_clean_2,4.4881
AMIXEA_clean_1,5.30625
ADODOO_clean_1,10.1011
ALUREF_clean_18,6.2848
ADODUU_clean_1,10.1534
ARAHIM01_clean_87,0.41014
AHOZAA_clean_60,8.45994
ANOMUM_clean_2,4.12636
ANUGUM_clean_2,3.8669
ARAHIM_clean_87,0.474367
ANONAT_manual_2,4.25833
ACOLUB_clean_2,11.2313
ARAFOP_clean_24,0.842616
AMOYOR_clean_2,5.47254
ARAFIJ_clean_24,0.991783
ARAFEF_clean_24,1.11311
ARUYUH01_clean_56,0.500854
AQODOA_clean_14,2.23254
AQUDAT_clean_15,1.52774
AQIQIC_clean_15,2.68631
