Structures,CPU_time (s)
ABAYOU_clean_225,0.94514
ABAYIO_clean_225,0.953301
ABEMIF_clean_221,0.95649
ABULOB_clean_60,1.42568
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,1.45276
ABETAE_clean_36,1.55196
ABESUX_clean_36,1.61731
ADABAK_15,1.635
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,1.80012
ACUBAB_clean_15,1.98835
ADIQEL_clean_14,2.02626
ADAXEK_clean_12,2.0812
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,2.1577
ABAVOP_clean_14,2.38375
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,2.52145
ADABAK01_clean_2,2.58315
ADEGIA_clean_2,2.61387
ADOGEH_clean_225,1.18532
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,2.88743
ACUTOI_clean_60,2.87832
ABEXEN_clean_192,2.96136
AFEKAX_clean_123,0.882558
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,3.14723
ADEGIA01_clean_2,3.11895
ABEFUL_clean_124,3.17529
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,3.25036
ACALIB_clean_14,3.43389
ACAKUM_clean_14,3.64027
ABIXOZ_clean_2,3.6903
ABIYIV_56,3.7137
ACAKUM_14,3.71402
ADABIS_clean_2,3.71986
ABEYEN_clean_33,3.84015
ABIYIV_clean_56,3.84028
ABEYIR_33,3.86538
ABEXIQ_clean_33,3.87295
ABEXOW_clean_33,3.88676
ABEYIR_clean_33,3.90076
ABEYAJ_clean_33,3.93444
ABEXUC_clean_33,3.93531
ACECIV_ion_b_14,3.96644
ABEXEM_clean_33,4.03795
ADUWIH_clean_201,2.24825
ADAXIO_clean_15,4.05345
ACAJOF_clean_56,4.12639
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,4.25643
ADATOQ_clean_199,4.28754
ABUWOJ_clean_61,4.33124
ADAVIM_clean_199,4.3408
ADOBIF_clean_118,4.37296
ADOBAX_118,4.41344
ADOBEB_charged_118,4.42368
ADAVEI_clean_199,4.47813
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,4.51813
ADABUE_clean_2,4.52457
ADOBOL_charged_118,4.5253
ADATUW_clean_199,4.52978
ADOBAX_charged_118,4.53246
ADOBOL_clean_118,4.55076
ADAVAE_clean_199,4.55126
acs.cgd.5b01686_WAHFUJ1434675_clean_14,4.72315
ACAJIZ_clean_15,4.89963
AGESIP_clean_14,1.02296
AHOJUC_clean_13,0.446957
AHOKAJ_clean_13,0.461033
ACODED_60,5.06031
acscombsci.5b00188_5036495_clean_1,5.09427
AHOKIR_clean_12,0.531619
