# Adsorption data for C2H6-desorption in RPM3-Zn
# pressure  quantity 
0.0772909252835 0.0795681355556
0.098075643865 0.107530393261
0.124759856533 0.126365835872
0.155585834282 0.140587917345
0.199392740544 0.17770637461
0.249273898387 0.205633370956
0.313946642548 0.288374149904
0.394152920389 1.13368883287
0.497213450331 2.20276622331
0.560003663056 2.39483484591
0.626078867692 2.52752333991
0.698213010618 2.66477230302
0.786427540126 2.7974784277
0.883603064605 2.91647963751
0.985427927129 3.03089687065
