# Adsorption data for C3H8-adsorption in RPM3-Zn
# pressure  quantity 
0.0010092969051 0.0256914287033
0.00131855013997 0.018756822762
0.00164636119482 0.0268504428986
0.0020726598236 0.0273958613434
0.00257733418905 0.0354797418649
0.00321814059768 0.0284380001576
0.0040681465742 0.0214254772956
0.005142561083 0.0371159971994
0.00650081988109 0.0376711552593
0.00825162855222 0.0458037338562
0.0103883238883 0.0387814713791
0.0150403739267 0.0547933985807
0.0184731576698 0.0704157411789
0.0226897362572 0.0709027219332
0.0276405210752 0.0713702234573
0.0338100541927 0.0794151455184
0.0420419416586 0.102634387884
0.0520639124567 0.118276209712
0.0631616249747 0.156572376231
0.0787991820884 1.10305843069
0.0999218801909 2.23877546665
0.127846110296 2.54963476135
0.15736912408 4.74475894908
0.197637065978 7.49237254218
0.249685220925 8.18158666414
0.31169813104 8.41671071193
0.392373219837 8.51563598236
0.55419929949 8.61483396202
0.697672264797 8.66078546599
0.856890347529 8.69911085136
0.985458632797 8.70700967919
