# Adsorption data for CH4 in RPM3-Zn
# pressure  quantity
0 0
0.1226241295047335 0.012166047782905445
0.15754514513434095 0.01732595998662054
0.196959073158986 0.03612026434594357
0.24992742210879126 0.05038348407079484
0.31168388766012195 0.050906527562970844
0.393549129342301 0.060591647507988684
0.4944569589716803 0.07026501366666373
0.5583748663084164 0.07511932742551365
0.6289902946716651 0.08453411028468759
0.7050261229170444 0.09850348535101291
0.7922199206883048 0.10791239131701426
0.8857981043326012 0.10817685150968796
0.9953447823826163 0.12215210346918469
