Structures,finished,Diffusion_coefficient,r2,Diffusion_coefficient_log
EVADEK_clean,0.0,1.3400105973300671e-08,0.8748221742082677,-7.872891767050287
cm503311x_alf450K_clean,1.0,6.284442696431878e-05,0.9674718193883326,-4.201733229449118
KUXLUL_clean,1.0,0.00012524071400209666,0.9984464085099372,-3.9022544651186264
PUDSIR_clean,0.0,1.365705054221176e-05,0.9697668539600803,-4.864643083344901
NUVWEH_clean,1.0,1.0875014331367453e-07,0.985074501149953,-6.963570162048755
IROVES_clean,1.0,6.243970193902015e-05,0.9870145137428523,-4.204539178744594
UPIBOM_clean,1.0,5.110825582459635e-05,0.9966883192874303,-4.291508939993276
LOFCUF_clean,0.0,1.0941780939285057e-09,-0.3933115362919435,-8.96091198429553
DUQRUD_clean,0.0,1.3486534604367188e-07,0.9875132791173882,-6.870099628944941
IBITUK_clean,1.0,1.1296168715112626e-12,-5.576512776726391,-11.947068829793047
GITWIQ_clean,1.0,1.2400831345797936e-06,0.9815825281289716,-5.906549198967599
GADRAH_clean,1.0,0.00019460842569612484,0.9854687153668572,-3.7108383606035473
HACDUN_clean,0.0,2.7662278159321076e-08,-1.7733047197076885,-7.558112055923033
UMOBEF08_clean,0.0,0.00012747695376587862,0.9497479397640873,-3.894568323127991
UFUMUD02_clean,1.0,3.84411043759546e-12,-15.824361091659895,-11.415204143961521
SADLOA_clean,1.0,6.815954585081879e-05,0.9872188483091807,-4.166473311949403
KUDMAY_clean,1.0,3.8466349923260344e-05,0.9861018791146775,-4.4149190219956145
CAHVAJ_clean,1.0,1.3689815859739326e-07,0.9718395771954894,-6.8636023934757215
VALVIQ_clean,1.0,3.794615572441057e-05,0.989497046982123,-4.42083221534801
RORRIB_clean,1.0,3.551036373272614e-05,0.9967513195847275,-4.449644879196362
FIJCUX_clean,1.0,2.7910099196210726e-05,0.9991497126310788,-4.554238619968181
REFTON_clean,1.0,2.4361174730393314e-05,0.998933282971641,-4.6133017732384
IYOTAT_clean,0.0,4.831280677417354e-06,0.973665185338275,-5.315937731068099
YEKXUJ_clean,0.0,4.7195177411621084e-05,0.9800759046748032,-4.32610237701265
CUNQOT_clean,1.0,0.00010254977715883747,0.9919921547263498,-3.9890652790186025
YOYQOU_clean,0.0,1.4493891040524345e-07,0.8948923973754083,-6.83881500786367
IZIHIK_clean,0.0,8.01206010051205e-06,0.996196158908921,-5.096255801612255
ODEZAB_clean,0.0,1.5070508652134828e-05,0.99032394158559,-4.821872089351766
BAKYIY_clean,1.0,3.585640809089041e-05,0.9989998467177167,-4.445433217965047
UJARAZ_clean,1.0,2.836197061208096e-05,0.983382060113044,-4.547263597317592
MAKGAJ_clean,1.0,3.077477798359288e-05,0.990217712254693,-4.511805071486761
ESUTIX_clean,0.0,3.5848166319106145e-05,0.988092091304781,-4.445533054162452
HEDCAW_clean,1.0,3.7324813222854925e-05,0.9541919359277654,-4.428002356851066
REYJEM_clean,1.0,3.139317864225852e-05,0.9981750513342138,-4.503164708610168
JUTCIM_clean,0.0,6.430284149473016e-06,0.98982002314062,-5.191769835501665
IPIFAP_clean,1.0,2.837368305171387e-05,0.999185557598608,-4.547084286861257
EBEWIT_clean,1.0,5.5562591275937894e-05,0.9932145108487519,-4.2552175082440264
PEJRAZ_clean,0.0,3.658747157362313e-06,0.977872977705704,-5.436667601980042
WURNOO_clean,0.0,5.7436702793061814e-05,0.961081466050937,-4.240810499125777
GALHOS_ion_b,0.0,1.5998624181470778e-07,0.9810395634589372,-6.795917363349473
BUWGEG_clean,1.0,3.0726151087682726e-05,0.9918698033960462,-4.512491838249006
GUHNUU_clean,0.0,6.289913097513984e-05,0.9711735428956216,-4.201355354798111
WIKYAQ_clean,0.0,4.11192426364641e-06,0.8456126195350713,-5.385954893084608
WAYMOA_manual,1.0,6.97889081761684e-05,0.9776852115118135,-4.1562135960110185
XANMUX04_clean,1.0,1.6740240830934617e-05,0.9901329016054232,-4.776238298386151
AFENEE_clean,1.0,1.1399150784107038e-10,-3.5381648887859694,-9.94312750160333
LIRVAK_charged,0.0,1.2135514813610448e-05,0.9936119671667213,-4.915941795272073
JEBCOJ_clean,1.0,4.087815773889682e-05,0.9902126198626499,-4.388508684836646
QITYOI_clean,1.0,2.9974231078645826e-06,0.9906219969624963,-5.5232519489325105
AVUDAX_clean,1.0,2.0339818968293668e-08,0.17477057591423184,-7.691652916773204
CAXTUS_clean,0.0,2.5751102544871624e-06,0.9931328385247347,-5.589204171713935
FEHCIG_manual,1.0,1.9165018026487614e-05,0.9841437532286369,-4.717490767914955
OCIZIL,1.0,4.1063152189652845e-08,0.8906486586666638,-7.3865477153154915
MOF-69c,1.0,2.3052734696924262e-05,0.9976849697244556,-4.6372775477868675
EHEKUY_clean,1.0,1.3118941739247835e-11,-10.79211376149644,-10.882101196617496
USOXIL_clean,0.0,1.2035695560394225e-05,0.9899805829694522,-4.919528806152382
DIBJIJ_clean,0.0,6.425330557948141e-13,-6.716035055975145,-12.192104524681497
WEMYEU_clean,0.0,8.86322785655366e-12,-16.43522119398117,-11.052408085675717
WAYMOA_clean,1.0,0.0001004214847073837,0.9992191628128114,-3.9981733619752413
CUPHUS_clean,0.0,3.474790762529462e-05,0.9563705165047616,-4.459071341696813
MUNPER_clean,1.0,1.3281093164448951e-05,0.9898540492209464,-4.876766176794135
QUQPIC_clean,1.0,1.380649270697623e-05,0.992467318642796,-4.859916632171615
QOCSEH_clean,1.0,2.227530940976788e-05,0.9736176685204622,-4.652176254787313
XUWSUD_clean,1.0,6.739699949138083e-07,0.982795976263164,-6.171359437787274
OFESAU_clean,1.0,3.2738813458007114e-05,0.9994299963278979,-4.484937064630187
BOPHIZ_clean,1.0,2.9488568701838222e-05,0.9952469331789466,-4.530346306457321
ALURIJ_clean,1.0,1.2996429591560169e-09,-0.13981776778461286,-8.88617594166681
QONLAI_clean,1.0,2.6832382565616257e-05,0.9902620856088092,-4.571340762692981
MUTVUT_clean,1.0,3.728638816832319e-07,0.998214040105484,-6.4284496835343035
TADWOM_clean,0.0,3.5715857911407875e-05,0.9448266555829551,-4.447138913460046
XILSUI_clean,1.0,7.158330846000772e-05,0.9846740567272114,-4.145188233122319
DARJOX_clean,1.0,6.697685257188789e-11,-5.2894852685713465,-10.174075265019177
PURTEC_charged,1.0,5.589486022980356e-06,0.9960088647875815,-5.2526281255028495
VUKJUI_clean,0.0,8.798546599689729e-10,-0.5185189584826586,-9.055589061470856
LAGCUT_clean,1.0,9.390668052209453e-06,0.9997001728480216,-5.027303510921539
ZOGBAA_clean,1.0,0.00012106623710504467,0.9986871693037686,-3.9169769558114713
ZAZBUZ_clean,1.0,5.858494420085228e-05,0.9997981882845223,-4.232213979384733
VIDJID_clean,1.0,6.471476005685659e-06,0.9954659439263597,-5.188996654722744
OYODEM,1.0,3.2240871882794474e-05,0.9964374480521688,-4.4915932221781585
cm503311x_alf475K_clean,1.0,7.555474593245577e-05,0.9932935162351315,-4.121738250483908
REFTUT_clean,1.0,3.068547007597535e-05,0.9910410953106432,-4.513067219297486
LALPOF_clean,1.0,4.0419670872931505e-11,-4.9632169088184135,-10.39340722715549
WENLEI_clean,1.0,2.44929607593529e-05,0.9990959716585242,-4.610958713293885
YUZSUH_clean,1.0,2.4847837614383053e-07,0.9940475100478837,-6.60471139980804
GEDSUF_clean,1.0,4.543867021295874e-06,0.9975587027470337,-5.342574386971878
cm503311x_alf425K_clean,1.0,5.758968484215395e-05,0.9676058932963764,-4.239655298127291
UMOYOM18_clean,0.0,9.882768323188244e-05,0.9720190728143863,-4.0051213854648235
XOJWOJ_clean,1.0,6.006820560351333e-06,0.9939142148424304,-5.2213553413859595
WUNTUV_clean,0.0,3.411908367190955e-12,-17.781917534765558,-11.467002641091185
BETGAK_clean,1.0,9.29811655940785e-05,0.9952843827052633,-4.031605013886384
MULQOA_clean,1.0,6.665792088018043e-05,0.9755116268535184,-4.17614823649527
CAZNEY_clean,1.0,3.710995879212097e-05,0.9965103948940216,-4.43050952790302
DIRPIF_clean,1.0,8.413185288108716e-06,0.9986483826961665,-5.0750395462778926
XUMNAW_clean,0.0,4.139383523458051e-06,0.9894376786803984,-5.383064333346741
ADAXEK_clean,1.0,9.842381779279607e-06,0.9921947983439082,-5.006899792988316
ATAYEB_clean,1.0,2.7088237418697948e-05,0.9997411151563625,-4.567219252782889
PUSSEC_clean,0.0,3.269320894346523e-06,0.949832529596079,-5.485542449929175
RAZYIC_clean,1.0,2.312431047689627e-05,0.9952081319408393,-4.635931208234061
LAZKUU_clean,1.0,9.115471288319853e-07,0.9948882355298229,-6.0402208725245865
FOKYEL_clean,1.0,8.688711410477953e-10,-5.29704742656288,-9.061044627327503
ZURROT_clean,1.0,5.22196242341252e-07,0.9914261594306374,-6.2821662576305215
IYOSUM_clean,1.0,4.37976360062711e-06,0.9923405934610101,-5.358549330069843
WUTBOC_clean,1.0,4.281648935198847e-05,0.995275902287955,-4.368388944644641
FUYCUZ_clean,0.0,3.845740027619995e-05,0.9921619836641384,-4.4150200774522395
SAJDIT_clean,0.0,2.3327436383202196e-05,0.9510328479787111,-4.632132986272879
PENXUC_clean,1.0,1.574185878154658e-05,0.9930440094176486,-4.802943987929511
FATVOM_clean,1.0,2.0397808621335345e-06,0.973931003371746,-5.690416487220265
KUJNOT_clean,0.0,4.4998968094075694e-05,0.9908771181262677,-4.346797445251038
SEHVOQ_clean,1.0,5.65861258923542e-06,0.9947886734943916,-5.247290038546859
WAJHOG_clean,1.0,2.1668447753303435e-05,0.9946991228924541,-4.664172198801108
NUDLAB_clean,0.0,1.7821792374654844e-05,0.9925955261089605,-4.749048620205024
RAVVIU_clean,1.0,1.7876521498020598e-11,-8.723316797124163,-10.747716984487784
TOXNEB_clean,1.0,6.972707237579423e-05,0.9770980748766614,-4.156598569094944
PAKFEP_clean,1.0,4.332690342231317e-05,0.9990203751890873,-4.363242348922202
ECOGEI_clean,0.0,6.908925325732322e-07,0.9827677525852868,-6.160589501309109
ETIXIQ_clean,0.0,2.1051239573608474e-06,0.9986416416517875,-5.676722326235531
ZEDHIB_clean,1.0,3.363339770680116e-11,-6.1572839096670515,-10.473229257253363
