MC_cycle,Potentiel_energy (kJ/mol)
244.0,-97950.86093122572
245.0,-97950.86093122572
246.0,-97946.94543582991
247.0,-97947.02989047402
248.0,-97947.55167421362
249.0,-97949.72630630752
250.0,-97950.183044408
251.0,-97945.9931161841
252.0,-97956.04860437014
253.0,-97960.31457080328
254.0,-97954.48263377219
255.0,-97951.02214093314
256.0,-97950.40227869876
257.0,-97953.25933283658
258.0,-97956.14069122486
259.0,-97956.14069122486
260.0,-97955.86555709691
261.0,-97956.96889651126
262.0,-97959.98453809584
263.0,-97961.00740671364
264.0,-97959.85385668495
265.0,-97959.70478757875
266.0,-97962.50180136776
267.0,-97958.14819915529
268.0,-97959.73189783788
269.0,-97955.90685380867
270.0,-97954.46202813191
271.0,-97955.60218571554
272.0,-97960.04462539928
273.0,-97960.04462539928
274.0,-97958.8570706512
275.0,-97958.8021312541
276.0,-97961.68268858804
277.0,-97962.0501029176
278.0,-97959.91062561826
279.0,-97958.83552782245
280.0,-97958.83552782245
281.0,-97960.06745321865
282.0,-97959.8120980662
283.0,-97958.41594947349
284.0,-97957.21071682368
285.0,-97966.6550391475
286.0,-97966.4868645291
287.0,-97966.4868645291
288.0,-97966.95484273613
289.0,-97962.71127431492
290.0,-97957.15067895835
291.0,-97961.18958069774
292.0,-97957.79377060762
293.0,-97960.66489748372
294.0,-97960.66489748372
295.0,-97968.16819552537
296.0,-97966.13057776481
297.0,-97964.05726710771
298.0,-97964.41006772875
299.0,-97957.10584146177
300.0,-97959.59421585123
301.0,-97957.07284415922
302.0,-97955.8177284898
303.0,-97954.17345716564
304.0,-97953.5429370294
305.0,-97955.93538000295
306.0,-97955.93538000295
307.0,-97943.69334116767
308.0,-97947.37473814399
309.0,-97946.04705567012
310.0,-97948.23085486799
311.0,-97951.82699452047
312.0,-97952.08592814674
313.0,-97952.07840205377
314.0,-97963.67430375674
315.0,-97963.96890430569
316.0,-97965.43817954663
317.0,-97965.50841970538
318.0,-97967.24016394948
319.0,-97967.24016394948
320.0,-97966.72064602176
321.0,-97965.37783776317
322.0,-97965.37783776317
323.0,-97965.02422604273
324.0,-97968.85445927565
325.0,-97967.47187654403
326.0,-97973.53378430758
327.0,-97976.2777067327
328.0,-97972.50133987283
329.0,-97973.47868717714
330.0,-97974.0465955128
331.0,-97974.75653637384
332.0,-97977.92273812623
333.0,-97974.04058991953
334.0,-97962.57869653616
335.0,-97958.92354935421
336.0,-97964.02590311985
337.0,-97964.63581127167
338.0,-97962.32009648548
339.0,-97968.79069523959
340.0,-97970.4779904528
341.0,-97972.13621635066
342.0,-97968.14098329091
343.0,-97967.03195461186
344.0,-97977.26209275197
345.0,-97976.89538132622
346.0,-97978.75570595704
347.0,-97976.12728934275
348.0,-97975.30694390784
349.0,-97975.95009107319
350.0,-97976.34519096352
351.0,-97976.34519096352
352.0,-97977.54766575659
353.0,-97982.82315333476
354.0,-97977.44012831271
355.0,-97977.44012831271
356.0,-97974.82822805048
357.0,-97974.9947010723
358.0,-97972.70903810432
359.0,-97966.12735431663
360.0,-97966.12735431663
361.0,-97968.26084413035
362.0,-97962.75098822023
363.0,-97965.78515760758
364.0,-97966.2731431329
365.0,-97966.60309026304
366.0,-97965.9807237429
367.0,-97972.55361826839
368.0,-97972.41587011669
369.0,-97972.41997284583
370.0,-97975.5919012384
371.0,-97970.76972258496
372.0,-97973.7598015345
373.0,-97969.69341518947
374.0,-97970.94239418945
375.0,-97973.62901395807
376.0,-97976.30939633987
377.0,-97978.6042208664
378.0,-97979.4872196017
379.0,-97972.4613743323
380.0,-97972.90024640366
381.0,-97973.57064962709
382.0,-97979.96700822348
383.0,-97979.96700822348
384.0,-97979.20347491876
385.0,-97980.549563797
386.0,-97981.02403463837
387.0,-97975.4703073392
388.0,-97973.95688865465
389.0,-97974.22682316005
390.0,-97975.68895020538
391.0,-97979.07895242693
392.0,-97979.07895242693
393.0,-97977.5861881947
394.0,-97973.31779674142
395.0,-97972.86007853765
396.0,-97975.48927009081
397.0,-97973.45336028848
398.0,-97972.17693987423
399.0,-97969.52537088134
400.0,-97968.33694897893
401.0,-97971.90557070199
402.0,-97968.42209989847
403.0,-97969.96944079957
404.0,-97969.80712966413
405.0,-97975.38914059679
406.0,-97975.24145050405
407.0,-97975.24145050405
408.0,-97971.78331463614
409.0,-97971.82687746272
410.0,-97971.05246523114
411.0,-97978.42083741417
412.0,-97976.94286434665
413.0,-97972.56921747657
414.0,-97972.56921747657
415.0,-97960.33157216772
416.0,-97966.82358048632
417.0,-97966.82358048632
418.0,-97973.08306295078
419.0,-97967.1823926442
420.0,-97968.58565004996
421.0,-97963.87757681971
422.0,-97963.87757681971
423.0,-97963.48043867465
424.0,-97963.16146830196
425.0,-97966.77119442621
426.0,-97963.93195583968
427.0,-97954.14107743278
428.0,-97959.8103137118
429.0,-97959.1756132849
430.0,-97957.97996979697
431.0,-97958.17270043648
432.0,-97955.7885158391
433.0,-97954.72335089439
434.0,-97956.9360427064
435.0,-97953.30374435669
436.0,-97953.25046328023
437.0,-97953.24048425593
438.0,-97952.01108188489
439.0,-97956.28052903592
440.0,-97958.20763264739
441.0,-97966.09589223652
442.0,-97969.63787427156
443.0,-97969.63787427156
444.0,-97968.98833070562
445.0,-97969.7113034707
446.0,-97969.7113034707
447.0,-97970.99850680439
448.0,-97969.83135110451
449.0,-97961.0036872501
450.0,-97962.56031497694
451.0,-97960.51452232702
452.0,-97953.07231915853
453.0,-97952.00398813687
454.0,-97960.29206317416
455.0,-97958.8053709044
456.0,-97958.60240043556
457.0,-97957.62832576664
458.0,-97955.72909036432
459.0,-97957.23946433853
460.0,-97960.66569737662
461.0,-97958.52577146028
462.0,-97957.45689056352
463.0,-97957.63224828738
464.0,-97954.59594519809
465.0,-97954.59594519809
466.0,-97954.25935242018
467.0,-97957.26726222159
468.0,-97954.03962955714
469.0,-97948.9724429911
470.0,-97945.072907597
471.0,-97938.44582167036
472.0,-97948.23929835946
473.0,-97955.8646984117
474.0,-97955.69582073293
475.0,-97952.9298498511
476.0,-97965.32087506264
477.0,-97965.38597767624
478.0,-97965.38597767624
479.0,-97963.17228272188
480.0,-97965.26355068588
481.0,-97968.75231064728
482.0,-97963.43353502755
483.0,-97965.56921773261
484.0,-97963.89122422824
485.0,-97968.7589187636
486.0,-97967.96565000236
487.0,-97965.28647197009
488.0,-97970.64982558905
489.0,-97970.48670553246
490.0,-97973.50951352307
491.0,-97973.97567234917
492.0,-97973.97567234917
493.0,-97973.97567234917
494.0,-97975.13914692003
495.0,-97975.5061495417
496.0,-97973.23268194986
497.0,-97974.85618746359
498.0,-97973.10992189121
499.0,-97969.02751460437
500.0,-97959.14509452284
501.0,-97971.33664462152
502.0,-97970.12585728342
503.0,-97970.17160417842
504.0,-97969.49738557474
505.0,-97950.8261906182
506.0,-97960.8395409283
507.0,-97967.24862627406
508.0,-97967.81329340395
509.0,-97973.93393232288
510.0,-97972.34850969416
511.0,-97969.89497445253
512.0,-97971.11842278611
513.0,-97972.39963996687
514.0,-97972.39963996687
515.0,-97968.72478647984
516.0,-97967.38316574135
517.0,-97968.29131294397
518.0,-97969.57238598801
519.0,-97966.97918018032
520.0,-97969.8794635008
521.0,-97972.23946191069
522.0,-97971.84523417526
523.0,-97971.33264627312
524.0,-97975.68856370018
525.0,-97976.00559543338
526.0,-97978.53286517032
527.0,-97975.951813397
528.0,-97973.12180384941
529.0,-97973.12180384941
530.0,-97971.79645369247
531.0,-97970.61171139486
532.0,-97970.61171139486
533.0,-97969.28752509893
534.0,-97971.09147922356
535.0,-97970.90354341982
536.0,-97971.07944330439
537.0,-97975.66924901788
538.0,-97967.12832076586
539.0,-97964.53438395522
540.0,-97967.91599916974
541.0,-97962.03588013203
542.0,-97960.9440322893
543.0,-97960.04802906481
544.0,-97959.32187273234
545.0,-97958.13317842706
546.0,-97961.80073562599
547.0,-97963.91750520605
548.0,-97956.7235107478
549.0,-97957.99176184733
550.0,-97957.99176184733
551.0,-97960.89176524611
552.0,-97953.69196671165
553.0,-97953.69196671165
554.0,-97960.32961858012
555.0,-97962.82899755957
556.0,-97969.91395243429
557.0,-97969.16631400018
558.0,-97968.81381230343
559.0,-97958.78840819157
560.0,-97958.74373186173
561.0,-97958.23706676353
562.0,-97960.44407101104
563.0,-97957.5878220793
564.0,-97956.28196967373
565.0,-97960.61869002623
566.0,-97960.61869002623
567.0,-97961.68625406515
568.0,-97963.94919041284
569.0,-97963.62860402394
570.0,-97968.53777972871
571.0,-97960.80249512623
572.0,-97958.64222905267
573.0,-97958.52887383009
574.0,-97952.80916761684
575.0,-97953.95457301853
576.0,-97955.78241224083
577.0,-97952.1947901775
578.0,-97956.53274290232
579.0,-97956.53390313259
580.0,-97972.27526750827
581.0,-97972.54436098412
582.0,-97970.13632686177
583.0,-97966.53203072136
584.0,-97966.29187729936
585.0,-97964.89799541894
586.0,-97963.84643129945
587.0,-97963.84643129945
588.0,-97960.5690272682
589.0,-97961.341367172
590.0,-97951.95999571505
591.0,-97956.14602384018
592.0,-97956.88588382541
593.0,-97958.71097557306
594.0,-97959.90375231809
595.0,-97959.07496571665
596.0,-97956.60918782436
597.0,-97967.25304229723
598.0,-97966.4773008304
599.0,-97972.2547788287
600.0,-97961.88076736202
601.0,-97952.56931295927
602.0,-97958.52986455284
603.0,-97960.9196710396
604.0,-97960.8029630248
605.0,-97960.8029630248
606.0,-97951.99434327544
607.0,-97959.93427553585
608.0,-97961.45969396952
609.0,-97965.70507591721
610.0,-97965.66534931218
611.0,-97960.26930117651
612.0,-97961.4102073104
613.0,-97950.63028744255
614.0,-97950.23703548097
615.0,-97949.14053738865
616.0,-97949.14053738865
617.0,-97949.76915741536
618.0,-97950.33298000427
619.0,-97951.49835544493
620.0,-97938.20081373064
621.0,-97952.43103576949
622.0,-97952.31210745606
623.0,-97950.3814377621
624.0,-97951.35345098103
625.0,-97950.77296386326
626.0,-97955.60862061863
627.0,-97955.59653210705
628.0,-97954.8234737381
629.0,-97959.36571140164
630.0,-97960.31114200823
631.0,-97960.5288561711
632.0,-97960.64823316383
633.0,-97952.09651118088
634.0,-97947.27822396369
635.0,-97945.49712022024
636.0,-97959.1605674487
637.0,-97962.09520531421
638.0,-97967.00843965884
639.0,-97965.42145980791
640.0,-97959.87380139821
641.0,-97959.87380139821
642.0,-97959.6583740448
643.0,-97967.58261309455
644.0,-97963.49321028074
645.0,-97967.45010120723
646.0,-97960.11226334448
647.0,-97957.0997894296
648.0,-97961.09177625061
649.0,-97959.13584504672
650.0,-97959.13584504672
651.0,-97958.96187174752
652.0,-97961.18468636333
653.0,-97956.22939536216
654.0,-97957.20491633247
655.0,-97954.7585394796
656.0,-97952.58552679823
657.0,-97957.26760754026
658.0,-97953.44664405873
659.0,-97954.48262890508
660.0,-97954.11747842925
661.0,-97954.66200516827
662.0,-97950.05642926387
663.0,-97953.08829835126
664.0,-97952.07661609659
665.0,-97952.26799760389
666.0,-97958.43539815607
667.0,-97962.05538116676
668.0,-97962.77701778666
669.0,-97967.1819996462
670.0,-97966.8242158716
671.0,-97965.7564207488
672.0,-97969.67265004484
673.0,-97978.92630569174
674.0,-97965.78889932124
675.0,-97970.58122139648
676.0,-97982.56719905473
677.0,-97982.17843874946
678.0,-97981.1922425467
679.0,-97976.49104391383
680.0,-97970.63693112314
681.0,-97979.07811301017
682.0,-97976.44601532228
683.0,-97962.42002273568
684.0,-97961.38242941782
685.0,-97966.8074788901
686.0,-97968.59027285509
687.0,-97969.80171102982
688.0,-97969.66094714378
689.0,-97968.6206397689
690.0,-97971.69359131108
691.0,-97972.51122909489
692.0,-97972.51122909489
693.0,-97971.43381982586
694.0,-97971.0981665521
695.0,-97968.36358273333
696.0,-97964.65586342644
697.0,-97968.39743237615
698.0,-97968.65915901448
699.0,-97968.65915901448
700.0,-97968.65915901448
701.0,-97962.72725531808
702.0,-97962.13191510079
703.0,-97964.44815555804
704.0,-97967.78828382873
705.0,-97967.78828382873
706.0,-97970.39225329051
707.0,-97972.65673191896
708.0,-97981.64788726911
709.0,-97984.50822102156
710.0,-97983.35363691088
711.0,-97983.34883926164
712.0,-97983.34883926164
713.0,-97976.62162147391
714.0,-97977.3838860771
715.0,-97977.40239369635
716.0,-97977.70456162597
717.0,-97977.70456162597
718.0,-97979.44392082124
719.0,-97982.07337214216
720.0,-97979.69405521124
721.0,-97975.34944478846
722.0,-97975.69593460456
723.0,-97972.89336090989
724.0,-97971.60728343115
725.0,-97970.25668102165
726.0,-97966.8891778499
727.0,-97965.36384890648
728.0,-97966.93235549497
729.0,-97969.25934823335
730.0,-97964.69775728205
731.0,-97958.19555151464
732.0,-97963.32720372935
733.0,-97963.32720372935
734.0,-97963.32720372935
735.0,-97967.92846811182
736.0,-97967.30979921292
737.0,-97967.14352414398
738.0,-97965.0152950981
739.0,-97965.30033807321
740.0,-97961.73732170028
741.0,-97963.02073314779
742.0,-97963.02073314779
743.0,-97969.49919496095
744.0,-97967.4186508435
745.0,-97975.7499859136
746.0,-97971.39454780487
747.0,-97971.39454780487
748.0,-97974.99643199501
749.0,-97975.1641214069
750.0,-97973.32038377321
751.0,-97965.12365901918
752.0,-97964.8764283863
753.0,-97964.8764283863
754.0,-97969.31273752482
755.0,-97974.44603331166
756.0,-97969.10822984888
757.0,-97969.10822984888
758.0,-97964.65692474983
759.0,-97968.12725135918
760.0,-97968.16693684978
761.0,-97968.73591319754
762.0,-97973.06963511473
763.0,-97973.06963511473
764.0,-97973.90018592124
765.0,-97973.90018592124
766.0,-97973.1327880456
767.0,-97970.2476000519
768.0,-97960.93802471035
769.0,-97958.7024376301
770.0,-97957.94681077471
771.0,-97959.8583290824
772.0,-97961.86398342469
773.0,-97961.94359736673
774.0,-97967.00038106009
775.0,-97965.34847779862
776.0,-97961.3216447708
777.0,-97964.47580954737
778.0,-97960.2554361615
779.0,-97959.75893341513
780.0,-97962.95391916964
781.0,-97963.93350259532
782.0,-97964.3211147474
783.0,-97976.71075118516
784.0,-97976.20206542159
785.0,-97976.71520112109
786.0,-97979.4386836332
787.0,-97979.0230094611
788.0,-97979.71286231634
789.0,-97979.29465370614
790.0,-97973.31958131294
791.0,-97973.0819672405
792.0,-97972.47063181247
793.0,-97972.47063181247
794.0,-97973.13801507378
795.0,-97966.09727348966
796.0,-97966.74938136162
797.0,-97966.74938136162
798.0,-97966.5267188186
799.0,-97971.01217482057
800.0,-97972.38836627625
801.0,-97969.47201314975
802.0,-97967.44048398182
803.0,-97968.63164384969
804.0,-97968.87343029234
805.0,-97964.806860037
806.0,-97963.38537863163
807.0,-97959.31618829953
808.0,-97959.56184659866
809.0,-97959.13299146327
810.0,-97960.02303060198
811.0,-97958.32106433985
812.0,-97954.71319992469
813.0,-97954.71319992469
814.0,-97954.71319992469
815.0,-97956.59350835187
816.0,-97960.63850438275
817.0,-97960.20434059139
818.0,-97962.48592901883
819.0,-97961.90832446258
820.0,-97961.2401224407
821.0,-97955.55161399352
822.0,-97954.87310191698
823.0,-97968.08140589405
824.0,-97969.43810875367
825.0,-97958.70275945545
826.0,-97950.43131381799
827.0,-97943.23164841415
828.0,-97947.70879676536
829.0,-97955.33607013822
830.0,-97958.47917448056
831.0,-97957.39242710285
832.0,-97953.73479224462
833.0,-97961.69144576066
834.0,-97961.69144576066
835.0,-97961.4345869504
836.0,-97964.3739428823
837.0,-97967.5743540103
838.0,-97972.20500780377
839.0,-97973.4866300689
840.0,-97968.91003434955
841.0,-97967.83546499566
842.0,-97962.96571159037
843.0,-97966.57329440495
844.0,-97968.24293936945
845.0,-97968.013709365
846.0,-97968.90350895248
847.0,-97970.01329010334
848.0,-97967.36402396121
849.0,-97974.19972542621
850.0,-97965.31268939094
851.0,-97967.5732320278
852.0,-97966.20036508233
853.0,-97966.697627334
854.0,-97963.42758484847
855.0,-97960.33660944032
856.0,-97959.69553295121
857.0,-97962.77052932052
858.0,-97959.78017677588
859.0,-97959.89582624407
860.0,-97960.43077784184
861.0,-97960.43077784184
862.0,-97960.61228099042
863.0,-97965.84674716303
864.0,-97958.9332164117
865.0,-97961.79506343242
866.0,-97961.9778784647
867.0,-97961.9778784647
868.0,-97963.392943165
869.0,-97965.1395629079
870.0,-97968.15855881477
871.0,-97956.29086031545
872.0,-97962.49774088188
873.0,-97963.56415499958
874.0,-97968.43184365668
875.0,-97963.99961846124
876.0,-97963.99961846124
877.0,-97969.58324321933
878.0,-97969.99979024306
879.0,-97968.80773013415
880.0,-97966.18583824033
881.0,-97968.83436081043
882.0,-97976.83352638996
883.0,-97973.75813771789
884.0,-97975.48594218731
885.0,-97977.41874826385
886.0,-97975.40405959649
887.0,-97973.05631865743
888.0,-97972.50403885219
889.0,-97976.11391003442
890.0,-97956.90426562395
891.0,-97952.9845965428
892.0,-97965.28615008807
893.0,-97965.03175258962
894.0,-97963.45542417145
895.0,-97962.81398957354
896.0,-97958.96421700496
897.0,-97960.7260486337
898.0,-97961.55672348595
899.0,-97963.86845838059
900.0,-97962.5407933497
901.0,-97965.86864490656
902.0,-97966.26852809374
903.0,-97967.20776132343
904.0,-97973.4060481138
905.0,-97972.22807799341
906.0,-97968.90936544436
907.0,-97972.5302375597
908.0,-97972.27967482198
909.0,-97972.27967482198
910.0,-97972.21191625972
911.0,-97969.73274691096
912.0,-97969.73274691096
913.0,-97971.82953611226
914.0,-97971.82953611226
915.0,-97971.75413577196
916.0,-97970.22852861762
917.0,-97964.02330162248
918.0,-97966.91213293576
919.0,-97960.96559992802
920.0,-97964.63767142649
921.0,-97964.82134937297
922.0,-97964.81638889786
923.0,-97962.58324728566
924.0,-97968.55327756068
925.0,-97968.55327756068
926.0,-97967.76802448825
927.0,-97968.9872552881
928.0,-97969.51300081896
929.0,-97973.50624379053
930.0,-97973.77818414311
931.0,-97974.9791339099
932.0,-97976.37355604886
933.0,-97975.21040540488
934.0,-97973.22834716263
935.0,-97971.55563446195
936.0,-97974.00874040247
937.0,-97974.2470819425
938.0,-97971.78971964461
939.0,-97967.87050566157
940.0,-97967.87050566157
941.0,-97968.00718942237
942.0,-97967.30491060003
943.0,-97969.76120992747
944.0,-97969.58450906607
945.0,-97969.11405758234
946.0,-97974.7567010658
947.0,-97969.81992241378
948.0,-97972.34514504515
949.0,-97971.70044093505
950.0,-97972.71735870317
951.0,-97972.16970798088
952.0,-97971.9428204998
953.0,-97968.57774694164
954.0,-97970.38429583625
955.0,-97960.58796523121
956.0,-97951.93860370452
957.0,-97952.67377968275
958.0,-97955.61405399129
959.0,-97954.03163281592
960.0,-97954.03163281592
961.0,-97955.76725803479
962.0,-97949.94062509743
963.0,-97948.63507190776
964.0,-97947.15081503754
965.0,-97948.56727390629
966.0,-97941.66821296288
967.0,-97944.76862977106
968.0,-97944.7554048896
969.0,-97949.06965740483
970.0,-97977.14562925915
971.0,-97976.23643249982
972.0,-97977.0923001327
973.0,-97974.10730264166
974.0,-97974.36707656643
975.0,-97971.85115672657
976.0,-97971.85115672657
977.0,-97969.2372215523
978.0,-97967.88696438244
979.0,-97967.17885591928
980.0,-97967.17885591928
981.0,-97967.99912621907
982.0,-97968.98823074903
983.0,-97963.00742243325
984.0,-97962.69492506066
985.0,-97965.57094276293
986.0,-97965.57094276293
987.0,-97965.58824538067
988.0,-97966.11519851966
989.0,-97960.33148415333
990.0,-97952.62126262426
991.0,-97956.79665978492
992.0,-97956.77469889047
993.0,-97956.7929255937
994.0,-97957.36412990521
995.0,-97956.36408464564
996.0,-97954.07834142487
997.0,-97947.68637322969
998.0,-97954.50267273
999.0,-97952.60658656798
1000.0,-97949.30822220186
1001.0,-97955.76878034814
1002.0,-97957.66797857238
1003.0,-97956.46637054844
1004.0,-97962.07329583423
1005.0,-97961.81434569911
1006.0,-97960.00889977247
1007.0,-97970.0176734016
1008.0,-97974.06889820046
1009.0,-97974.96334987305
1010.0,-97974.96334987305
1011.0,-97974.96334987305
1012.0,-97975.27760596512
1013.0,-97974.53541850115
1014.0,-97974.42497445372
1015.0,-97974.58902356494
1016.0,-97975.95260317743
1017.0,-97973.50034308272
1018.0,-97976.44230588933
1019.0,-97976.51536648009
1020.0,-97977.97448527245
1021.0,-97977.97448527245
1022.0,-97977.97448527245
1023.0,-97973.54023883451
1024.0,-97969.24006096256
1025.0,-97969.24006096256
1026.0,-97973.71173095467
1027.0,-97973.98764611922
1028.0,-97977.35035466241
1029.0,-97977.38272606263
1030.0,-97979.02570346405
1031.0,-97975.4542183447
1032.0,-97975.84002404838
1033.0,-97977.02535655239
1034.0,-97976.52541029686
1035.0,-97977.29184962866
1036.0,-97977.29184962866
1037.0,-97977.29184962866
1038.0,-97978.49759551113
1039.0,-97975.09187350924
1040.0,-97975.65462410654
1041.0,-97970.88409440775
1042.0,-97965.31875306064
1043.0,-97968.9317161159
1044.0,-97970.77509276338
1045.0,-97970.46298763195
1046.0,-97970.23951565746
1047.0,-97964.83898616479
1048.0,-97963.5573539544
1049.0,-97957.79958057044
1050.0,-97961.33204300462
1051.0,-97961.33204300462
1052.0,-97964.32779099658
1053.0,-97961.49826283027
1054.0,-97962.96346374867
1055.0,-97960.8155166927
1056.0,-97960.8155166927
1057.0,-97960.97477201943
1058.0,-97965.69202869444
1059.0,-97966.64853748279
1060.0,-97965.70357636451
1061.0,-97970.08974550766
1062.0,-97971.02184520349
1063.0,-97970.96215052171
1064.0,-97972.47828705254
1065.0,-97969.17951351989
