MC_cycle,Potentiel_energy (kJ/mol)
0.0,-93604.25104081933
1.0,-93719.15236072715
2.0,-93716.59194742756
3.0,-93743.56736274011
4.0,-93755.59137275297
5.0,-93759.13794439736
6.0,-93762.45420369958
7.0,-93766.96777920357
8.0,-93771.22909756994
9.0,-93786.44383052719
10.0,-93795.68733498962
11.0,-93805.01767591033
12.0,-93808.17415063281
13.0,-93805.33112299866
14.0,-93802.73066341091
15.0,-93804.44606018519
16.0,-93810.26317497702
17.0,-93810.26317497702
18.0,-93811.8773021357
19.0,-93806.09628100703
20.0,-93804.05129431919
21.0,-93801.01568780403
22.0,-93805.41242943669
23.0,-93800.95824661292
24.0,-93801.45876972258
25.0,-93806.03407151562
26.0,-93803.54949255881
27.0,-93802.09442999217
28.0,-93807.5758756265
29.0,-93808.4013088099
30.0,-93814.45713198041
31.0,-93809.37271648401
32.0,-93813.24830118743
33.0,-93815.13769563673
34.0,-93815.13769563673
35.0,-93817.61608688885
36.0,-93817.61608688885
37.0,-93816.15235774619
38.0,-93813.61422194155
39.0,-93812.28857031929
40.0,-93812.28857031929
41.0,-93813.2642257372
42.0,-93811.30179626265
43.0,-93812.36941096887
44.0,-93812.30486613265
45.0,-93813.6542632605
46.0,-93813.32800990427
47.0,-93813.32800990427
48.0,-93803.17005881474
49.0,-93804.06994680429
50.0,-93804.7195842759
51.0,-93803.39759975969
52.0,-93803.39759975969
53.0,-93800.14394329173
54.0,-93802.97418045977
55.0,-93809.37567418635
56.0,-93808.929190157
57.0,-93809.06340558041
58.0,-93807.09017848746
59.0,-93807.09017848746
60.0,-93811.18681432538
61.0,-93809.42030162226
62.0,-93809.42030162226
63.0,-93811.55132944009
64.0,-93808.52051079643
65.0,-93807.77455538264
66.0,-93807.20020505594
67.0,-93807.20020505594
68.0,-93805.99859354473
69.0,-93807.12667720529
70.0,-93807.37439878238
71.0,-93807.37439878238
72.0,-93807.37439878238
73.0,-93807.1798502356
74.0,-93804.17060061572
75.0,-93807.53652579029
76.0,-93810.18616272204
77.0,-93800.98875354284
78.0,-93806.80524884886
79.0,-93811.09562237155
80.0,-93811.78182176371
81.0,-93811.78182176371
82.0,-93811.20166012959
83.0,-93805.91971352539
84.0,-93810.83109783867
85.0,-93804.93449699218
86.0,-93804.93449699218
87.0,-93806.7858015985
88.0,-93814.66665922944
89.0,-93814.98547136024
90.0,-93814.747004275
91.0,-93812.32057563958
92.0,-93812.32057563958
93.0,-93814.38837494457
94.0,-93814.38837494457
95.0,-93814.71829533196
96.0,-93811.76496978616
97.0,-93815.74826664278
98.0,-93803.58446903297
99.0,-93816.55476267109
100.0,-93813.27752396131
101.0,-93816.58694913686
102.0,-93816.03254033554
103.0,-93810.04745033105
104.0,-93805.20368289428
105.0,-93805.1337553678
106.0,-93808.41730744684
107.0,-93809.13028310101
108.0,-93810.54012898165
109.0,-93809.45426575682
110.0,-93807.31629566365
111.0,-93812.67953079948
112.0,-93811.64951644064
113.0,-93812.61260454256
114.0,-93806.65951305376
115.0,-93806.97962210946
116.0,-93807.50223520304
117.0,-93807.50223520304
118.0,-93804.34982461478
119.0,-93806.72444676592
120.0,-93806.72444676592
121.0,-93806.72444676592
122.0,-93806.79933451791
123.0,-93807.12314385628
124.0,-93805.62034196986
125.0,-93805.73350831562
126.0,-93800.6295678997
127.0,-93800.69888715651
128.0,-93805.46210918599
129.0,-93799.04208552178
130.0,-93798.8612144258
131.0,-93797.79228772435
132.0,-93800.83081341573
133.0,-93799.30214733942
134.0,-93804.29063829577
135.0,-93809.14441996622
136.0,-93807.32227263617
137.0,-93811.01270401555
138.0,-93811.01270401555
139.0,-93811.10368854317
140.0,-93811.37709978348
141.0,-93807.7756582431
142.0,-93807.7756582431
143.0,-93798.8967699815
144.0,-93803.7472816525
145.0,-93802.5278902991
146.0,-93799.24353521643
147.0,-93802.68162136344
148.0,-93802.68162136344
149.0,-93805.76332938702
150.0,-93807.94479534707
151.0,-93809.87698540294
152.0,-93811.02162316696
153.0,-93810.89841330174
154.0,-93816.44474284542
155.0,-93813.28932508055
156.0,-93812.63847176303
157.0,-93814.6970028713
158.0,-93814.6970028713
159.0,-93814.95096908772
160.0,-93814.75908049071
161.0,-93815.93585386411
162.0,-93816.20095887716
163.0,-93815.9007168062
164.0,-93812.00957378103
165.0,-93812.00957378103
166.0,-93817.64849011984
167.0,-93818.29581415799
168.0,-93819.65609872891
169.0,-93819.7854352551
170.0,-93818.27323459079
171.0,-93818.02425440463
172.0,-93822.3458763308
173.0,-93821.78495696679
174.0,-93824.9960020234
175.0,-93814.91612515168
176.0,-93814.91612515168
177.0,-93814.48282217114
178.0,-93813.36193016652
179.0,-93825.87347339749
180.0,-93819.71956304555
181.0,-93819.53927970424
182.0,-93819.7209867743
183.0,-93819.54641730117
184.0,-93819.99102553262
185.0,-93816.34327092403
186.0,-93814.00824596177
187.0,-93808.72085662688
188.0,-93810.68805693729
189.0,-93810.95361613388
190.0,-93808.34337787265
191.0,-93806.1515883656
192.0,-93807.82317917162
193.0,-93807.71019698308
194.0,-93808.08903057191
195.0,-93811.50873429145
196.0,-93810.8923770681
197.0,-93812.97620750875
198.0,-93815.37740535692
199.0,-93817.22421776605
200.0,-93817.1640175921
201.0,-93812.75600843747
202.0,-93812.68999425232
203.0,-93811.44555909654
204.0,-93815.87923277124
205.0,-93815.87923277124
206.0,-93812.18197429695
207.0,-93807.19340711906
208.0,-93810.14528721305
209.0,-93813.55879116186
210.0,-93813.55879116186
211.0,-93815.79377932134
212.0,-93815.34833837011
213.0,-93812.47186646335
214.0,-93815.21887480842
215.0,-93815.13986787514
216.0,-93815.11906769336
217.0,-93808.38552375472
218.0,-93811.54019082336
219.0,-93810.5607506587
220.0,-93816.8029947315
221.0,-93816.8029947315
222.0,-93816.12186034869
223.0,-93817.19363899111
224.0,-93816.18281203491
225.0,-93816.82411935765
226.0,-93815.05958038021
227.0,-93813.319719825
228.0,-93817.79234034487
229.0,-93815.78156652623
230.0,-93816.03936556581
231.0,-93815.66064558856
232.0,-93815.65545214208
233.0,-93815.65545214208
234.0,-93812.66753135134
235.0,-93818.22973344756
236.0,-93817.18368218868
237.0,-93817.55653797674
238.0,-93808.7315249423
239.0,-93806.8507577389
240.0,-93805.0026381676
241.0,-93803.45281181441
242.0,-93808.41229176066
243.0,-93807.77095836522
244.0,-93801.46108802687
245.0,-93801.46108802687
246.0,-93795.5707769587
247.0,-93796.44626362804
248.0,-93794.18516517026
249.0,-93792.51598460312
250.0,-93798.46909094983
251.0,-93791.70962073945
252.0,-93794.34553970836
253.0,-93797.47170870732
254.0,-93789.22759309984
255.0,-93803.79755031485
256.0,-93808.49428720534
257.0,-93798.68249220608
258.0,-93805.90229356318
259.0,-93805.90229356318
260.0,-93815.38996591429
261.0,-93814.17608758801
262.0,-93816.07914950069
263.0,-93814.44402499957
264.0,-93807.9795203718
265.0,-93813.70317645247
266.0,-93802.30655123419
267.0,-93799.64728717298
268.0,-93800.88039461813
269.0,-93800.37532111042
270.0,-93807.79414419866
271.0,-93808.28986076862
272.0,-93810.18232560658
273.0,-93803.75852207233
274.0,-93799.30871494244
275.0,-93790.77831327173
276.0,-93790.91854645117
277.0,-93805.49224659921
278.0,-93809.92246338385
279.0,-93811.5953271285
280.0,-93811.5953271285
281.0,-93811.35756461008
282.0,-93811.0914711385
283.0,-93807.72110064952
284.0,-93809.8936934454
285.0,-93809.33350638874
