MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
268000.0,37.12500,37.1250000000
269000.0,37.62500,37.6250000000
270000.0,35.50000,35.5000000000
271000.0,36.50000,36.5000000000
272000.0,36.25000,36.2500000000
273000.0,37.00000,37.0000000000
274000.0,37.87500,37.8750000000
275000.0,36.50000,36.5000000000
276000.0,35.25000,35.2500000000
277000.0,35.37500,35.3750000000
278000.0,35.75000,35.7500000000
279000.0,36.50000,36.5000000000
280000.0,35.12500,35.1250000000
281000.0,37.12500,37.1250000000
282000.0,36.00000,36.0000000000
283000.0,35.00000,35.0000000000
284000.0,35.00000,35.0000000000
285000.0,35.25000,35.2500000000
286000.0,36.25000,36.2500000000
287000.0,35.12500,35.1250000000
288000.0,35.00000,35.0000000000
289000.0,36.75000,36.7500000000
290000.0,37.00000,37.0000000000
291000.0,38.50000,38.5000000000
292000.0,38.50000,38.5000000000
293000.0,37.00000,37.0000000000
294000.0,38.00000,38.0000000000
295000.0,37.12500,37.1250000000
296000.0,36.00000,36.0000000000
297000.0,35.50000,35.5000000000
298000.0,37.25000,37.2500000000
299000.0,37.50000,37.5000000000
