# Radial distribution function in trajectory MnLM_1700K_centered.xyz
# Using selection: pairs: name(#1) Mn and name(#2) N
# r   g(r)   N_ij(r)   N_ji(r)
7.47119 0.586324 23.4997 2.34997
7.51212 0.623977 23.8099 2.38099
7.55306 0.652186 24.1377 2.41377
7.594 0.674257 24.4802 2.44802
7.63494 0.716671 24.8482 2.48482
7.67588 0.756004 25.2406 2.52406
7.71681 0.799604 25.66 2.566
7.75775 0.833559 26.1019 2.61019
7.79869 0.869958 26.568 2.6568
7.83963 0.911838 27.0617 2.70617
7.88057 0.94607 27.5793 2.75793
7.9215 0.987369 28.125 2.8125
7.96244 1.03417 28.7026 2.87026
8.00338 1.05541 29.2981 2.92981
8.04432 1.10136 29.926 2.9926
8.08526 1.136 30.5801 3.05801
8.12619 1.17866 31.2658 3.12658
8.16713 1.22199 31.9838 3.19838
